
[00:00:00.000 --> 00:00:05.000]   - Cool, so I was actually hoping today to chat with,
[00:00:05.000 --> 00:00:22.440]   to kind of do this presentation
[00:00:22.440 --> 00:00:24.520]   along with the enterprise partner
[00:00:24.520 --> 00:00:26.060]   that we've been working with,
[00:00:26.060 --> 00:00:28.200]   but we couldn't get legal clearance in time.
[00:00:28.200 --> 00:00:33.200]   So just kind of imagine somebody else here, I guess.
[00:00:33.200 --> 00:00:36.100]   But a public healthcare company
[00:00:36.100 --> 00:00:39.420]   where we'll talk about kind of an automation use case
[00:00:39.420 --> 00:00:44.420]   and what it kind of took to make AI reliably solve
[00:00:44.420 --> 00:00:49.860]   a problem that would have a pretty kind of serious impact.
[00:00:49.860 --> 00:00:54.220]   The context here is a large public healthcare company
[00:00:54.220 --> 00:00:58.520]   that specializes in, that creates software for radiologists
[00:00:58.520 --> 00:00:59.860]   and radiology clinics.
[00:00:59.860 --> 00:01:03.540]   And the idea is when operators,
[00:01:03.540 --> 00:01:06.440]   when patients want to schedule appointments,
[00:01:06.440 --> 00:01:07.700]   they call operators.
[00:01:07.700 --> 00:01:10.860]   And so, you know, patients will call operators and say,
[00:01:10.860 --> 00:01:15.860]   "Hey, I'm a male, I'm over 30, I have a symptom.
[00:01:16.860 --> 00:01:18.860]   You know, I've gotten this is my health insurance provider.
[00:01:18.860 --> 00:01:19.940]   This is my vendor."
[00:01:19.940 --> 00:01:22.560]   And what operators who are on the phone do
[00:01:22.560 --> 00:01:25.280]   is figure out what the right procedure code for them is.
[00:01:25.280 --> 00:01:26.660]   They do a bunch of data entry.
[00:01:26.660 --> 00:01:29.740]   And they also see whether,
[00:01:29.740 --> 00:01:34.680]   they also try to get like the right appointment scheduled
[00:01:34.680 --> 00:01:35.500]   and stuff like that, right?
[00:01:35.500 --> 00:01:38.880]   So that is kind of the lay of the land.
[00:01:38.880 --> 00:01:43.880]   In this kind of situation what was kind of observed
[00:01:43.880 --> 00:01:49.720]   was this call takes about 12 to 15 minutes to run through, right?
[00:01:49.720 --> 00:01:55.620]   And if every three minutes that you can reduce from that call
[00:01:55.620 --> 00:01:58.660]   has about a $50 million impact,
[00:01:58.660 --> 00:02:02.020]   both in terms of more calls that you can do from that center,
[00:02:02.020 --> 00:02:06.940]   servicing thousands of clinics, both in the U.S. and in the world,
[00:02:06.940 --> 00:02:07.540]   mostly in Europe.
