
[00:00:00.040 --> 00:00:09.480]   ち
[00:00:09.480 --> 00:00:10.840]   que came,,,
[00:00:10.840 --> 00:00:13.320]   present there ir
[00:00:13.320 --> 00:00:26.420]  assen Many He H Or Not Red on 1939in, to serve my. I, I, I, I, I, I, I, I, w, of, de, voyez, property.urez. porte. .. .. way. :. .. is a .. .. ,. ., Ang. cor .. meaning . Ce機. , Gray - show the -
[00:00:26.420 --> 00:00:27.840]   thank uh.иваем a
[00:00:27.840 --> 00:00:28.580]   scap
[00:00:28.680 --> 00:00:30.200]   for
[00:00:30.200 --> 00:00:30.700]   everyone
[00:00:30.700 --> 00:00:32.700]   It's past midnight.
[00:00:32.700 --> 00:00:33.700]   Over the
[00:00:33.700 --> 00:00:57.320]   whomp of the wipers and the screech of the fan belt, we lurch through the side streets of southeast Portland in a battered white van, double-checking our tool kit. Flashlight, binoculars, duct tape, scissors, watch caps, rawhide gloves, vinyl gloves, latex gloves, trash bags, 30-gallon can, tarpaulins, Sharpie, notebook. Notebook? Well, yes, technically this is a
[00:00:57.320 --> 00:00:57.320]   notebook. Notebook? Well, yes, technically this is a
[00:00:57.320 --> 00:00:57.320]   notebook. Notebook? Well, yes, technically this is a
[00:00:57.320 --> 00:00:57.320]   notebook. Notebook? Well, yes, technically this is a
[00:00:57.320 --> 00:00:57.320]   notebook. Notebook? Well, yes, technically this is a
[00:00:57.320 --> 00:00:57.320]   notebook. Notebook? Well, yes, technically this is a
[00:00:57.320 --> 00:00:57.320]   notebook. Notebook? Well, yes, technically this is a
[00:00:58.320 --> 00:01:25.980]  ,
[00:01:25.980 --> 00:01:27.160]   notebook. Notebook? Well, yes, technically this is a
[00:01:27.160 --> 00:01:27.320]   journalistic
[00:01:27.320 --> 00:01:27.320]   journalistic exercise.
[00:01:27.340 --> 00:01:31.980]   They didn't ask permission.
[00:01:31.980 --> 00:01:32.940]   They didn't ask permission. They didn't ask for a search
[00:01:32.940 --> 00:01:32.980]   They didn't ask permission. They didn't ask for a search
[00:01:32.980 --> 00:01:33.280]   They didn't ask permission. They didn't ask for a search warrant.
