
[00:00:00.000 --> 00:00:05.000]   [Intro]
[00:00:05.000 --> 00:00:15.000]   Speaking of God, guns, and biblical manhood, as expected we got a lot of response emails from that recent episode on guns, and many of them from Christians in the military or law enforcement.
[00:00:15.000 --> 00:00:29.000]   Stephanie wrote in to ask this, "Pastor John, my husband is a police officer and we both want to know what is the best advice for a Christian police officer in regards to violent or lethal action towards perpetrators of the law that the police department itself would see as justified?"
[00:00:29.000 --> 00:00:34.000]   And then we received a number of questions specifically about the killing of someone who is a non-Christian.
[00:00:34.000 --> 00:00:48.000]   Joe in Okinawa, Japan is one such listener. He writes in and says this, "I'm a fighter pilot in the US Air Force, and the point you mentioned in episode 306 about possibly sending someone to hell by killing them sometimes weighs on me and other Christian servicemen I know.
[00:00:48.000 --> 00:01:02.000]   For a Christian, how is defending your nation by killing and war different than defending your family by killing? Would you ever advocate Christians not serve in the military due to God commanding Christians not to repay evil for evil?"
[00:01:02.000 --> 00:01:13.000]   And related to this, Tyler Drummond in Pennsylvania asks, "In episode 306 you said that you would rather be killed than to kill another because for you it would mean instant joy and for him it would mean instant hell.
[00:01:13.000 --> 00:01:20.000]   How can capital punishment then be justified because killing a non-believer assures that they will not come to Christ?"
[00:01:20.000 --> 00:01:24.000]   So there's a mix of related follow-up questions here for you, Pastor John.
[00:01:24.000 --> 00:01:43.000]   It seems to me, Tony, that there are two crucial queries here as to what I said about guns and my not having one.
[00:01:43.000 --> 00:01:59.000]   One is whether there is a sufficient warrant for not killing him, and the other is whether the New Testament command not to return evil for evil is a sufficient warrant for a Christian not to be a soldier or a policeman.
[00:01:59.000 --> 00:02:08.000]   And it seems to me as I've thought about those two queries, we should probably split them up because they're both pretty heavy and complicated.
[00:02:08.000 --> 00:02:14.000]   So let me tackle the first one and maybe we'll give a second podcast to the second one.
[00:02:14.000 --> 00:02:22.000]   So the first question is the possibility of sending someone to hell if you take his life.
[00:02:22.000 --> 00:02:40.000]   When I said that I would rather be killed than kill, and then I mentioned that my assailant may not be ready to face eternity, and I am, I didn't mean that was my primary reason for not killing him.
[00:02:40.000 --> 00:02:55.000]   I would say the same thing, I think, if I knew that my assailant was heaven-bound as a Christian, that I would prefer to be killed than to kill.
[00:02:55.000 --> 00:03:05.000]   And the key here is how Jesus argues for not returning good, for returning good for evil.
[00:03:05.000 --> 00:03:11.000]   His main argument is not that our adversary will benefit from our behavior.
[00:03:11.000 --> 00:03:16.000]   He may or he may not. Jesus doesn't make that the issue.
[00:03:16.000 --> 00:03:35.000]   The main way Jesus argues is that when we sacrifice ourselves and our goods for others, we show the value of God himself as our reward. And this would be true whether our enemy is a believer or an unbeliever.
[00:03:35.000 --> 00:03:43.000]   So Luke 635, "Love your enemies and your reward will be great. You will be the sons of the Most High."
[00:03:43.000 --> 00:03:51.000]   There's the motive. Or Matthew 546, "If you love those who love you, what reward do you have?"
[00:03:51.000 --> 00:04:02.000]   Or Matthew 511, "Blessed are you when you're persecuted on my account. Rejoice and be glad, for your reward is great in heaven."
[00:04:02.000 --> 00:04:15.000]   So the reason we sacrifice our lives for our enemies, not only in the hope of saving them—oh yes, we do. We pray for those who persecute us.
[00:04:15.000 --> 00:04:20.000]   But to show the world where our treasure is, where our reward is.
[00:04:20.000 --> 00:04:31.000]   So I didn't mean to argue that I would rather be killed than to kill, because it's always wrong to take the life of a person who may go to hell.
