
[00:00:00.040 --> 00:00:09.600]  imize
[00:00:09.600 --> 00:00:10.960]  're our, I,
[00:00:10.960 --> 00:00:14.180]   dec
[00:00:28.660 --> 00:00:31.820]  nings to discover m
[00:00:31.820 --> 00:00:31.960]   presence of this instinct
[00:00:31.960 --> 00:00:43.340]   those gentlemen of massiv
[00:00:43.340 --> 00:00:43.380]   and they have a way of sa
[00:00:43.380 --> 00:00:51.780]   order to be a man of dist
[00:00:51.780 --> 00:00:57.240]   drink this whiskey in ord
[00:00:57.240 --> 00:00:57.240]   in, you must drive this ty
[00:00:57.240 --> 00:00:57.240]   in, you must drive this ty
[00:00:57.240 --> 00:00:57.240]   in, you must drive this ty type of drink.
[00:00:57.240 --> 00:00:57.240]   type of drink.
[00:00:57.240 --> 00:00:57.240]   type of drink. If you're a man
[00:00:57.240 --> 00:00:57.240]   If you're a man
[00:00:57.240 --> 00:00:57.240]   If you're a man of distinction,
[00:00:57.240 --> 00:00:57.280]   of distinction,
[00:00:57.280 --> 00:00:57.320]   of distinction, you must drink this whiskey.
[00:00:57.400 --> 00:01:26.060]  , drink this whiskey. You must drink this whiskey.
[00:01:26.060 --> 00:01:27.020]   You must drink this whiskey. You must drink this whiskey. You must drive this type of car.
[00:01:27.020 --> 00:01:27.060]   You must drink this whiskey. You must drive this type of car.
[00:01:27.060 --> 00:01:27.120]   You must drink this whiskey. You must drive this type of car. In order to be lovely to love,
[00:01:27.120 --> 00:01:27.140]   In order to be lovely to love,
[00:01:27.840 --> 00:01:57.000]   to drive this type of car. In order to be lovely to love, you must drive this type of car.
[00:01:57.000 --> 00:01:57.100]   You must drive this type of car. In order to be lovely to love,
[00:01:57.100 --> 00:01:57.140]   You must drive this type of car. In order to be lovely to love, you must drive this type of car.
[00:01:57.140 --> 00:01:57.160]   You must drive this type of car. In order to be lovely to love, you must drive this type of car.
[00:01:57.200 --> 00:01:59.080]   find
[00:01:59.080 --> 00:02:07.600]   jest in the cloud I E In но
[00:02:16.880 --> 00:02:23.560]   enough to have a good T model Ford
[00:02:23.560 --> 00:02:36.560]   but it receives the repressed ego you know economists tell us that your automobile should
[00:02:36.560 --> 00:02:36.560]   your automobile should not cost more than half of your annual income so if you make an income of $5,000 your car shouldn't cost more than about $2,500 that's a good thing to do.
[00:02:36.560 --> 00:02:36.560]   but it receives the repressed ego you know economists tell us that your automobile should not cost more than half of your annual income so if you make an income of $5,000 your car shouldn't cost more than about $2,500 that's a good thing to do.
[00:02:36.560 --> 00:02:36.560]   but it receives the repressed ego you know economists tell us that your automobile should not cost more than half of your annual income so if you make an income of $5,000 your car shouldn't cost more than about $2,500 that's a good thing to do.
[00:02:36.560 --> 00:03:04.600]  , and if it's a family of two and both members of the family make $10,000 they would have to make out with one car that would be good economics although it's often inconvenient but so often haven't you seen people make $10,000 a year?
[00:03:04.600 --> 00:03:04.600]   and if it's a family of two and both members of the family make $10,000 a year?
[00:03:04.600 --> 00:03:06.600]   and if it's a family of two and both members of the family make $10,000 a year?
[00:03:06.600 --> 00:03:06.600]   and if it's a family of two and both members of the family make $10,000 a year?
[00:03:06.600 --> 00:03:06.600]   and if it's a family of two and both members of the family make $10,000 a year?
