
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:00:01.000 --> 00:00:02.000]   [GLASS BREAKING]
[00:00:02.000 --> 00:00:03.000]   [SIGH]
[00:00:03.000 --> 00:00:06.000]   Shop break-resistant glassware at wineenthusiast.com
[00:00:06.000 --> 00:00:07.000]   so you can spend more time--
[00:00:07.000 --> 00:00:08.000]   [DING]
[00:00:08.000 --> 00:00:09.000]   --and less time--
[00:00:09.000 --> 00:00:10.000]   [GLASS BREAKING]
[00:00:10.000 --> 00:00:12.000]   --ugh, I'll get the broom.
[00:00:12.000 --> 00:00:14.000]   Shop our Black Friday and Cyber Monday deals
[00:00:14.000 --> 00:00:17.000]   for the best prices of the season on wine storage, gifts,
[00:00:17.000 --> 00:00:18.000]   and more.
[00:00:18.000 --> 00:00:21.000]   Plus, get free shipping on orders of $99 and more.
[00:00:21.000 --> 00:00:24.000]   At wineenthusiast.com, we bring wine to life.
[00:00:24.000 --> 00:00:25.000]   [DING]
[00:00:25.000 --> 00:00:26.000]   Exclusions apply.
[00:00:26.000 --> 00:00:27.000]   See website for details.
[00:00:27.000 --> 00:00:28.000]   [DING]
[00:00:28.000 --> 00:00:30.000]   Welcome to the show, Radicals.
[00:00:30.000 --> 00:00:33.000]   Today's episode is supported by Paladin Registry.
[00:00:33.000 --> 00:00:36.000]   Make 2017 the year that you follow through
[00:00:36.000 --> 00:00:41.000]   and start your search for your great financial advisor.
[00:00:41.000 --> 00:00:42.000]   You need one.
[00:00:42.000 --> 00:00:45.000]   Start your search at radicalpersonalfinance.com/paladin.
[00:00:45.000 --> 00:00:47.000]   P-A-L-A-D-I-N.
[00:00:47.000 --> 00:00:50.000]   Today's episode is also supported by YNAB.
[00:00:50.000 --> 00:00:51.000]   Y-N-A-B.
[00:00:51.000 --> 00:00:52.000]   You need a budget.
[00:00:52.000 --> 00:00:54.000]   The world's best budgeting software and the budgeting
[00:00:54.000 --> 00:00:55.000]   software that I use.
[00:00:55.000 --> 00:00:56.000]   Each and every day.
[00:00:56.000 --> 00:01:01.000]   Radicalpersonalfinance.com/ynab for a free 34-day trial.
[00:01:01.000 --> 00:01:04.000]   Today we tackle credit, credit reporting,
[00:01:04.000 --> 00:01:07.000]   and some simple annual maintenance items
[00:01:07.000 --> 00:01:10.000]   that you need to take care of to make sure
[00:01:10.000 --> 00:01:13.000]   that you keep your good name.
[00:01:13.000 --> 00:01:16.000]   [MUSIC PLAYING]
[00:01:17.000 --> 00:01:19.000]   Welcome to Radical Personal Finance,
[00:01:19.000 --> 00:01:21.000]   the show dedicated to giving you all of the knowledge
[00:01:21.000 --> 00:01:26.000]   and education and ideas and reminders
[00:01:26.000 --> 00:01:29.000]   that you need to live a rich life now while also making
[00:01:29.000 --> 00:01:32.000]   sure that you stay on track to the top of your game.
[00:01:32.000 --> 00:01:34.000]   I'm your host, Michael McCrudden.
[00:01:34.000 --> 00:01:36.000]   And I'm your host, Adam Sandler.
[00:01:36.000 --> 00:01:38.000]   And I'm your host, Michael McCrudden.
[00:01:38.000 --> 00:01:40.000]   And I'm your host, Adam Sandler.
[00:01:40.000 --> 00:01:42.000]   And I'm your host, Michael McCrudden.
[00:01:42.000 --> 00:01:44.000]   And I'm your host, Michael McCrudden.
[00:01:44.000 --> 00:01:46.000]   And I'm your host, Michael McCrudden.
[00:01:46.000 --> 00:01:48.000]   And I'm your host, Michael McCrudden.
[00:01:48.000 --> 00:01:50.000]   And I'm your host, Michael McCrudden.
[00:01:50.000 --> 00:01:52.000]   And I'm your host, Michael McCrudden.
[00:01:52.000 --> 00:01:54.000]   And I'm your host, Michael McCrudden.
[00:01:54.000 --> 00:01:56.000]   And I'm your host, Michael McCrudden.
[00:01:56.000 --> 00:01:58.000]   And I'm your host, Michael McCrudden.
[00:01:58.000 --> 00:02:00.000]   And I'm your host, Michael McCrudden.
[00:02:00.000 --> 00:02:02.000]   And I'm your host, Michael McCrudden.
[00:02:02.000 --> 00:02:04.000]   And I'm your host, Michael McCrudden.
