
[00:00:00.000 --> 00:00:04.400]   We're back.
[00:00:04.400 --> 00:00:05.880]   Thanks for listening to Ask Pastor John.
[00:00:05.880 --> 00:00:08.600]   I'm a longtime pastor and author, John Piper.
[00:00:08.600 --> 00:00:10.480]   I'm your host, Tony Reinke.
[00:00:10.480 --> 00:00:14.320]   Today's question is a bit technical, so bear with us, but it's a really important one,
[00:00:14.320 --> 00:00:15.320]   too.
[00:00:15.320 --> 00:00:16.320]   It's weighty.
[00:00:16.320 --> 00:00:17.320]   Here it is.
[00:00:17.320 --> 00:00:21.600]   "What active role does God play in both the redemption of sinners and in the perdition
[00:00:21.600 --> 00:00:22.600]   of sinners?"
[00:00:22.600 --> 00:00:23.600]   Casey asks it.
[00:00:23.600 --> 00:00:24.600]   Here's his question.
[00:00:24.600 --> 00:00:25.600]   "Hello, Pastor John.
[00:00:25.600 --> 00:00:31.080]   I was studying Romans 9, verses 22 to 23.
[00:00:31.080 --> 00:00:34.080]   I see that the Greek word Paul uses for 'prepared' in verse 22, 'katertismina', is different
[00:00:34.080 --> 00:00:38.320]   from the word he uses for 'prepared' in verse 23, 'proitoi misin'.
[00:00:38.320 --> 00:00:40.300]   The first root is artiso.
[00:00:40.300 --> 00:00:42.080]   The second is etymus.
[00:00:42.080 --> 00:00:45.760]   Additionally, the first is passive, the second is active.
[00:00:45.760 --> 00:00:49.280]   Can you explain the significance and meaning of why Paul would use different words and
[00:00:49.280 --> 00:00:50.560]   tenses here?
[00:00:50.560 --> 00:00:55.240]   Specifically, does this imply that the vessels of destruction were prepared differently than
[00:00:55.240 --> 00:00:56.520]   the vessels of mercy?"
[00:00:56.520 --> 00:01:02.160]   Well, first, for those who feel like this question is just too technical, they're going
[00:01:02.160 --> 00:01:09.880]   to click us off here right away, let me ask for just a couple minutes to show otherwise,
[00:01:09.880 --> 00:01:16.760]   because it relates to one of the most ultimate, important things you can ever think about.
[00:01:16.760 --> 00:01:18.120]   So what's at stake?
[00:01:18.120 --> 00:01:25.560]   What's at stake is how God's power and wisdom and justice and mercy are at work in those
[00:01:25.560 --> 00:01:34.200]   who finally perish and how they are at work in those who are finally saved.
[00:01:34.200 --> 00:01:41.200]   And few things could be more important than clarifying the relationship between God's
[00:01:41.200 --> 00:01:47.840]   sovereignty and the final destiny of human beings.
[00:01:47.840 --> 00:01:55.640]   The text—and I believe this—the text in all the Bible that comes closest to getting
[00:01:55.640 --> 00:02:04.700]   at God's ultimate design or purpose in His sovereign work in salvation and in judgment
[00:02:04.700 --> 00:02:07.440]   is Romans 9, 21 to 23.
[00:02:07.440 --> 00:02:11.640]   So I'm going to read it because this is what is being asked about.
[00:02:11.640 --> 00:02:21.200]   "Has the potter no right over the clay to make out of the same lump one vessel for honorable
[00:02:21.200 --> 00:02:27.120]   use and another vessel for dishonorable use?
[00:02:27.120 --> 00:02:32.740]   If God, desiring to show His wrath and to make known His power, has endured with much
[00:02:32.740 --> 00:02:39.420]   patience vessels of wrath prepared for destruction in order to make known the riches of His glory
[00:02:39.420 --> 00:02:44.240]   for vessels of mercy which He has prepared beforehand for glory…"
[00:02:44.240 --> 00:02:47.760]   And then the sentence breaks off.
[00:02:47.760 --> 00:02:52.600]   And that's why most translations don't start with "if God desiring," they start
[00:02:52.600 --> 00:02:59.840]   with "what if God desiring," because they're implying rightly that if He has done it this
[00:02:59.840 --> 00:03:05.160]   way, then no legitimate objection can be raised.
[00:03:05.160 --> 00:03:06.160]   That's the gist.
[00:03:06.160 --> 00:03:14.000]   So here's the essential, amazing, ultimate statement being made by Paul about God's
[00:03:14.000 --> 00:03:15.560]   ultimate purposes.
[00:03:15.560 --> 00:03:23.080]   He's saying God aims to show—very important word—to show, especially for you, Tony,
[00:03:23.080 --> 00:03:24.080]   who wrote the book, right?
[00:03:24.080 --> 00:03:25.080]   Right.
[00:03:25.080 --> 00:03:26.080]   The spectacle.
[00:03:26.080 --> 00:03:29.360]   Everybody should buy Tony's book.
[00:03:29.360 --> 00:03:38.400]   God aims to show His wrath against sin and to show His power as supreme and to manifest
[00:03:38.400 --> 00:03:45.040]   His patience and His mercy, that is, all the riches of His glory, He aims to show these.
[00:03:45.040 --> 00:03:47.200]   That's His purpose in verse 22.
[00:03:47.200 --> 00:03:54.160]   That's the word used in verse 22, "to show," and this is why He created the world and is
[00:03:54.160 --> 00:03:57.680]   governing history and is saving and judging the world.
[00:03:57.680 --> 00:04:08.080]   All of these attributes are mentioned as part of God's plan—wrath, power, patience, mercy,
[00:04:08.080 --> 00:04:09.320]   glory.
[00:04:09.320 --> 00:04:16.840]   In other words, God's ultimate aim in salvation and judgment is to display and communicate
[00:04:16.840 --> 00:04:25.880]   to His creatures the entire range, the entire panorama of His attributes or His being.
[00:04:25.880 --> 00:04:34.080]   And I just want to pause here and say, oh, oh, the value, the value of grasping and believing
[00:04:34.080 --> 00:04:38.240]   that this is God's ultimate great goal in the universe.
[00:04:38.240 --> 00:04:45.800]   It changed my life totally 50 years ago to get a handle on God's God-centeredness in
[00:04:45.800 --> 00:04:47.680]   creating the world.
[00:04:47.680 --> 00:04:56.480]   No attribute of God that can be revealed for His glory shall be left in obscurity.
[00:04:56.480 --> 00:05:07.040]   His aim in creation and salvation and judgment is to reveal all the fullness of His glory,
