
[00:00:00.000 --> 00:00:05.000]   Hey. All right. We got it.
[00:00:05.000 --> 00:00:15.000]   Okay. All right. So, great. I stayed up late last night putting these slides together.
[00:00:15.000 --> 00:00:23.000]   Didn't have a ton of time to prepare, so hopefully they're clear. If you have questions or want
[00:00:23.000 --> 00:00:29.000]   to dig in, go ahead. I have about -- I think I have about 45 minutes worth of slides, probably.
[00:00:29.000 --> 00:00:35.000]   But there's a lot of -- like, there's probably four hours worth of information in these papers
[00:00:35.000 --> 00:00:41.000]   that I could cover. So, if we do want to dig into any of the -- especially the bio side
[00:00:41.000 --> 00:00:47.000]   of things, I can describe a lot of what's going on in more detail. But I focus mostly on the
[00:00:47.000 --> 00:00:54.000]   machine learning stuff. But I'm going to give a little bit of a, you know, genetics -- two-slide
[00:00:54.000 --> 00:01:02.000]   introduction to genetics just for people who don't have -- don't have experience with it.
[00:01:02.000 --> 00:01:11.000]   Okay. Great. So, whoops. Why is it not? Okay. So, this is sort of the why. So, the Evo is a
[00:01:11.000 --> 00:01:20.000]   foundation model. It's like in a series of -- there was like hyena DNA and then there was Evo and then Evo 2.
[00:01:20.000 --> 00:01:31.000]   it's a 7b and 40b model. And the purpose of a model like this -- so, it's nucleotide-based, meaning it's
[00:01:31.000 --> 00:01:41.000]   actually modeling the DNA sequences. And the purpose -- these are some of the applications on this slide for that.
[00:01:41.000 --> 00:01:46.000]   So, like, there's a lot of prediction things where you can -- like, for just like -- I'll go through these.
[00:01:46.000 --> 00:01:55.000]   Maybe not all of them, but I'll go through a lot of them. So, like -- so, like, if I -- if I knock out genes, is it important?
[00:01:55.000 --> 00:02:02.000]   Does it impact -- you know, does it impact, like, the health of the person or some -- the function of something?
[00:02:02.000 --> 00:02:12.000]   Or does it not matter? Or, like, a portion of the gene? What -- this one is actually really, really important and hard to do.
[00:02:12.000 --> 00:02:19.000]   So, they seem to have made progress. I don't know enough about the biology to know how realistic what they're saying -- they're claiming
[00:02:19.000 --> 00:02:29.000]   is and how well they've tested it. But, you know, being able to predict the effect of your genetic variations on, like, drug treatments,
[00:02:29.000 --> 00:02:38.000]   your health, other things like that, is sort of the precision medicine promise. And it's quite difficult.
[00:02:38.000 --> 00:02:50.000]   And -- but this kind of model seems to be helpful for that. Like, designing genome scale things, I didn't -- I don't really understand that use case super well.
[00:02:50.000 --> 00:02:59.000]   in terms of, in terms of practical things, maybe for a study. But, like, looking at -- predicting, like, sort of --
[00:02:59.000 --> 00:03:11.000]   protein mutations based on gene changes. You know, sort of things in the protein. Like, what feature -- like, identifying structures in the feature --
[00:03:11.000 --> 00:03:23.000]   uh, structures in protein folds. You know, sort of designing proteins. Predicting, you know, sort of, like, in the RNA, like, being able to --
[00:03:23.000 --> 00:03:34.000]   find mutations. You know, sort of, predict whether a RNA strand will be stable or not. Sort of, like --
[00:03:34.000 --> 00:03:40.000]   sort of, like -- and then, um, things in the epigenome. Epigenome is, like, how --
[00:03:40.000 --> 00:03:46.000]   is other physical mechanisms that cause genes to be more or less expressed.
[00:03:46.000 --> 00:03:55.000]   And so -- and chromatin is, like, a major -- one of the most important things with that. And so, um, like, sort of, making predictions about that.
[00:03:55.000 --> 00:04:09.000]   So, like, all of these things, they have these really -- either really important scientific or sort of -- scientific consequences, like being able to understand or monitor or measure things better.
[00:04:09.000 --> 00:04:21.000]   or they actually have impact on your ability to, um, sort of, sort of, make clinical decisions with. So, I think -- so, there's, like -- doing this well is exciting. And it does seem like --
[00:04:21.000 --> 00:04:47.000]   like, um, this does seem like a bit of a step change to me, um, with not knowing a whole lot. There's been a lot of attempts at models like this, and they do work. But this seems to -- you know, because it's well-funded and done, um, by a large team and, um, you know, sort of, like, has support from NVIDIA and other things, it seems to be, like, a pretty -- pretty impressive effort.
[00:04:47.000 --> 00:05:09.000]   Um, so, uh, this is -- so, uh, the interesting thing about EVO is that this is not just for a human genome. This is for -- so, they -- they incorporated, uh, genomes. So, each point on this UMAP is a separate genome. Um, and -- or, uh, part of -- at least part of a separate genome. And --
[00:05:09.000 --> 00:05:23.000]   Um, and, um, so, you can see there's, like, a ton of different, uh, ton of different genomes here. And I think this core data, that's where humans would be, um, somewhere in there. So, uh, um, so you can see -- and that's, I guess, this one, probably. So, um, this area. So, like, uh, you can see that it's -- you know, that there's a lot of other stuff that got included.
