
[00:00:00.000 --> 00:00:04.000]   Hello, hello.
[00:00:04.000 --> 00:00:18.000]   Hey, Scott, good to see you.
[00:00:18.000 --> 00:00:22.000]   Hey, good to see you. How are things?
[00:00:22.000 --> 00:00:24.000]   Busy, busy, busy. But good.
[00:00:24.000 --> 00:00:30.000]   I've been playing with Purser's new CLI Agent plus GPT-5 today.
[00:00:30.000 --> 00:00:32.000]   Oh, yeah.
[00:00:32.000 --> 00:00:36.000]   So far, it seems pretty solid.
[00:00:36.000 --> 00:00:38.000]   Really?
[00:00:38.000 --> 00:00:40.000]   Plus, they're subsidizing it right now, right?
[00:00:40.000 --> 00:00:42.000]   So it's free at the moment.
[00:00:42.000 --> 00:00:52.000]   But it seems to be doing as good or better than AMP code, which I had been using, which is paper token, which is so it adds up a lot.
[00:00:52.000 --> 00:00:58.000]   So it's not as steerable, I think.
[00:00:58.000 --> 00:01:04.000]   Like, they don't have the nice, like, app mentioned feature working in their CLI and other things, but it seems to be doing pretty good.
[00:01:04.000 --> 00:01:18.000]   We'll see how it does when they actually start counting tokens and how the costs measure up.
[00:01:18.000 --> 00:01:20.000]   Yeah.
[00:01:20.000 --> 00:01:22.000]   I saw.
[00:01:22.000 --> 00:01:26.000]   Did I see it in the latent space discord?
[00:01:26.000 --> 00:01:28.000]   Oh, I saw somebody.
[00:01:28.000 --> 00:01:36.000]   I think it was Kieran Klassen from every created a sub agent that uses the cursor CLI for cloud code.
[00:01:36.000 --> 00:01:44.000]   So you can actually use GPT-5 in cloud code.
[00:01:44.000 --> 00:01:49.000]   I'm sure Anthropic loves that.
[00:01:49.000 --> 00:02:02.000]   If anyone tried Zen MCP, I found that really useful for using O3 before this, and you can use GPT-5 via the API as well.
[00:02:02.000 --> 00:02:06.000]   I just haven't had a chance to see what that's like.
[00:02:06.000 --> 00:02:33.000]   Well, I'm excited for this presentation, Scott, because I think, you know, as Manuel is talking about, none of the tools, the coding tools and the models, like their boats are small and constantly being one ups.
[00:02:33.000 --> 00:02:38.000]   But where we will have enduring gains is where we learn how to use them all better.
[00:02:38.000 --> 00:02:42.000]   And so that's I hope what you're going to be teaching us today.
[00:02:42.000 --> 00:02:48.000]   Yeah, I hope I hope that's what you all I hope that comes through.
[00:02:48.000 --> 00:03:02.000]   I mean, it is very fluid and, you know, it's actually something Manuel and I have talked about a few times of just like, you know, while these techniques might not like you pick up these techniques based on the limitations of the models at the time.
[00:03:02.000 --> 00:03:15.000]   And even if you don't necessarily need them anymore, you can you have that tool in your toolbox for, you know, when some kind of situation arises.
[00:03:15.000 --> 00:03:27.000]   So at the very least, if we're already moved on from document based by coding systems into sub agents and GPT-5, hopefully there's a nugget in here.
[00:03:27.000 --> 00:03:41.000]   I personally find using like I've been using coding agents now, particularly amp a lot, and I find the document based workflow is still high value, especially for more complex things.
[00:03:41.000 --> 00:03:44.000]   So, you know, we're in an existing system.
[00:03:44.000 --> 00:03:45.000]   We're not vibe coding something from scratch.
[00:03:45.000 --> 00:03:58.000]   There are, you know, substantial, you're changing your refactoring your things like that, like, use the agent to build a document, review it, critique it, fix it, then have the agent build it.
[00:03:58.000 --> 00:04:04.000]   But like that document still is sort of a key grounding loop.
[00:04:04.000 --> 00:04:05.000]   Yeah.
[00:04:05.000 --> 00:04:16.000]   Yeah, my systems kind of I'll walk through what I talked about in the post, and then we kind of like where I've gone, but it's definitely changed, changed a bit and gotten a little.
[00:04:16.000 --> 00:04:34.000]   A little bit, a little bit less systematic as different things have come up.
[00:04:34.000 --> 00:04:35.000]   So, I think that's a good thing.
[00:04:35.000 --> 00:04:35.000]   I think that's a good thing.
[00:04:35.000 --> 00:04:36.000]   I think that's a good thing.
[00:04:36.000 --> 00:04:37.000]   I think that's a good thing.
[00:04:37.000 --> 00:04:38.000]   I think that's a good thing.
[00:04:38.000 --> 00:04:39.000]   I think that's a good thing.
[00:04:39.000 --> 00:04:40.000]   I think that's a good thing.
[00:04:40.000 --> 00:04:41.000]   I think that's a good thing.
[00:04:41.000 --> 00:04:42.000]   I think that's a good thing.
[00:04:42.000 --> 00:04:43.000]   I think that's a good thing.
[00:04:43.000 --> 00:04:44.000]   I think that's a good thing.
[00:04:44.000 --> 00:04:45.000]   I think that's a good thing.
[00:04:45.000 --> 00:04:46.000]   I think that's a good thing.
[00:04:46.000 --> 00:04:47.000]   I think that's a good thing.
[00:04:47.000 --> 00:04:48.000]   I think that's a good thing.
[00:04:48.000 --> 00:04:49.000]   I think that's a good thing.
[00:04:49.000 --> 00:04:50.000]   I think that's a good thing.
[00:04:50.000 --> 00:04:51.000]   I think that's a good thing.
[00:04:51.000 --> 00:04:52.000]   I think that's a good thing.
[00:04:52.000 --> 00:04:53.000]   I think that's a good thing.
[00:04:53.000 --> 00:04:54.000]   I think that's a good thing.
[00:04:54.000 --> 00:04:55.000]   I think that's a good thing.
[00:04:55.000 --> 00:04:56.000]   I think that's a good thing.
[00:04:56.000 --> 00:04:57.000]   I think that's a good thing.
[00:04:57.000 --> 00:04:58.000]   I think that's a good thing.
[00:04:58.000 --> 00:04:59.000]   I think that's a good thing.
[00:04:59.000 --> 00:05:00.000]   I think that's a good thing.
[00:05:00.000 --> 00:05:01.000]   I think that's a good thing.
[00:05:01.000 --> 00:05:02.000]   I think that's a good thing.
[00:05:02.000 --> 00:05:03.000]   I think that's a good thing.
[00:05:03.000 --> 00:05:04.000]   I think that's a good thing.
[00:05:04.000 --> 00:05:05.000]   I think that's a good thing.
[00:05:05.000 --> 00:05:06.000]   I think that's a good thing.
[00:05:06.000 --> 00:05:07.000]   I think that's a good thing.
[00:05:07.000 --> 00:05:09.000]   So, I think that's a good thing.
[00:05:09.000 --> 00:05:10.000]   I think that's a good thing.
[00:05:10.000 --> 00:05:11.000]   I think that's a good thing.
[00:05:11.000 --> 00:05:12.000]   I think that's a good thing.
[00:05:12.000 --> 00:05:13.000]   I think that's a good thing.
[00:05:13.000 --> 00:05:14.000]   I think that's a good thing.
[00:05:14.000 --> 00:05:15.000]   I think that's a good thing.
[00:05:15.000 --> 00:05:16.000]   I think that's a good thing.
[00:05:16.000 --> 00:05:42.000]   All right.
[00:05:42.000 --> 00:05:43.000]   Yeah, why don't you go ahead?
[00:05:43.000 --> 00:05:44.000]   I'll go off camera.
[00:05:44.000 --> 00:05:46.000]   Do you want me to watch the comments or you got it?
[00:05:46.000 --> 00:05:49.000]   Let's see.
[00:05:49.000 --> 00:05:52.000]   Yeah, pop in if I seem to miss anything.
[00:05:52.000 --> 00:05:57.000]   I guess we can jump in.
[00:06:13.000 --> 00:06:25.000]   We'll have that for text size.
[00:06:25.000 --> 00:06:26.000]   Looks readable here.
[00:06:26.000 --> 00:06:27.000]   All right.
[00:06:27.000 --> 00:06:28.000]   Cool.
[00:06:28.000 --> 00:06:29.000]   Yeah.
[00:06:29.000 --> 00:06:30.000]   Thanks, everybody.
[00:06:30.000 --> 00:06:32.000]   And thanks for letting me come share.
[00:06:32.000 --> 00:06:42.000]   Yeah, so this is a, you know, going to be talking about document based vibe coding systems.
[00:06:42.000 --> 00:06:59.000]   This all kind of came about as I was working on, we actually kind of been trying to challenge myself working with agents to use programming languages and tooling that I don't know so I won't jump in and like edit the code.
[00:06:59.000 --> 00:07:07.000]   And so this was for an app that was built in Tori using Rust and TypeScript in both languages.
[00:07:07.000 --> 00:07:12.000]   I don't really, I absolutely don't know anything about Rust, but I haven't really touched TypeScript.
[00:07:12.000 --> 00:07:25.000]   And so basically had had one of the, one of the reasoning models create and an architecture file.
[00:07:25.000 --> 00:07:31.000]   and, you know, like K-Ball and I were talking about in the beginning.
[00:07:31.000 --> 00:07:37.000]   It was, you know, build out, build out a, an architecture doc, refine it, ask questions.
[00:07:37.000 --> 00:07:40.000]   My primary language, Ruby.
[00:07:40.000 --> 00:07:51.000]   Um, a lot of those stuff that I'm building is in Ruby, but, um, you know, it's, it's hard to, it's hard to have like really strong opinions about AI generated code.
[00:07:51.000 --> 00:07:58.000]   And, uh, when you do, you end up, you know, not really liking what it, uh, gives you.
[00:07:58.000 --> 00:08:06.000]   So, um, but yeah, so this, I mean, basically kept it at a, kept it, kept it at a really high level.
[00:08:06.000 --> 00:08:08.000]   Um, kept it at a really high level.
[00:08:08.000 --> 00:08:10.000]   Just like, what are these, what are these pieces?
[00:08:10.000 --> 00:08:21.000]   Um, I didn't really know the libraries or anything, but, um, you know, it gave me a architecture diagram, all this stuff.
[00:08:21.000 --> 00:08:32.000]   And then what I set up with cloud code was basically here is the, here's the architecture file.
[00:08:32.000 --> 00:08:39.000]   Um, we're going to work together where you're going to tell me what you plan to do.
[00:08:39.000 --> 00:08:41.000]   And, um, then you're going to do it.
[00:08:41.000 --> 00:08:49.000]   Then you're going to tell me what you did and, um, and then tell me what in the app to actually change.
[00:08:49.000 --> 00:08:52.000]   Um, we're going to work through stories.
[00:08:52.000 --> 00:09:08.000]   So I had it go through the architecture diagram, figure out, um, you know, three, three project phases, break that down into roughly, uh, you know, I think I said 15 minute, uh, actually, let's see if it's in here.
[00:09:08.000 --> 00:09:09.000]   Um, yeah.
[00:09:09.000 --> 00:09:14.000]   Uh, it came back with some of these phases around like estimated timeline, six to eight weeks with dedicated development.
[00:09:14.000 --> 00:09:17.000]   Um, which obviously wasn't true.
[00:09:17.000 --> 00:09:23.000]   Um, and, uh, let's see here.
[00:09:23.000 --> 00:09:24.000]   Uh, let's see here.
[00:09:24.000 --> 00:09:26.000]   And also kind of peeking at the chat.
[00:09:26.000 --> 00:09:30.000]   Um, sorry.
[00:09:30.000 --> 00:09:37.000]   And, um, yeah, basically broke things out into stories, create a project plan documents for those.
[00:09:37.000 --> 00:09:38.000]   It came up with three.
[00:09:38.000 --> 00:09:44.000]   And as you can see, if you can see some of the texts on the left here, there's a bunch of other plan files that I've used.
[00:09:44.000 --> 00:09:53.000]   Um, and then as we were going through, if there are anything that you, anything that you run into that, you need to, that we don't want to keep going over.
[00:09:53.000 --> 00:10:01.000]   Or like we end up, you know, bug fixing store that in the technical considerations, markdown file and, um, you know, load that.
[00:10:01.000 --> 00:10:10.000]   And so since we were doing like, you know, three phases of like 40 user stories each, we were going to, uh, start and stop sessions all the time.
[00:10:10.000 --> 00:10:18.000]   Um, you know, if it, you have to compress context, uh, it forgets all of the roles and process you set up.
[00:10:18.000 --> 00:10:22.000]   And, um, you know, you end up getting a whole bunch of junk in your context.
[00:10:22.000 --> 00:10:32.000]   So my process was very much, uh, you do a story and, uh, and kill it, make a commit, push it up.
[00:10:32.000 --> 00:10:39.000]   Um, Oh, interesting.
[00:10:39.000 --> 00:10:50.000]   Um, but yeah, and then I can, I can jump over to the pair programming dot markdown and, um, or actually, sorry.
[00:10:50.000 --> 00:10:55.000]   Um, but yeah.
[00:10:55.000 --> 00:11:03.000]   And then when I would start a session, I would basically say, read cloud dot markdown, follow the steps for quick start a new session.
[00:11:03.000 --> 00:11:07.000]   And, um, and then tell me the, tell me the plan for the next story.
[00:11:07.000 --> 00:11:11.000]   And it would, you know, read all these files and, uh, and go through.
[00:11:11.000 --> 00:11:17.000]   And so pair programming dot markdown is, um, you know, pick up the next story.
[00:11:17.000 --> 00:11:26.000]   Uh, you know, create a plan, implement the plan, testing and verification, and then human verification.
[00:11:26.000 --> 00:11:28.000]   So summarize what was implemented.
[00:11:28.000 --> 00:11:34.000]   This, what, uh, should be visible and, um, you know, provide specific testing steps for the human.
[00:11:34.000 --> 00:11:38.000]   Um, yes, we will.
[00:11:38.000 --> 00:11:42.000]   I will definitely, uh, go through a process of just kind of like, kind of setting the stage here.
[00:11:42.000 --> 00:11:47.000]   Um, so yeah, um, there's the, the pair programming.
[00:11:47.000 --> 00:11:55.000]   And then one other thing that, that did end up happening in the, uh, the technical considerations ended up getting really long.
[00:11:55.000 --> 00:12:00.000]   And so I ended up not having enough context to do, uh, do an entire story.
[00:12:00.000 --> 00:12:10.000]   So had Claude break this down into a technical considerations folder where it could look up different things and have a reference for, for anything that we might run into.
[00:12:10.000 --> 00:12:26.000]   Um, because it does tend to, um, you know, once, once you find it make, uh, you know, a, a, once it does something wrong, you'll find that it'll do that thing wrong over and over.
[00:12:26.000 --> 00:12:33.000]   Um, and so having, having these, uh, these technical considerations docs, uh, helped a lot.
[00:12:33.000 --> 00:12:41.000]   Um, but before we jump into the process, are there any questions of what I kind of just showed here?
[00:12:41.000 --> 00:12:49.000]   And I can show, um, it actually in action.
[00:12:49.000 --> 00:12:54.000]   How much of this is project specific versus you carry over from project to project?
[00:12:54.000 --> 00:12:59.000]   Um, so this one was particularly, this one was the first one.
[00:12:59.000 --> 00:13:01.000]   So it was very project specific.
[00:13:01.000 --> 00:13:10.000]   Um, so if you see the pair programming dot markdown, uh, you know, outlines the pair programming workflow for protocol.
[00:13:10.000 --> 00:13:14.000]   Um, there's, there's no Kali, there's PN, PM build and no bundle.
[00:13:14.000 --> 00:13:16.000]   Um, I've started to use this.
[00:13:16.000 --> 00:13:34.000]   Um, I've started to, you know, when I start a new session or start a new project, I'll say to the Claude code, look at the, look at the pair programming doc in this folder or this file and, uh, adapt it for this project.
[00:13:34.000 --> 00:13:46.000]   Um, but yeah, I guess I'd say, you know, the structure is common across project, but like the details, I'll usually have Claude jump in and change.
[00:13:46.000 --> 00:13:50.000]   So like the, the, the, the handful of documents to start things out.
[00:13:50.000 --> 00:13:56.000]   Um, man, well, how do you clean up the CF markdown files?
[00:13:56.000 --> 00:14:01.000]   I, uh, you'll see, as I switch around different projects, I kind of don't.
[00:14:01.000 --> 00:14:12.000]   Um, I had, I did see that there was a new feature with Claude code recently where you can add additional, uh, you can add additional kind of like permanent working directories.
[00:14:12.000 --> 00:14:21.000]   And so whenever I find the time, I'm gonna try to, uh, you know, set it up to be my, uh, obsidian directories.
[00:14:21.000 --> 00:14:28.000]   And so have it like right there and, uh, write and read from the obsidian directory for the project, but I haven't done that yet.
[00:14:28.000 --> 00:14:33.000]   And I just have a mess of files in, uh, in all different places.
