
[00:00:00.000 --> 00:00:17.520]   Thanks everyone for joining. Let's start with a quick raise of hands. How many of you in the
[00:00:17.520 --> 00:00:24.760]   last two years got into AI? That's a pretty good amount. And how many of you were in the room when
[00:00:24.760 --> 00:00:31.700]   your boss was like, okay, so what is our plan about AI? What do we do about AI? All right. That was
[00:00:31.700 --> 00:00:40.060]   pretty much me last year. So in the next 20 minutes, time permitting, should be exactly 20 minutes,
[00:00:40.060 --> 00:00:48.140]   we're going to talk about our team at Twilio, our history, lessons we've learned around our team and
[00:00:48.140 --> 00:00:54.340]   how we operate within the company, the role we play, and to ensure that Twilio can keep up with
[00:00:54.340 --> 00:01:00.140]   the rapid pace of AI. Or in other words, how do we, you know, cook with fire without burning down the
[00:01:00.140 --> 00:01:08.440]   kitchen and upsetting our customers? As Peter said, my name is Dominic Kondel. I lead product and design
[00:01:08.440 --> 00:01:14.980]   within a small team at Twilio called Emerging Tech and Innovation. We're a team of 16 people across
[00:01:14.980 --> 00:01:20.080]   engineering, product, design, and go to market. And we try to operate as self-contained as possible
[00:01:20.080 --> 00:01:25.880]   outside of our two more traditional Twilio business units around communications that is more focused
[00:01:25.880 --> 00:01:32.380]   on sort of the APIs that Twilio is known for around SMS, voice, email, etc. And then our customer data
[00:01:32.380 --> 00:01:38.840]   platform that is more focused on providing a holistic overview of your customer so you can appropriately
[00:01:38.840 --> 00:01:44.640]   engage with them. And our team itself is focused on exploring what the future of customer engagement is going to look like
[00:01:44.640 --> 00:01:48.060]   with an eye towards emerging technologies like AI.
[00:01:48.060 --> 00:01:58.480]   But we're not the AI team within Twilio. At Twilio, we sort of see AI as a feature that spreads across all of our products to
[00:01:58.480 --> 00:02:08.400]   to help engage customers to better. It helps our customers to better engage with their customers. And you might have seen
[00:02:08.400 --> 00:02:13.580]   sort of our like customer AI billboards around that is really sort of the vision around that is how do we
[00:02:13.580 --> 00:02:22.500]   use AI to better empower people to engage with their customers. So we have innovation in the name though. So are we the only ones
[00:02:22.500 --> 00:02:31.680]   innovating at Twilio then? The answer is also no. Generally, it's everyone's job to innovate. But I think there's two types of
[00:02:31.680 --> 00:02:37.820]   innovation. If you've read the innovators dilemma, this seems familiar to you. But basically, there's sort of the sustaining
[00:02:37.820 --> 00:02:46.400]   innovation and the disruptive innovation. Sustaining innovation is really teams trying to innovate on top of their existing products and their
[00:02:46.400 --> 00:02:53.540]   existing customer needs. That is sort of often more the iterative one. It's like Sony trying to make a mirrorless camera better and like
[00:02:53.540 --> 00:02:55.540]   really innovating in that space.
[00:02:55.540 --> 00:03:03.440]   While disruptive innovation is often initially in its infinite stage much worse in quality. It's actually a
[00:03:03.440 --> 00:03:10.760]   characteristic of disruptive innovation is the poor quality that often does meet the need of a niche audience though.
[00:03:10.760 --> 00:03:19.900]   So think about cell phone cameras when they initially came out. Nobody would leave their camera at home, go on vacation and be like I'm gonna take pictures on this like Motorola.
[00:03:19.900 --> 00:03:26.780]   But these days like most people don't even have a camera anymore. Like I just went on vacation and only took my phone.
[00:03:26.780 --> 00:03:35.280]   The exciting thing about AI is that innovation is really happening on both ends of the spectrum. We see both sort of
[00:03:35.280 --> 00:03:46.420]   augmentation of existing workflows like, you know, Photoshop's generative fill. A lot of what Apple announced was baked into existing products, right?
[00:03:46.420 --> 00:03:53.420]   It wasn't a, hey, here's a new AI thing. But it was more built into the features. So that's more on the sustaining innovation side.
[00:03:53.420 --> 00:04:03.300]   While I would say agents, especially in GPT's in general, are more on the disruptive side. Because the reality is agents are not ready for enterprise prime time.
[00:04:03.300 --> 00:04:12.440]   Primarily because the quality is not there yet, right? Like we've, we've all seen sort of agents going rogue, partially even rag based chatbots.
[00:04:12.440 --> 00:04:23.440]   Like not even agents like, you know, hallucinating things like the example of selling, you know, Chevy Tahoe for a dollar or, you know, Air Canada's chatbot making up a policy.
[00:04:23.440 --> 00:04:32.580]   And so because of all of that and overall the lack of clarity in the regulatory space, often within enterprises, the adoption right now is
[00:04:32.580 --> 00:04:36.580]   dictated by legal more than product teams.
[00:04:36.580 --> 00:04:43.720]   And so overall we're seeing sort of a lack of, like it's not ready for the prime time.
[00:04:43.720 --> 00:04:51.720]   The other aspect of it is for a live enterprise, they see AI as a cost saving method and agents are not cheap yet, right?
[00:04:51.720 --> 00:05:00.720]   Like we can do increasingly better like rag based chatbots for low cost, but like agents are still not in the cheap level if you want high quality.
[00:05:00.720 --> 00:05:02.680]   And so they're at odds there.
[00:05:02.680 --> 00:05:12.860]   The difference though is for startups and SMBs, they're really your niche these days where for them, they actually see agents as a way, as a value add, not as a cost saving.
[00:05:12.860 --> 00:05:20.500]   They already know that their quality of customer support and sales and stuff is not where you want it to be.
[00:05:20.500 --> 00:05:30.000]   And so for them, it's much more an opportunity to really add value because, you know, it can't be worse than the current experience.
[00:05:30.000 --> 00:05:34.400]   So why am I talking about the difference between these two types of innovation?
[00:05:34.400 --> 00:05:40.820]   It's very natural for a business actually to focus on sustaining innovation, especially if you're the incumbent in the market.
[00:05:40.820 --> 00:05:45.780]   It's you already have an established customer base, they're already paying you, so that's great.
[00:05:45.780 --> 00:05:52.960]   The problems are well defined and so overall, it's much more predictable and you can you hopefully understand your target customer.
[00:05:52.960 --> 00:05:58.780]   While for disruptive innovation, it's sort of really the opposite and you don't know yet what it's going to be.
[00:05:58.780 --> 00:06:10.920]   And like you often are not going to make money initially, but ignoring disruptive innovation right now can be more dangerous than ever before because the biggest difference between sustaining and disruptive innovation is the quality.
[00:06:10.920 --> 00:06:12.920]   And the quality changes every day, right?
[00:06:12.920 --> 00:06:21.740]   Like every day right now with AI, there's massive leaps and so something that wasn't quite there from a quality perspective yesterday can be there tomorrow.
[00:06:21.740 --> 00:06:26.700]   And in a similar way, a company that is not your concern yesterday can be tomorrow.
[00:06:26.700 --> 00:06:34.660]   I think the best example of this is the impact that ChatGPT and perplexity and similar things had on how Google approaches search, right?
[00:06:34.660 --> 00:06:36.840]   Now we have AI overview and things like that.
[00:06:36.840 --> 00:06:43.800]   And so our team right now is focused on this disruptive innovation aspect.
[00:06:43.800 --> 00:06:59.600]   That's sort of where our innovation perspective comes from is we want to understand what is going to be disruptive to Twilio and how do we prepare for that, react quickly, or be the disruptors in the space and inform the rest of the company about our learnings.
[00:06:59.600 --> 00:07:23.840]   But that wasn't our original agenda, our original agenda was we were founded as a three person Skunk Works team last year that was really focused on special projects and trying to rapidly prototype the bridge between our customer engagement, like our customer data platform and our communications platform to create this customer engagement flywheel that I was talking about.
[00:07:23.840 --> 00:07:37.600]   And to do this in a way of quickly, quickly prototyping solutions, showing them to customers, getting feedback, understanding what is their vision, where are they going to go, not just their current problems, and then iterate on that.
[00:07:37.600 --> 00:07:52.360]   So we found Gen.AI was actually a natural fit for us because the biggest thing about customer engagement is you're sort of sitting between unstructured communications data and structured customer data.
[00:07:52.360 --> 00:07:55.360]   And nobody wants to chat with a JSON object.
[00:07:55.360 --> 00:08:00.560]   And like your unstructured data is not very helpful for analysis.
[00:08:00.560 --> 00:08:03.520]   And really large language models are perfect to bridge this.
[00:08:03.520 --> 00:08:09.280]   They're great at creating this connection and translating structure to unstructured and vice versa.
[00:08:09.280 --> 00:08:15.280]   And so as a result, we dove into prototyping our first two solutions in that space.
[00:08:15.280 --> 00:08:17.880]   And that's what got us into the AI space.
[00:08:17.880 --> 00:08:26.960]   We had conceptualized essentially two features that we showed to customers, iterated on, and ultimately handed off to R&D to take to market.
[00:08:26.960 --> 00:08:34.720]   One of them was the AI personalization engine, which is a rag on top of this customer profile that is within segment.
[00:08:34.720 --> 00:08:42.720]   And then the AI perception engine that was more focused on how do you take communications data and then translate that into a customer profile.
[00:08:42.720 --> 00:08:48.720]   Because within a conversation, there's so much rich information that you want to remember about a customer.
[00:08:48.720 --> 00:08:54.480]   And sometimes a human agent will take notes somewhere, but I realistically want to have one central spot.
