
[00:00:00.000 --> 00:00:01.320]   Dating is inherently deceptive.
[00:00:01.320 --> 00:00:02.300]   You know what?
[00:00:02.300 --> 00:00:05.980]   If you were a total loser, and you would amount to nothing,
[00:00:05.980 --> 00:00:07.600]   and you would add value to no one,
[00:00:07.600 --> 00:00:09.560]   and no one would respect you,
[00:00:09.560 --> 00:00:11.280]   but I would still marry you, how would you feel?
[00:00:11.280 --> 00:00:12.760]   - Ooh! - Why am I the bad guy?
[00:00:12.760 --> 00:00:15.760]   The world is the bad guy!
[00:00:15.760 --> 00:00:18.400]   Isn't this good?
[00:00:18.400 --> 00:00:20.760]   Isn't it good that you have a husband who wants this?
[00:00:27.020 --> 00:00:30.980]   Alright, welcome to the Official/Unofficial Axe2 Network podcast.
[00:00:30.980 --> 00:00:33.960]   We are launching lifelong Kingdom workers from every college town.
[00:00:33.960 --> 00:00:34.820]   My name is Steven.
[00:00:34.820 --> 00:00:37.420]   - I'm Isaiah. - And today we are with Joe and Irene.
[00:00:37.420 --> 00:00:38.260]   - Thanks, guys. - Hello.
[00:00:38.260 --> 00:00:39.500]   - Thanks for coming on. - Good to see you guys.
[00:00:39.500 --> 00:00:40.340]   Yeah.
[00:00:40.340 --> 00:00:44.500]   We want to talk about probably the most interesting topic to college students today,
[00:00:44.500 --> 00:00:45.380]   which is AI.
[00:00:45.380 --> 00:00:46.220]   No, I'm just kidding.
[00:00:46.220 --> 00:00:50.500]   We want to talk about dating and marriage.
[00:00:50.500 --> 00:00:53.180]   But before we get into it, why don't you guys introduce yourselves real quick.
[00:00:53.180 --> 00:00:55.600]   Just what year did you graduate?
[00:00:55.600 --> 00:00:59.940]   Tour some of your peers around our network and just where you're serving.
[00:00:59.940 --> 00:01:00.520]   Yeah.
[00:01:00.520 --> 00:01:01.020]   Cool.
[00:01:01.020 --> 00:01:04.740]   So, I'm Joe, graduated 2006 from UC Berkeley.
[00:01:04.740 --> 00:01:07.880]   Peers around our network, so Josh Wang in Riverside,
[00:01:07.880 --> 00:01:11.860]   Chris Park up in Berkeley, Matt Lee, San Diego,
[00:01:11.860 --> 00:01:14.140]   a couple guys in Merced, Erickson, those guys,
[00:01:14.140 --> 00:01:17.060]   and then Jesse Chen in DMV among some others.
[00:01:17.060 --> 00:01:17.980]   Nice.
[00:01:17.980 --> 00:01:22.360]   Irene, and I graduated 2007, so a year younger than him.
[00:01:22.360 --> 00:01:31.500]   and my peers, Ariana, she's in San Diego, Sherry, Park.
[00:01:31.500 --> 00:01:33.200]   Oh no, she's not Park.
[00:01:33.200 --> 00:01:33.700]   Chung, Chung.
[00:01:33.700 --> 00:01:34.700]   Chung, sorry.
[00:01:34.700 --> 00:01:40.700]   Dora, who's now in Minnesota, Amy Leung, Sue, I forget all their last names.
[00:01:40.700 --> 00:01:41.700]   Katie in the East Coast.
[00:01:41.700 --> 00:01:44.040]   Katie in the East Coast.
[00:01:44.040 --> 00:01:45.040]   Katie in the East Coast.
[00:01:45.040 --> 00:01:46.040]   Um, Cece, Linda.
[00:01:46.040 --> 00:01:47.040]   Yeah.
[00:01:47.040 --> 00:01:47.040]   That's good.
[00:01:47.040 --> 00:01:48.040]   You don't have to name all of them.
[00:01:48.040 --> 00:01:49.040]   Oh, sorry.
[00:01:49.040 --> 00:01:50.040]   It's important because they feel like we're there.
[00:01:50.040 --> 00:01:51.040]   Yeah, yeah, yeah, yeah.
[00:01:51.040 --> 00:01:53.040]   So I'll stop you so they know it's my fault that you're not naming us.
[00:01:53.040 --> 00:01:54.040]   Blame Isaiah.
[00:01:54.040 --> 00:01:55.040]   Thanks.
[00:01:55.040 --> 00:01:56.040]   Yeah.
[00:01:56.040 --> 00:01:57.040]   So, and then you guys are serving at our Irvine church.
[00:01:57.040 --> 00:01:58.040]   Irvine church.
[00:01:58.040 --> 00:01:59.040]   Yes, that's right.
[00:01:59.040 --> 00:02:00.040]   Cool.
[00:02:00.040 --> 00:02:01.040]   Cool.
[00:02:01.040 --> 00:02:02.040]   So we're going to talk about dating and marriage.
[00:02:02.040 --> 00:02:03.040]   Just, just for fun.
[00:02:03.040 --> 00:02:04.040]   Let's, let's talk about.
[00:02:04.040 --> 00:02:05.040]   Your guys isn't married.
[00:02:05.040 --> 00:02:06.040]   Your guys dating.
[00:02:06.040 --> 00:02:07.040]   How long have you been married now?
[00:02:07.040 --> 00:02:08.040]   Oh.
[00:02:08.040 --> 00:02:09.040]   Oh.
[00:02:09.040 --> 00:02:10.040]   I'm sorry.
