
[00:00:00.000 --> 00:00:04.000]   Your tough Tacoma is here.
[00:00:04.000 --> 00:00:06.000]   Your powerful 4Runner.
[00:00:06.000 --> 00:00:08.000]   Your stylish Camry.
[00:00:08.000 --> 00:00:11.000]   Your versatile RAV4.
[00:00:11.000 --> 00:00:15.000]   Even your fully electric VZ4X.
[00:00:15.000 --> 00:00:21.000]   Your new Toyota car, truck, or SUV is available now.
[00:00:21.000 --> 00:00:24.000]   So see your Toyota dealer today.
[00:00:24.000 --> 00:00:26.000]   We make it easy.
[00:00:26.000 --> 00:00:29.000]   Toyota. Let's go places.
[00:00:30.000 --> 00:00:36.000]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:36.000 --> 00:00:40.000]   Whether you're making a traditional roasted turkey or spicy turkey tacos,
[00:00:40.000 --> 00:00:44.000]   your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:44.000 --> 00:00:48.000]   Ralph's has all the freshest ingredients to embrace your traditions.
[00:00:48.000 --> 00:00:50.000]   Ralph's. Fresh for Everyone.
[00:00:50.000 --> 00:00:55.000]   Choose from a great selection of digital coupons and use them up to 5 times in one transaction.
[00:00:55.000 --> 00:00:57.000]   Check our app for details.
[00:00:57.000 --> 00:01:00.000]   Ralph's. Fresh for Everyone.
[00:01:00.000 --> 00:01:03.000]   Today on Radical Personal Finance it's live Q&A.
[00:01:03.000 --> 00:01:19.000]   [Music]
[00:01:19.000 --> 00:01:24.000]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight, and encouragement you need
[00:01:24.000 --> 00:01:29.000]   to live a rich and meaningful life now while building a plan for financial freedom in 10 years or less.
[00:01:29.000 --> 00:01:31.000]   My name is Josh Rascheitz. I'm your host.
[00:01:31.000 --> 00:01:34.000]   Today is Friday, September 23, 2022.
[00:01:34.000 --> 00:01:38.000]   And this Friday, as we do all Fridays in which I can arrange the appropriate technology,
[00:01:38.000 --> 00:01:41.000]   we do live Q&A.
[00:01:41.000 --> 00:01:51.000]   [Music]
[00:01:51.000 --> 00:01:56.000]   These Friday shows are open-line Friday. You can call in and talk with me about anything that you like and ask any questions.
