
[00:00:00.000 --> 00:00:08.980]   [VIDEO PLAYBACK]
[00:00:08.980 --> 00:00:11.840]   -Yeah, so the vision's on in the loop right now.
[00:00:11.840 --> 00:00:27.040]   Would you like to see whether the griffer crushes phones
[00:00:27.040 --> 00:00:27.540]   or not?
[00:00:27.540 --> 00:00:28.540]   -Yes, I'd like that.
[00:00:28.540 --> 00:00:30.020]   -It's a new one.
[00:00:30.020 --> 00:00:31.020]   It's a new one.
[00:00:31.020 --> 00:00:31.520]   -I know.
[00:00:31.520 --> 00:00:34.020]   It shouldn't, but it might.
[00:00:34.020 --> 00:00:35.560]   -Whoa.
[00:00:36.040 --> 00:00:37.700]   [END PLAYBACK]
[00:00:37.700 --> 00:00:40.680]   [AUDIO OUT]
[00:00:40.680 --> 00:00:43.660]   [AUDIO OUT]
[00:00:43.660 --> 00:00:46.640]   [AUDIO OUT]
[00:00:46.640 --> 00:00:49.620]   [AUDIO OUT]
[00:00:49.620 --> 00:00:59.620]   [BLANK_AUDIO]

