
[00:00:00.000 --> 00:00:00.960]   Hey, everyone.
[00:00:00.960 --> 00:00:02.820]   Welcome to the Lead in Space Podcast.
[00:00:02.820 --> 00:00:05.400]   This is Alessio, partner and CTO in Residence
[00:00:05.400 --> 00:00:06.480]   at Decibel Partners.
[00:00:06.480 --> 00:00:09.480]   And I'm joined by my co-host, Svex, founder of Small.ai.
[00:00:09.480 --> 00:00:11.720]   Hey, and today we have in the studio, Sumev Chantala.
[00:00:11.720 --> 00:00:12.240]   Welcome.
[00:00:12.240 --> 00:00:13.800]   Thanks for having me.
[00:00:13.800 --> 00:00:18.640]   On one of your rare visits from New York, where you live.
[00:00:18.640 --> 00:00:25.320]   You got your start in computer vision at NYU with Yann LeCun.
[00:00:25.320 --> 00:00:27.300]   That was a very fortuitous start.
[00:00:27.300 --> 00:00:29.460]   I was actually listening to your interview
[00:00:29.460 --> 00:00:30.440]   on the Gradient Podcast.
[00:00:30.440 --> 00:00:33.320]   So if people want to know more about the history of Sumev,
[00:00:33.320 --> 00:00:35.580]   history of PyTorch, they can go to that podcast.
[00:00:35.580 --> 00:00:37.240]   We won't spend that much time there.
[00:00:37.240 --> 00:00:39.400]   But I just was marveling at your luck,
[00:00:39.400 --> 00:00:42.280]   or I don't know if it's your luck or your drive
[00:00:42.280 --> 00:00:47.460]   to find AI early and then find the right quality mentor.
[00:00:47.460 --> 00:00:51.480]   Because I guess Yann really introduced you to that world.
[00:00:51.480 --> 00:00:54.000]   You're talking about extrinsic success, right?
[00:00:54.000 --> 00:00:57.920]   A lot of people just have drive to do things
[00:00:57.920 --> 00:01:00.080]   that they think is fun.
[00:01:00.080 --> 00:01:02.760]   And a lot of those things might or might not
[00:01:02.760 --> 00:01:06.960]   be extrinsically perceived as good and successful.
[00:01:06.960 --> 00:01:10.620]   I think I just happen to like something
[00:01:10.620 --> 00:01:15.460]   that is now like one of the coolest things in the world
[00:01:15.460 --> 00:01:16.580]   or whatever.
[00:01:16.580 --> 00:01:18.640]   But if I happen--
[00:01:18.640 --> 00:01:25.080]   the first thing I tried to become was 3D VFX artists.
[00:01:25.080 --> 00:01:28.560]   And I was really interested in doing that,
[00:01:28.560 --> 00:01:31.360]   but I turned out to be very bad at it.
[00:01:31.360 --> 00:01:33.300]   So I ended up not doing that further.
[00:01:33.300 --> 00:01:36.400]   But even if I was good at that, whatever,
[00:01:36.400 --> 00:01:39.480]   and I ended up going down that path,
[00:01:39.480 --> 00:01:41.800]   I probably would have been equally happy.
[00:01:41.800 --> 00:01:45.060]   It's just like maybe the perception of, oh,
[00:01:45.060 --> 00:01:48.120]   is this person successful or not might be different.
[00:01:48.120 --> 00:01:53.540]   But I think after a baseline, your happiness is probably
[00:01:53.540 --> 00:01:56.140]   more correlated with your intrinsic stuff.
[00:01:56.140 --> 00:01:57.020]   Yes.
[00:01:57.020 --> 00:01:59.680]   I think Dan Pink has this book on drive
[00:01:59.680 --> 00:02:03.020]   that I often refer to about the power of intrinsic motivation
[00:02:03.020 --> 00:02:05.520]   versus extrinsic and how long extrinsic lasts.
[00:02:05.520 --> 00:02:07.440]   It's not very long at all.
[00:02:07.440 --> 00:02:09.640]   But anyway, now you are an investor in Runway.
[00:02:09.640 --> 00:02:12.620]   So in a way, you're working on VFX.
[00:02:12.620 --> 00:02:13.160]   Yes.
[00:02:13.160 --> 00:02:15.560]   I mean, in a very convoluted way.
[00:02:15.560 --> 00:02:17.840]   It reminds me of the Ed Catmull.
[00:02:17.840 --> 00:02:19.680]   I don't know if you guys know.
[00:02:19.680 --> 00:02:22.520]   He actually tried to become an animator in his early years
[00:02:22.520 --> 00:02:25.260]   and failed, or didn't get accepted by Disney,
[00:02:25.260 --> 00:02:28.760]   and then went and created Pixar and then got bought by Disney
[00:02:28.760 --> 00:02:31.340]   and created Toy Story.
[00:02:31.340 --> 00:02:35.480]   So you joined Facebook in 2014 and eventually became
[00:02:35.480 --> 00:02:37.500]   creator and maintainer of PyTorch.
[00:02:37.500 --> 00:02:39.500]   And there's this long story there
[00:02:39.500 --> 00:02:41.060]   you can refer to on the gradient.
[00:02:41.060 --> 00:02:44.040]   But you also-- I think maybe people don't know that you also
[00:02:44.040 --> 00:02:47.000]   involved in more hardware and cluster decision affair.
[00:02:47.000 --> 00:02:48.500]   And we can dive into more details
[00:02:48.500 --> 00:02:52.600]   there, because we're all about hardware this month.
[00:02:52.600 --> 00:02:55.860]   And then finally, I don't know what else should people
[00:02:55.860 --> 00:02:58.360]   know about you on the personal side or the professional side.
[00:02:58.360 --> 00:03:00.940]   I think open source is definitely
[00:03:00.940 --> 00:03:03.620]   like a big passion of mine and probably forms
[00:03:03.620 --> 00:03:05.400]   a little bit of my identity at this point.
[00:03:05.400 --> 00:03:11.980]   I am irrationally interested in open source.
[00:03:11.980 --> 00:03:17.600]   It's like one of those things that I attribute to--
[00:03:17.600 --> 00:03:21.220]   I think open source has that fundamental way
[00:03:21.220 --> 00:03:27.680]   to distribute opportunity in a way that is very powerful.
[00:03:27.680 --> 00:03:30.740]   I grew up in India.
[00:03:30.740 --> 00:03:33.940]   I didn't have internet for a while.
[00:03:33.940 --> 00:03:36.620]   And in college, actually, I didn't have internet,
[00:03:36.620 --> 00:03:40.880]   except for like GPRS or whatever.
[00:03:40.880 --> 00:03:45.920]   So just having-- and knowledge was very centralized.
[00:03:45.920 --> 00:03:47.820]   But I saw that evolution of knowledge
[00:03:47.820 --> 00:03:49.940]   slowly getting decentralized.
[00:03:49.940 --> 00:03:54.560]   And that ended up helping me learn quicker and faster
[00:03:54.560 --> 00:03:56.460]   for like $0.
[00:03:56.460 --> 00:04:00.460]   And I think that was a strong reason why
[00:04:00.460 --> 00:04:02.420]   I ended up where I am.
[00:04:02.420 --> 00:04:04.900]   So the open source side of things,
[00:04:04.900 --> 00:04:10.100]   I always push regardless of what I get paid for.
[00:04:10.100 --> 00:04:13.440]   I think I would do that as a passion project on the side.
[00:04:13.440 --> 00:04:14.480]   Yeah, that's wonderful.
[00:04:14.480 --> 00:04:16.500]   And we will talk about the challenges
[00:04:16.500 --> 00:04:19.780]   as well that open source has, open models versus closed
[00:04:19.780 --> 00:04:20.860]   models.
