
[00:00:00.000 --> 00:00:05.480]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.480 --> 00:00:13.540]   Whether you're making a traditional roasted turkey or spicy turkey tacos, your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.540 --> 00:00:19.760]   Ralph's has all the freshest ingredients to embrace your traditions. Ralph's fresh for everyone.
[00:00:19.760 --> 00:00:23.000]   We've locked in low prices to help you save big storewide.
[00:00:23.000 --> 00:00:29.460]   Look for the locked in low prices tags and enjoy extra savings throughout the store. Ralph's fresh for everyone.
[00:00:30.020 --> 00:00:35.900]   Answers to all of your early retirement FAQs with a rebel spy.
[00:00:35.900 --> 00:00:57.420]   Welcome to the Radical Personal Finance podcast. Thank you so much for being here. My name is Joshua Sheets.
[00:00:57.620 --> 00:01:01.620]   Today is Thursday, October the 9th, 2014.
[00:01:01.620 --> 00:01:10.820]   And today we are going to start working through the list of all of your frequently asked questions about early retirement
[00:01:10.820 --> 00:01:19.020]   with one of the magnificent moderators from the Money Mustache forums, a rebel spy, aka Joe.
[00:01:25.020 --> 00:01:32.620]   You know, I really love one of my favorite trends going on on the internet right now is just the massive growth of the early retirement community.
[00:01:32.620 --> 00:01:37.500]   And I love the community because it's one of the most positive, upbeat, energetic communities.
[00:01:37.500 --> 00:01:45.820]   And after spending a lot of time in the traditional financial planning world, where oftentimes I've found many clients and people trying to figure out,
[00:01:45.820 --> 00:01:47.420]   "How do I just scrape through?"
[00:01:47.580 --> 00:01:55.980]   It's really exciting to spend time in the early retirement community where people are just focused on, "How can I achieve this massive level of success as quickly as possible?"
[00:01:55.980 --> 00:02:01.980]   And after spending hours trying to encourage people to save 10 or 15% of their income,
[00:02:01.980 --> 00:02:09.180]   it's wonderful to watch people just wake up and say, "I'm going to save 50% of my income," or "I'm going to save 80% of my income."
[00:02:09.180 --> 00:02:11.180]   And so I love this community.
[00:02:11.180 --> 00:02:14.580]   And although this show is not the early retirement show,
[00:02:14.580 --> 00:02:18.580]   there are others who are doing a much better job about with that than I am.
[00:02:18.580 --> 00:02:24.580]   I do think a lot about this, and I am very interested in these topics, and I love being part of the community.
[00:02:24.580 --> 00:02:30.580]   And probably there are a number of active forums online that are engaged around this community.
[00:02:30.580 --> 00:02:33.580]   One of them is, I think it's the early retirement forums.
