
[00:00:00.040 --> 00:00:10.460]   check
[00:03:20.660 --> 00:03:30.800]   Это
[00:03:30.800 --> 00:03:32.100]   and just
[00:03:55.020 --> 00:03:55.020]   and just
[00:04:12.220 --> 00:04:12.240]   and just
[00:04:12.240 --> 00:04:12.440]   and just
[00:04:12.440 --> 00:04:12.460]   and just
[00:04:12.460 --> 00:04:16.460]   and just
[00:04:16.460 --> 00:04:16.460]   and just
[00:04:16.460 --> 00:04:16.600]   and just
[00:04:16.600 --> 00:04:16.760]   and just
[00:04:16.840 --> 00:04:28.240]   usually
[00:07:08.920 --> 00:07:18.280]   around
[00:07:18.280 --> 00:07:19.100]   gi which,,, Mean Им
[00:07:19.100 --> 00:07:28.740]   don he even brick,,,,,,, Gl DE C Sh S N격 make 살짝 but you have to fix the car. And, with the guy is, we are in the car, and, and, and, and, and, and, and, and, and, and, AND,G,And,V,And,Tw.N,II.G.N.G.G.G.G.G.em,
[00:07:28.740 --> 00:07:36.900]   hope. ' invari social care about the quiet and kill the
[00:07:37.020 --> 00:07:44.460]   log
[00:07:44.460 --> 00:08:04.580]   surface a into У 11,,,,,
[00:08:33.860 --> 00:08:41.640]  ively? I?
[00:10:29.540 --> 00:10:41.260]  기는 like con
[00:10:41.260 --> 00:10:59.380]  �ab dis jo is " regain, and, are,atherine, hull, Mario, Mom,ажу, 1200, literally, sin, consecut 他, Lynn, наверное,��, образ,與, the wife, 1920, open, identify, person, serve,�, my, high, the husband,wr, storaThe am,�, bell, determin, change,.', chin, clue, because, лай,ach, beans, pel,ற, TCs. è,ást, marking, cad see, Chat, sandbox rasa THE T.rei.� when
[00:10:59.420 --> 00:11:09.780]   require
[00:11:09.780 --> 00:11:14.560]   perm. I.記得 all accessible
[00:11:29.420 --> 00:11:59.420]   usually have the bed, the part that goes over the cab of the truck where there's a bed inside. And then in the back, there'll be a little table and different facilities. That's a truck camper. And then a pop-up truck camper is one where instead of it being a big, super high top where it's three or four feet above the roofline of the cab of the pickup truck, rather they're low. They're about a foot or a foot and a half there. And then when you get to where you're going, then the top pops up and there are canvas sides all around. So pop-up truck campers are a little bit more of a combination of the two.
[00:11:59.440 --> 00:12:29.440]   The truck campers are very popular among people who want to have a low profile, easy to drive truck camper, especially for the benefit of going on a four-wheel drive truck so that it can be driven down more difficult roads or out into the actual back country. Because the pop-up truck campers have a lower roofline, they're lighter weight, they have a lower roofline, which lowers the center of gravity, and it helps the vehicle itself to maintain more of its four-wheel drive capability. But very few people would choose to have a four-wheel drive truck camper.
[00:12:29.440 --> 00:12:59.460]  , and recline in like you can if you have a larger camper. You don't have a huge amount of space to spread out or you can't flick on a fireplace. It's a very simple thing to sit. You have a dinette, benches and a little table. To lie down, you have a bed, and then you have a little galley that you can cook in. But this couple had been living in the same house for a long time.
[00:12:59.460 --> 00:12:59.460]   It's a very simple thing to sit. You have a dinette, benches and a little table. To lie down, you have a bed, and then you have a little galley that you can cook in.
[00:12:59.460 --> 00:12:59.460]   But this couple had been living in a four-wheel drive truck camper.
[00:12:59.480 --> 00:13:13.240]   And they did it for two years while maintaining their big five-acre, big home in their home place while they were seeing if they really liked it.
[00:13:13.240 --> 00:13:17.880]   But the point is, their rig didn't cost them all that much.
[00:13:17.880 --> 00:13:20.820]   They bought it new, and I guess that's a relative term.
[00:13:20.820 --> 00:13:26.000]   They bought it new, paid about $30,000 for the truck camper, and they bought a new truck to put underneath it.
[00:13:26.000 --> 00:13:29.480]   But that truck camper can last for easily a day.
[00:13:29.480 --> 00:13:29.480]   And they bought a new truck to put underneath it.
[00:13:29.480 --> 00:13:29.480]   But that truck camper can last for easily a day.
[00:13:29.480 --> 00:13:29.480]   But that truck camper can last for easily a day.
[00:13:29.480 --> 00:13:29.480]   And they bought a new truck to put underneath it.
[00:13:29.480 --> 00:13:29.480]   But that truck camper can last for easily a day.
[00:13:29.480 --> 00:13:29.480]   And they bought a new truck to put underneath it.
[00:13:29.480 --> 00:13:29.480]   But that truck camper can last for easily a day.
[00:13:29.480 --> 00:13:29.480]   And they bought a new truck camper to put underneath it.
[00:13:29.500 --> 00:13:59.500]   And they bought a new truck camper to put underneath it.
[00:13:59.500 --> 00:13:59.500]   And they bought a new truck camper to put underneath it.
[00:13:59.500 --> 00:13:59.500]   And they bought a new truck camper to put underneath it.
[00:13:59.500 --> 00:13:59.500]   And they bought a new truck camper to put underneath it.
[00:13:59.500 --> 00:13:59.500]   And they bought a new truck camper to put underneath it.
[00:13:59.500 --> 00:13:59.500]   And they bought a new truck camper to put underneath it.
[00:13:59.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:29.520]   And they bought a new truck camper to put underneath it.
[00:14:29.520 --> 00:14:59.540]   And they bought a new truck camper to put underneath it.
[00:14:59.540 --> 00:14:59.540]   And they bought a new truck camper to put underneath it.
[00:14:59.540 --> 00:14:59.540]   And they bought a new truck camper to put underneath it.
[00:14:59.540 --> 00:14:59.540]   And they bought a new truck camper to put underneath it.
[00:14:59.540 --> 00:14:59.540]   And they bought a new truck camper to put underneath it.
[00:14:59.540 --> 00:14:59.540]   And they bought a new truck camper to put underneath it.
[00:14:59.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:29.560]   And they bought a new truck camper to put underneath it.
[00:15:29.560 --> 00:15:59.580]   And they bought a new truck camper to put underneath it.
[00:15:59.580 --> 00:15:59.580]   And they bought a new truck camper to put underneath it.
[00:15:59.580 --> 00:15:59.580]   And they bought a new truck camper to put underneath it.
[00:15:59.580 --> 00:15:59.580]   And they bought a new truck camper to put underneath it.
[00:15:59.580 --> 00:15:59.580]   And they bought a new truck camper to put underneath it.
[00:15:59.580 --> 00:15:59.580]   And they bought a new truck camper to put underneath it.
[00:15:59.580 --> 00:15:59.580]   And they bought a new truck camper to put underneath it.
[00:15:59.580 --> 00:15:59.580]   And they bought a new truck camper to put underneath it.
[00:15:59.600 --> 00:16:29.600]   I think I'm winning.
[00:16:29.600 --> 00:16:29.600]   I think I'm winning.
[00:16:29.600 --> 00:16:29.600]   I think I'm winning.
[00:16:29.600 --> 00:16:29.600]   I think I'm winning.
[00:16:29.600 --> 00:16:29.600]   But that's a little bit hard to predict,
[00:16:29.600 --> 00:16:29.600]   But that's a little bit hard to predict,
[00:16:29.600 --> 00:16:29.600]   especially when you start bringing in activities and kind of neat experiences that you wind up doing more of.
[00:16:29.600 --> 00:16:29.600]   And I'm not committed to spending less money, but I do say to you this:
[00:16:29.600 --> 00:16:29.600]   But that's a little bit hard to predict, especially when you start bringing in activities and kind of neat experiences that you wind up doing more of.
[00:16:29.600 --> 00:16:29.600]   I'm not committed to spending less money, but I do say to you this:
[00:16:29.600 --> 00:16:29.600]   I'm not committed to spending less money, but I do say to you this:
[00:16:29.600 --> 00:16:29.600]   I'm not committed to spending less money, but I do say to you this:
[00:16:29.600 --> 00:16:29.600]   I'm not committed to spending less money, but I do say to you this:
[00:16:29.640 --> 00:16:59.620]  ,
[00:16:59.620 --> 00:16:59.620]   I'm not committed to spending less money, but I do say to you this:
[00:16:59.620 --> 00:16:59.620]   I'm not committed to spending less money, but I do say to you this:
[00:16:59.620 --> 00:16:59.620]   I'm not committed to spending less money, but I do say to you this:
[00:16:59.620 --> 00:16:59.620]   I'm not committed to spending less money, but I do say to you this:
[00:16:59.620 --> 00:16:59.620]   I'm not committed to spending less money, but I do say to you this:
[00:16:59.620 --> 00:16:59.620]   I'm not committed to spending less money, but I do say to you this:
[00:16:59.620 --> 00:16:59.620]   I'm not committed to spending less money, but I do say to you this:
[00:16:59.640 --> 00:17:29.640]   I'm not committed to spending less money, but I do say to you this:
[00:17:29.640 --> 00:17:29.640]   I'm not committed to spending less money, but I do say to you this:
[00:17:29.640 --> 00:17:29.640]   I'm not committed to spending less money, but I do say to you this:
[00:17:29.640 --> 00:17:29.640]   I'm not committed to spending less money, but I do say to you this:
[00:17:29.640 --> 00:17:29.640]   I'm not committed to spending less money, but I do say to you this:
[00:17:29.640 --> 00:17:29.640]   I'm not committed to spending less money, but I do say to you this:
[00:17:29.640 --> 00:17:29.640]   I'm not committed to spending less money, but I do say to you this:
[00:17:29.640 --> 00:17:29.640]   I'm not committed to spending less money, but I do say to you this:
[00:17:29.640 --> 00:17:29.640]   I'm not committed to spending less money, but I do say to you this:
[00:17:29.640 --> 00:17:29.640]   I'm not committed to spending less money, but I do say to you this:
[00:17:29.640 --> 00:17:29.640]   I'm not committed to spending less money, but I do say to you this:
[00:17:29.660 --> 00:17:59.660]   I'm not committed to spending less money, but I do say to you this:
[00:17:59.660 --> 00:17:59.660]   I'm not committed to spending less money, but I do say to you this:
[00:17:59.660 --> 00:17:59.660]   I'm not committed to spending less money, but I do say to you this:
[00:17:59.660 --> 00:17:59.660]   I'm not committed to spending less money, but I do say to you this:
[00:17:59.660 --> 00:17:59.660]   I'm not committed to spending less money, but I do say to you this:
[00:17:59.660 --> 00:17:59.660]   I'm not committed to spending less money, but I do say to you this:
[00:17:59.660 --> 00:17:59.660]   I'm not committed to spending less money, but I do say to you this:
[00:17:59.660 --> 00:17:59.660]   I'm not committed to spending less money, but I do say to you this:
[00:17:59.660 --> 00:17:59.660]   I'm not committed to spending less money, but I do say to you this:
[00:17:59.660 --> 00:17:59.660]   I'm not committed to spending less money, but I do say to you this:
[00:17:59.660 --> 00:17:59.660]   I'm not committed to spending less money, but I do say to you this:
[00:17:59.680 --> 00:18:29.680]   I'm not committed to spending less money, but I do say to you this:
[00:18:29.680 --> 00:18:29.680]   I'm not committed to spending less money, but I do say to you this:
[00:18:29.680 --> 00:18:29.680]   I'm not committed to spending less money, but I do say to you this:
[00:18:29.680 --> 00:18:29.680]   I'm not committed to spending less money, but I do say to you this:
[00:18:29.680 --> 00:18:29.680]   I'm not committed to spending less money, but I do say to you this:
[00:18:29.680 --> 00:18:29.680]   I'm not committed to spending less money, but I do say to you this:
[00:18:29.680 --> 00:18:29.680]   I'm not committed to spending less money, but I do say to you this:
[00:18:29.680 --> 00:18:29.680]   I'm not committed to spending less money, but I do say to you this:
[00:18:29.680 --> 00:18:29.680]   I'm not committed to spending less money, but I do say to you this:
[00:18:29.680 --> 00:18:29.680]   I'm not committed to spending less money, but I do say to you this:
[00:18:29.700 --> 00:18:59.700]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:18:59.700 --> 00:18:59.700]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:18:59.700 --> 00:18:59.700]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:18:59.700 --> 00:18:59.700]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:18:59.700 --> 00:18:59.700]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:18:59.700 --> 00:18:59.700]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:18:59.700 --> 00:18:59.700]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:18:59.720 --> 00:19:29.720]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:19:29.720 --> 00:19:29.720]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:19:29.720 --> 00:19:29.720]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:19:29.720 --> 00:19:29.720]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:19:29.720 --> 00:19:29.720]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:19:29.720 --> 00:19:29.720]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:19:29.720 --> 00:19:29.720]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:19:29.760 --> 00:19:59.740]  ,
[00:19:59.740 --> 00:19:59.740]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:19:59.740 --> 00:19:59.740]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:19:59.740 --> 00:19:59.740]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:19:59.740 --> 00:19:59.740]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:19:59.740 --> 00:19:59.740]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:19:59.740 --> 00:19:59.740]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:19:59.760 --> 00:20:29.760]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:29.760 --> 00:20:29.760]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:29.760 --> 00:20:29.760]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:29.760 --> 00:20:29.760]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:29.760 --> 00:20:29.760]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:29.760 --> 00:20:29.760]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:29.760 --> 00:20:29.760]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:29.760 --> 00:20:59.780]  ,
[00:20:59.780 --> 00:20:59.780]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:59.780 --> 00:20:59.780]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:59.780 --> 00:20:59.780]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:59.780 --> 00:20:59.780]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:59.780 --> 00:20:59.780]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:59.780 --> 00:20:59.780]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:59.780 --> 00:20:59.780]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:20:59.800 --> 00:21:29.800]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:21:29.800 --> 00:21:29.800]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:21:29.800 --> 00:21:29.800]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:21:29.800 --> 00:21:29.800]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:21:29.800 --> 00:21:29.800]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:21:29.800 --> 00:21:29.800]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:21:29.800 --> 00:21:29.800]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:21:29.800 --> 00:21:59.820]  , HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:21:59.820 --> 00:21:59.820]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:21:59.820 --> 00:21:59.820]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:21:59.820 --> 00:21:59.820]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:21:59.820 --> 00:21:59.820]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:21:59.820 --> 00:21:59.820]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:21:59.840 --> 00:22:29.840]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:29.840 --> 00:22:29.840]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:29.840 --> 00:22:29.840]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:29.840 --> 00:22:29.840]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:29.840 --> 00:22:29.840]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:29.840 --> 00:22:29.840]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:29.840 --> 00:22:29.840]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:29.860 --> 00:22:59.860]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:59.860 --> 00:22:59.860]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:59.860 --> 00:22:59.860]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:59.860 --> 00:22:59.860]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:59.860 --> 00:22:59.860]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:59.860 --> 00:22:59.860]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:59.860 --> 00:22:59.860]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:22:59.900 --> 00:23:29.880]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:23:29.880 --> 00:23:29.880]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:23:29.880 --> 00:23:29.880]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:23:29.880 --> 00:23:29.880]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:23:29.880 --> 00:23:29.880]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:23:29.880 --> 00:23:29.880]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:23:29.880 --> 00:23:29.880]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:23:29.900 --> 00:23:59.900]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:23:59.900 --> 00:23:59.900]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:23:59.900 --> 00:23:59.900]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:23:59.900 --> 00:23:59.900]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:23:59.900 --> 00:23:59.900]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:23:59.900 --> 00:23:59.900]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
