
[00:00:00.000 --> 00:00:01.200]   - Yeah.
[00:00:01.200 --> 00:00:02.340]   - Okay, hi everybody.
[00:00:02.340 --> 00:00:06.520]   Welcome to this tutorial for NBDev.
[00:00:06.520 --> 00:00:10.720]   And I am joined by Silva.
[00:00:10.720 --> 00:00:12.440]   Say hello, Silva.
[00:00:12.440 --> 00:00:13.800]   - Hi.
[00:00:13.800 --> 00:00:18.040]   - Who you guys will know from Fast AI and Alexis.
[00:00:18.040 --> 00:00:19.040]   - Hello.
[00:00:19.040 --> 00:00:21.280]   - Who you won't know necessarily
[00:00:21.280 --> 00:00:23.640]   since he's known as a swift guy,
[00:00:23.640 --> 00:00:25.680]   but he's gonna be here to help
[00:00:25.680 --> 00:00:29.120]   with clarifications and questions
[00:00:29.120 --> 00:00:31.260]   and so forth along the way.
[00:00:31.260 --> 00:00:35.440]   You might recognize him actually briefly mentioned
[00:00:35.440 --> 00:00:38.040]   in part two of the most recent course
[00:00:38.040 --> 00:00:41.280]   during the swift bit.
[00:00:41.280 --> 00:00:43.160]   So we're gonna start,
[00:00:43.160 --> 00:00:46.040]   if you go to NBDev.fast.ai
[00:00:46.040 --> 00:00:49.200]   and on the left click on NBDev tutorial,
[00:00:49.200 --> 00:00:51.280]   we're just gonna step through it step by step.
[00:00:51.280 --> 00:00:53.880]   So there won't really be much information here
[00:00:53.880 --> 00:00:57.600]   that isn't already available
[00:00:57.600 --> 00:00:59.520]   in that tutorial.
[00:00:59.520 --> 00:01:02.040]   So if you're more of a reading person than a video person,
[00:01:02.040 --> 00:01:03.760]   feel free to do the reading version.
[00:01:03.760 --> 00:01:08.840]   So I won't go into too much detail about what NBDev is.
[00:01:08.840 --> 00:01:10.680]   There is as linked here,
[00:01:10.680 --> 00:01:15.200]   a post with a lot of information about why it exists
[00:01:15.200 --> 00:01:16.200]   and what it's for.
[00:01:16.200 --> 00:01:20.400]   But in brief, it's a system for exploratory programming,
[00:01:20.400 --> 00:01:23.480]   which is kind of a way of writing software,
[00:01:23.480 --> 00:01:27.240]   which involves or is kind of cognizant of the fact
[00:01:27.240 --> 00:01:29.120]   that I think for most of us,
[00:01:29.120 --> 00:01:31.120]   90% of the time that we're programming,
[00:01:31.120 --> 00:01:33.280]   we're figuring out how to do things
[00:01:33.280 --> 00:01:35.000]   rather than just typing things in
[00:01:35.000 --> 00:01:36.280]   already knowing how to do things.
[00:01:36.280 --> 00:01:39.400]   So there's a lot of exploration and experimentation.
[00:01:39.400 --> 00:01:40.840]   And so we wanna support that
[00:01:40.840 --> 00:01:44.720]   and even make their process of developing it
[00:01:44.720 --> 00:01:46.240]   something that other people can see
[00:01:46.240 --> 00:01:47.520]   and learn from themselves.
[00:01:47.520 --> 00:01:51.000]   So the platform that is,
[00:01:51.000 --> 00:01:53.400]   this is all built on is as the name suggests,
[00:01:53.400 --> 00:01:55.280]   Jupyter Notebooks.
[00:01:55.280 --> 00:01:56.560]   So this is all gonna assume
[00:01:56.560 --> 00:01:57.800]   that you're at least somewhat familiar
