
[00:00:00.040 --> 00:00:10.500]   0
[00:02:52.720 --> 00:03:22.100]   the way he was a millionaire but he hadn't just thought about it he hadn't looked at it that's very unusual if you work with people with money most of the time you find that the errors are in the other way people usually all understate their expenses and overstate their assets they think they have more money than they do they think they spend less money than they do but unfortunately they have less and spend more than than they think it's very rare to find somebody who counts it the other way
[00:03:38.560 --> 00:03:46.140]   hai
[00:03:46.140 --> 00:03:48.620]   most,,,
[00:03:48.620 --> 00:03:49.960]   Ihrer
[00:03:49.960 --> 00:04:04.160]   is a style, and, I was a sheet now is the ent the termin a the mend the for the семarz화�� nuclear--------—-----, ,-, talk about the из a fine, di, und, can, all, a,oln, change, Touch,視,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แ g달
[00:04:04.160 --> 00:04:06.400]   over the conduct a
[00:04:06.400 --> 00:04:07.820]   corre I'm in your tense' tutti Soul will fortunateonents Saska cätze widely그래 cמ� in the work starve ne
[00:04:07.860 --> 00:04:16.560]   go
[00:04:16.560 --> 00:04:36.880]   or like ...
[00:05:05.940 --> 00:05:05.940]   and like ...
[00:05:05.940 --> 00:05:06.900]   and like ...
[00:05:35.560 --> 00:05:35.600]   ...
[00:05:35.600 --> 00:05:35.620]   ...
[00:05:35.620 --> 00:05:36.920]   ...
[00:05:36.920 --> 00:05:36.920]   ...
[00:05:36.920 --> 00:05:36.920]   ...
[00:06:00.440 --> 00:06:05.440]   ...
[00:06:05.440 --> 00:06:05.440]   ...
[00:06:05.440 --> 00:06:05.460]   ...
[00:06:05.460 --> 00:06:05.500]   ...
[00:06:05.500 --> 00:06:05.540]   ...
[00:06:05.540 --> 00:06:05.620]   ...
[00:06:34.560 --> 00:06:44.840]   its
[00:06:44.840 --> 00:06:45.800]   in a paraly
[00:06:45.800 --> 00:06:47.980]   Anthony No Dar kró開 de est appel de say, he, the, the, the, the, the, the, the, the, the,,,,.,.,.,.,.,.,iem
[00:06:47.980 --> 00:06:49.780]   doll
[00:06:49.780 --> 00:06:53.020]   show
[00:06:53.020 --> 00:07:00.540]   TE M Iniarm.
[00:07:00.540 --> 00:07:02.180]   cush Qご. I'm
[00:07:02.180 --> 00:07:03.880]  аш I know,
[00:07:04.580 --> 00:07:10.540]   concent
[00:07:10.540 --> 00:07:33.440]   try.
[00:07:34.600 --> 00:07:38.220]   paper
[00:07:38.220 --> 00:07:45.500]   discuss body de
[00:07:45.500 --> 00:08:01.460]   1960
[00:08:33.520 --> 00:08:33.520]   and
[00:08:33.520 --> 00:08:33.520]   and
[00:08:33.520 --> 00:08:33.520]   and
[00:08:33.520 --> 00:08:33.520]   and
[00:08:33.560 --> 00:09:03.540]   complicates the story.
[00:09:03.580 --> 00:09:13.660]   four
[00:09:13.660 --> 00:09:18.800]  , covers;� tight out to don
[00:10:21.420 --> 00:10:31.440]   왜
[00:10:31.440 --> 00:10:31.780]   lo four, shook,
[00:10:31.780 --> 00:10:49.980]   - start myinkerMat Ancient lanz maintain the I Hun, the, the, the, the, the, the, the, the, of, the, and, and, and, and, and, and,,,,,,,,.,,.,.,.,.,.,.,., . rare related force alle Uncle Maybeijke fortunate I'm� reinst whites� 33� bring�orf. And then,U Word�
[00:10:50.260 --> 00:11:02.100]   bit
[00:11:02.100 --> 00:11:19.160]  in, I I G cach
[00:14:15.220 --> 00:14:25.640]   path
[00:14:25.640 --> 00:14:26.520]   gia at en
[00:15:13.420 --> 00:15:13.420]   and
[00:15:42.540 --> 00:15:43.440]   and
[00:15:43.440 --> 00:15:43.440]   and
[00:16:13.460 --> 00:16:13.460]   ------
[00:16:13.460 --> 00:16:13.460]   ------
[00:16:13.460 --> 00:16:13.460]   ------
[00:16:13.460 --> 00:16:13.460]   ------
[00:16:13.520 --> 00:16:43.420]   "The Automatic Millionaire" by David Bach, who wrote the book "The Automatic Millionaire",
[00:16:43.460 --> 00:17:13.440]   cualquier "Millionaire" is the right one. He made a lot of money with that brand and I'm glad for it. But he was right about the idea of the Automatic Millionaire. If you just simply set up some basic structural things, buy some decent investments and then invest in them over time, you'll do fine. You don't need to have the best investment. They just got to be good enough and then stay invested and avoid the big errors. That's why if you get those basic structural things right, a well-chosen date, a good deal, and you're happy with that, that's a good thing.
[00:17:13.440 --> 00:17:13.440]   ------
[00:17:13.440 --> 00:17:13.440]   ------
[00:17:13.480 --> 00:17:43.460]   ------
[00:17:43.480 --> 00:18:05.540]   ------
[00:18:05.540 --> 00:18:05.580]   ------
[00:18:05.580 --> 00:18:05.640]   ------
[00:18:05.640 --> 00:18:05.640]   ------
[00:18:05.640 --> 00:18:05.700]   ------
[00:18:05.700 --> 00:18:05.720]   ------
[00:18:05.720 --> 00:18:06.640]   ------
[00:18:06.640 --> 00:18:07.700]   ------
[00:18:07.700 --> 00:18:08.800]   ------
[00:18:08.800 --> 00:18:12.940]   I can't imagine any financial person would recommend to do
[00:18:12.940 --> 00:18:13.480]   the Automatic Millionaire.
[00:18:13.480 --> 00:18:13.480]   of course.
[00:18:13.520 --> 00:18:43.500]  ,
[00:18:43.500 --> 00:18:43.500]   ------
[00:18:43.500 --> 00:18:43.500]   ------
[00:18:43.500 --> 00:18:43.500]   ------
[00:18:43.500 --> 00:18:43.500]   ------
[00:18:43.500 --> 00:18:43.500]   ------
[00:18:43.500 --> 00:18:43.500]   ------
[00:18:43.500 --> 00:18:43.500]   ------
[00:18:43.500 --> 00:18:43.500]   ------
[00:18:43.500 --> 00:18:43.500]   ------
[00:18:43.500 --> 00:18:43.500]   ------
[00:18:43.500 --> 00:18:43.500]   ------
[00:18:43.500 --> 00:18:43.500]   ------ ------
[00:18:43.500 --> 00:18:43.500]   ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ the more reasonable, the more reasonable of an expensive winds, the more reasonable of an expensive winds up being.
[00:18:43.500 --> 00:18:43.500]   to keep the more reasonable of an expensive winds up being. If we could predict our lives with enough services,
[00:18:43.540 --> 00:18:45.600]   de
[00:18:45.600 --> 00:18:54.800]   like,
[00:19:39.780 --> 00:19:39.780]   and,
[00:20:07.960 --> 00:20:10.260]   1
[00:20:10.260 --> 00:20:24.860]   M M L toward with dev
[00:20:24.860 --> 00:20:36.340]  는

