
[00:00:00.040 --> 00:00:09.620]  裝
[00:00:09.620 --> 00:00:10.800]   don our, de Anyone
[00:00:10.800 --> 00:00:23.960]   one, ., connect with the top of his
[00:00:23.960 --> 00:00:27.860]   Jon części
[00:00:28.280 --> 00:00:30.000]  emark: Fresh for everyone.
[00:00:30.000 --> 00:00:47.180]   sound. Yep. All right. I'm going to slate the day with Jon Taylor Gatto. Roll three.
[00:00:55.960 --> 00:01:23.660]  , ., connect with the top of his
[00:01:23.660 --> 00:01:23.660]   ., connect with the top of his
[00:01:23.660 --> 00:01:23.660]   ., connect with the top of his
[00:01:23.660 --> 00:01:23.660]   ., connect with the top of his head.
[00:01:23.660 --> 00:01:23.660]   ., connect with the top of his head.
[00:01:23.660 --> 00:01:23.660]   ., connect with the top of his head.
[00:01:23.660 --> 00:01:23.660]   ., connect with the top of his head.
[00:01:23.660 --> 00:01:23.700]   ., connect with the top of his head.
[00:01:23.700 --> 00:01:23.700]   ., connect with the top of his head.
[00:01:23.700 --> 00:01:23.700]   ., connect with the top of his head.
[00:01:23.700 --> 00:01:23.760]   ., connect with the top of his head.
[00:01:23.760 --> 00:01:23.880]   ., connect with the top of his head.
[00:01:23.880 --> 00:01:23.920]   ., connect with the top of his head.
[00:01:23.920 --> 00:01:23.960]   ., connect with the top of his head.
[00:01:23.960 --> 00:01:24.000]   ., connect with the top of his head.
[00:01:24.000 --> 00:01:24.080]   ., connect with the top of his head.
[00:01:24.080 --> 00:01:24.160]   ., connect with the top of his head.
[00:01:24.160 --> 00:01:24.240]   ., connect with the top of his head.
[00:01:24.280 --> 00:01:34.880]   sea
[00:01:34.880 --> 00:01:48.320]  ビ mind,,, de via
[00:03:52.940 --> 00:04:21.720]  nier than that, it was the metaphysical club at Harvard, right around the turn of the 20th century and it contained such muscular figures as William James, who is the reason we have a course in college's academic psychology. That's James Prestige brought that in and James was a kind of a man.
[00:04:21.720 --> 00:04:21.720]   James Prestige: a man.
[00:04:21.720 --> 00:04:22.020]   James Prestige: a man.
[00:04:41.020 --> 00:04:51.200]   James Prestige: a man.
[00:04:51.200 --> 00:04:51.600]   James Prestige: a man. And he was a, he had a ligature to want, although want intimidated James a bet because he wrote so much and so copiously about everything. But in the metaphysical club besides William James was John Dewey, Oliver Wendell Holmes, and a number of other shapers of 20th century American individuals.
[00:04:51.600 --> 00:04:51.600]   James Prestige: a man.
[00:04:51.600 --> 00:04:51.900]   James Prestige: a man.
[00:04:51.900 --> 00:04:52.020]   James Prestige: a man.
[00:04:52.020 --> 00:05:13.100]  -
[00:05:13.100 --> 00:05:14.160]   James Prestige: a man.
[00:05:14.160 --> 00:05:14.200]   James Prestige: a man.
[00:05:14.200 --> 00:05:14.240]   James Prestige: a man.
[00:05:14.240 --> 00:05:14.280]   James Prestige: a man.
[00:05:14.280 --> 00:05:14.340]   James Prestige: a man.
[00:05:14.340 --> 00:05:14.400]   James Prestige: a man.
[00:05:14.400 --> 00:05:14.440]   James Prestige: a man.
[00:05:14.440 --> 00:05:14.520]   James Prestige: a man.
[00:05:14.520 --> 00:05:14.540]   James Prestige: a man.
[00:05:14.540 --> 00:05:14.600]   James Prestige: a man.
[00:05:14.600 --> 00:05:14.640]   James Prestige: a man.
[00:05:14.640 --> 00:05:14.700]   James Prestige: a man.
[00:05:14.700 --> 00:05:14.780]   James Prestige: a man.
[00:05:18.900 --> 00:05:27.860]   be
[00:05:27.860 --> 00:05:30.540]   but it
[00:05:48.920 --> 00:05:56.240]   away
