
[00:00:00.000 --> 00:00:05.920]   Hello, everyone.
[00:00:05.920 --> 00:00:12.120]   Well Pastor John's new book, Coronavirus and Christ, is now available in 20 languages,
[00:00:12.120 --> 00:00:17.240]   including American Sign Language, and soon to be in 29 total languages, with the potential
[00:00:17.240 --> 00:00:20.800]   for even more languages to be added in the near future.
[00:00:20.800 --> 00:00:24.560]   It's been very encouraging to see how fast this book has been translated and how far
[00:00:24.560 --> 00:00:28.380]   it has reached across the world in such a short time.
[00:00:28.380 --> 00:00:32.540]   Here in the States, we've seen pastors buying cases of the book and putting them on a table
[00:00:32.540 --> 00:00:35.320]   outside the front of their church building so that members could drive up through the
[00:00:35.320 --> 00:00:37.820]   week and take a free copy.
[00:00:37.820 --> 00:00:42.040]   We've seen family and friends posting links to the free book and the free audiobook online.
[00:00:42.040 --> 00:00:47.120]   It's been amazing to watch the DG community help us spread word online and offline.
[00:00:47.120 --> 00:00:48.840]   Thank you so much.
[00:00:48.840 --> 00:00:52.560]   So many encouraging updates have been arriving by the day, but of course, not all the updates
[00:00:52.560 --> 00:00:54.200]   have been positive.
[00:00:54.200 --> 00:00:58.920]   This week, a major news outlet reported on the book in a story of a US Army chaplain
[00:00:58.920 --> 00:01:01.880]   under fire for commending the book.
[00:01:01.880 --> 00:01:04.920]   Senior Army Chaplain Colonel Moon H. Kim.
[00:01:04.920 --> 00:01:08.460]   He's the US Army's command chaplain based in South Korea.
[00:01:08.460 --> 00:01:12.560]   He apparently passed along an email to the Coronavirus and Christ book, passed it along
[00:01:12.560 --> 00:01:19.460]   to fellow military chaplains, commended the book to them, and for it, got severely criticized.
[00:01:19.460 --> 00:01:24.800]   No criticized, there's now a call for him to be disciplined and even possibly court-martialed.
[00:01:24.800 --> 00:01:30.680]   In a letter to the Secretary of Defense published online from an organization called the Military
[00:01:30.680 --> 00:01:36.580]   Religious Freedom Foundation, accuses the chaplain of "an absolutely egregious and deplorable
[00:01:36.580 --> 00:01:38.440]   act."
[00:01:38.440 --> 00:01:42.360]   It says that in sharing the book, he gave a "full-fledged endorsement in validation of
[00:01:42.360 --> 00:01:46.040]   what the book espouses and proclaims."
[00:01:46.040 --> 00:01:50.980]   The letter recommends that Kim be "officially, swiftly, aggressively, and visibly investigated
[00:01:50.980 --> 00:01:56.020]   and disciplined in punishment for his deplorable actions."
[00:01:56.020 --> 00:02:00.580]   That is for commending your book to fellow chaplains because what you write is, the letter
[00:02:00.580 --> 00:02:05.120]   says, "unmitigated drivel."
[00:02:05.120 --> 00:02:09.720]   The letter to the Secretary of Defense is remarkable because of how much of your book
[00:02:09.720 --> 00:02:12.800]   it actually quotes, at least 10 citations in the letter.
[00:02:12.800 --> 00:02:18.400]   As you read this response, what do you think of how you're quoted and interpreted, and
[00:02:18.400 --> 00:02:21.120]   is the letter a fair interpretation of your book?
[00:02:21.120 --> 00:02:23.840]   Well, Tony, some of it is.
[00:02:23.840 --> 00:02:32.120]   I think it would be fair to say that some of my views about what the Bible teaches,
[00:02:32.120 --> 00:02:37.600]   even rightly understood, the author of that letter hates.
[00:02:37.600 --> 00:02:40.440]   He hates what I think.
[00:02:40.440 --> 00:02:50.520]   They are, he says, "incendiary, bigoted, vulgar," not just because he misunderstands,
[00:02:50.520 --> 00:02:57.480]   but because in part, because he does understand, and that's how he thinks and feels about some
[00:02:57.480 --> 00:02:59.680]   of what the Bible teaches.
[00:02:59.680 --> 00:03:09.240]   For example, the truth of Romans 5:16, that not only some death, but all death, including
[00:03:09.240 --> 00:03:15.320]   yours, Tony, and mine, is the result of God's judgment on the human race because sin entered
[00:03:15.320 --> 00:03:16.920]   the world.
[00:03:16.920 --> 00:03:23.680]   Or second, that God is sovereign over the coronavirus and sends it and ends it when
[00:03:23.680 --> 00:03:24.680]   he wills.
[00:03:24.680 --> 00:03:30.760]   Or third, that homosexual intercourse is a sin.
[00:03:30.760 --> 00:03:39.840]   Or fourth, that the coronavirus is a call for repentance to all of us, all of us, to
[00:03:39.840 --> 00:03:43.640]   bring our lives into alignment with the infinite worth of Jesus.
[00:03:43.640 --> 00:03:50.520]   I think the author of that letter considers all of those views as wrong.
[00:03:50.520 --> 00:03:51.520]   That's putting it mildly.
[00:03:51.520 --> 00:03:56.440]   I mean, his language is very colorful.
[00:03:56.440 --> 00:04:03.680]   While I consider all of those views to be true because they are what the Bible teaches,
[00:04:03.680 --> 00:04:06.680]   and therefore they're very valuable to know.
[00:04:06.680 --> 00:04:13.760]   So I think it's not just that he misunderstands, but that he gets some things right in those
[00:04:13.760 --> 00:04:17.720]   quotes and he just doesn't like them, period.
[00:04:17.720 --> 00:04:18.760]   Yeah.
[00:04:18.760 --> 00:04:23.560]   And obviously there are places where the author of this letter gets your meaning wrong.
[00:04:23.560 --> 00:04:24.560]   Take us through those areas.
[00:04:24.560 --> 00:04:25.920]   What do you see?
[00:04:25.920 --> 00:04:37.080]   Well, I see at least three things that the letter and the interview with one of the news
[00:04:37.080 --> 00:04:40.040]   outlets gets wrong about the book.
[00:04:40.040 --> 00:04:49.560]   For example, when I say some people will be infected with the coronavirus as a specific
[00:04:49.560 --> 00:04:57.440]   judgment from God because of their sinful attitudes and actions, he assumes that I know
[00:04:57.440 --> 00:05:04.360]   who those people are, or at least what kind of people they are.
[00:05:04.360 --> 00:05:06.720]   But here's what I write on page 72.
[00:05:06.720 --> 00:05:12.300]   And if anybody wants to just check it out, there's pages 69 to 72 are the real ones he's
[00:05:12.300 --> 00:05:14.880]   after and they can go look.
[00:05:14.880 --> 00:05:19.200]   But here's what I say in the summing up of that little chapter.
[00:05:19.200 --> 00:05:27.240]   The coronavirus is never a clear and simple punishment on any person.
[00:05:27.240 --> 00:05:34.240]   The most loving, Spirit-filled Christian whose sins are forgiven through Christ may die of
[00:05:34.240 --> 00:05:37.280]   the coronavirus disease.
[00:05:37.280 --> 00:05:45.840]   But it is fitting that every one of us search our own heart to discern if our suffering
[00:05:45.840 --> 00:05:48.240]   is God's judgment on the way we live."
[00:05:48.240 --> 00:05:53.480]   In other words, God does judge people with sickness.
[00:05:53.480 --> 00:05:56.280]   That's very clear from 1 Corinthians 11.32.
[00:05:56.280 --> 00:05:59.280]   And there it's even talking about Christians.
[00:05:59.280 --> 00:06:09.200]   But I can't—John Piper and you or anybody else can't determine from outside who is experiencing
[00:06:09.200 --> 00:06:17.480]   the coronavirus as judgment in a punitive sense and who's experiencing it, say, as purification
[00:06:17.480 --> 00:06:22.440]   or who's experiencing it for other reasons that God may have.
[00:06:22.440 --> 00:06:34.360]   My point was God does do all these things and all of us should do sober-minded self-assessment
[00:06:34.360 --> 00:06:41.680]   to discern as well as we can what God's purposes are in all that happens to us.
[00:06:41.680 --> 00:06:48.920]   And I take the Bible, the Christian scriptures, as the main guide in these things, and the
[00:06:48.920 --> 00:06:52.960]   author of this letter apparently doesn't.
[00:06:52.960 --> 00:06:57.040]   And there's the big canyon between our worldviews.
[00:06:57.040 --> 00:07:00.520]   Yeah, that's a really important point.
[00:07:00.520 --> 00:07:03.720]   You said there were three misunderstandings.
[00:07:03.720 --> 00:07:07.160]   It seems that one of those obviously is the question over homosexuality.
[00:07:07.160 --> 00:07:08.160]   Right.
[00:07:08.160 --> 00:07:16.080]   You could say probably that that issue is a specific instance of the first misunderstanding.
[00:07:16.080 --> 00:07:23.840]   As far as I can see, the author of that letter wants to say that Piper thinks every person
