
[00:00:00.000 --> 00:00:05.080]   And now we can try something funny here, like say, the doctor and machine learning.
[00:00:05.080 --> 00:00:17.600]   The humans are being controlled by a virus, but the doctor has been experimenting with a new kind of intelligence, machine learning, that he hopes will be able to break the hold of the virus.
[00:00:17.600 --> 00:00:19.320]   OK, so it's generating.
[00:00:19.320 --> 00:00:20.200]   So let's try some more.
[00:00:20.200 --> 00:00:26.040]   Hey, what is going on, everybody?
[00:00:26.040 --> 00:00:36.480]   It's Ivan here, and this is going to be a really interesting and really practical video about fine tuning one of the most exciting ML models out there, which is OpenAI's GPT-3.
[00:00:36.480 --> 00:00:44.600]   And the funniest part about the video is that for data, it will use episode synopsis from one of my favorite TV shows of all time, Doctor Who.
[00:00:44.600 --> 00:00:50.440]   This will practically be fine tuning GPT-3 to come up with new sci-fi TV show ideas.
[00:00:51.360 --> 00:00:57.960]   If you have a problem that you want to use fine tuning for, we'll start off by discussing if GPT-3 is going to be right for your task.
[00:00:57.960 --> 00:01:05.840]   Then we'll talk about data preparation, jump into the actual fine tuning and then explore the ways in which we can test the model's predictions.
[00:01:05.840 --> 00:01:11.880]   So and if you're excited about this video, smash that like button and consider subscribing to our channel.
[00:01:11.880 --> 00:01:17.280]   And if you have any questions, as always, drop them in the comments section down below and I'll be happy to answer you.
[00:01:17.600 --> 00:01:25.160]   And so I'd like to start off by talking about a couple doubts that I've had and misconceptions maybe that I've had about fine tuning GPT-3
[00:01:25.160 --> 00:01:32.880]   in the hopes that if you're sort of doubting whether you should actually try it, that that would be useful for your task,
[00:01:32.880 --> 00:01:41.920]   that we can kind of clear up some of those doubts and that you can have a clearer idea as to whether GPT-3 is going to be suitable for your task.
[00:01:42.080 --> 00:01:49.960]   And if you watch Doctor Who, you know that it's like a really jargon heavy show with like different sci-fi futuristic tech and like aliens and stuff.
[00:01:49.960 --> 00:02:00.840]   And I was really surprised how GPT-3 picked up like on all the different like jargons from the show, because if like if you watch Doctor Who, you know that like there are different like aliens and like sci-fi tech and all that stuff.
[00:02:00.840 --> 00:02:06.880]   But it also picked up on things like British spellings, which is like really surprising because, again, just a couple of hundred data points.
[00:02:06.920 --> 00:02:13.040]   So you don't really need like a crazy large data set to fine tune GPT-3 model is I guess what I'm trying to say here.
[00:02:13.040 --> 00:02:22.240]   And so the second thing that I found surprising is that for all the fine tunes that I did through OpenAI's API, they did not cost me more than a dollar.
[00:02:22.240 --> 00:02:31.040]   In fact, like most of the fine tunes that I did, which produced amazing results, costed like 60 cents or like 70 cents or like around that amount.
[00:02:31.200 --> 00:02:41.120]   And it's obviously really important to note here that you should go to OpenAI for the most relevant like pricing information that it's going to vary depending on the size of the model you're using and the data and for how long you're training.
[00:02:41.120 --> 00:02:48.200]   But that's just me trying to say like for this task to get like this results, a fine tune costed like 70 cents.
[00:02:48.200 --> 00:02:53.760]   So that is to say, you know, checking with the OpenAI API for like the relevant pricing info.
[00:02:53.760 --> 00:02:59.600]   But if you have like a certain problem that you want to apply fine tuning GPT-3 for, it might as well be really affordable.
[00:03:00.120 --> 00:03:10.120]   And so the third kind of like doubt that I jumped into fine tuning GPT-3 with was I was thinking like, you know, what if training takes like days or like weeks or something like that?
[00:03:10.120 --> 00:03:12.880]   I was hoping that, but like I wasn't sure.
[00:03:12.880 --> 00:03:28.000]   And I was also like pleasantly surprised here because like, again, at least in the context of this task, like in my experience of running like tens of fine tunes on this data, is that not for one of them, training took longer than like 15 minutes.
[00:03:28.000 --> 00:03:30.080]   Like most of them were like under 15 minutes.
[00:03:30.080 --> 00:03:33.160]   In fact, like I don't remember like a single one that was like longer than that.
[00:03:33.160 --> 00:03:40.360]   So and of course, like needless to say that like OpenAI, like you're uploading your data to OpenAI API to do the training.
[00:03:40.360 --> 00:03:42.440]   So like it doesn't matter what kind of hardware you have.
[00:03:42.440 --> 00:03:46.080]   And it just takes, it just trains like really, really quickly.
[00:03:46.080 --> 00:03:49.280]   So I was like pleasantly surprised with that.
[00:03:49.880 --> 00:03:58.320]   So hopefully talking about the size of the data set that I used, the pricing and the training time kind of helps you decide if you want to try GPT-3.
[00:03:58.320 --> 00:04:05.240]   And so the thing that I wanted to note really quickly is that I wrote like a really detailed like guide about this whole process that I'll link to in the video description.
[00:04:05.240 --> 00:04:12.520]   So all that I say is like feel free to, you know, as I'll be diving into more of the practical stuff right now to kind of lay back and just like enjoy the video.
[00:04:12.760 --> 00:04:20.080]   And then if you want to like replicate some of the steps, you can like refer to that written guide and just like follow that for some of the steps here.
