
[00:00:00.000 --> 00:00:05.300]   It has been an interesting few days for the pursuit of Artificial General Intelligence.
[00:00:05.300 --> 00:00:14.820]   So I wanted to give you some of the highlights from GPT 4 point something to recursively improving semiconductor manufacturing.
[00:00:14.820 --> 00:00:20.340]   We got at least five revealing quotes from Jensen Huang, Sam Altman and others.
[00:00:20.340 --> 00:00:22.260]   And the summary is this.
[00:00:22.260 --> 00:00:37.020]   If you thought or know someone who thinks that Artificial Intelligence peaked with chat GPT, you or they are going to have to weather exponential increases in computational power through at least the rest of this decade.
[00:00:37.020 --> 00:00:46.140]   As Sam Altman just said of 2024, and I agree, this is the most interesting year in human history, except for all future years.
[00:00:46.140 --> 00:00:52.660]   So let's start with Sam Altman, who said that OpenAI's goal is to avoid shocking updates.
[00:00:52.660 --> 00:00:56.860]   Our goal is not to have shock updates to the world, but that's what we're trying to do.
[00:00:56.860 --> 00:00:58.500]   That's like our state of the strategy.
[00:00:58.500 --> 00:01:00.620]   And I think we're somehow missing the mark.
[00:01:00.620 --> 00:01:05.020]   So maybe we should think about, you know, releasing GPT 5 in a different way or something like that.
[00:01:05.020 --> 00:01:08.540]   Yeah, 4.71, 4.72.
[00:01:08.540 --> 00:01:12.500]   And what does he mean by releasing iteratively without shock updates?
[00:01:12.500 --> 00:01:16.780]   Well, probably something similar to another co-founder of OpenAI, Greg Brockman.
[00:01:16.780 --> 00:01:29.780]   He said that their plan for safety involved deploying GPT 5 in stages, essentially creating a continuum of incrementally better AIs, such as by deploying subsequent checkpoints of a given training run.
[00:01:29.780 --> 00:01:33.580]   Think of that like saves on the way to completing a video game.
[00:01:33.580 --> 00:01:40.460]   In short, it's highly likely now that we will be getting something equivalent to GPT 4.5 before we get GPT 5.
[00:01:40.460 --> 00:01:46.020]   As to whether the marketing department comes up with a better name than GPT 4.5, well, let's see.
[00:01:46.020 --> 00:01:48.020]   And on timing, he said this.
[00:01:48.020 --> 00:01:50.140]   Blink twice if it's this year.
[00:01:50.140 --> 00:01:56.380]   I also...
[00:01:56.380 --> 00:02:00.660]   We will release an amazing new model this year.
[00:02:00.660 --> 00:02:02.140]   I don't know what we'll call it.
[00:02:02.140 --> 00:02:06.060]   We'll release over in the coming months.
[00:02:06.060 --> 00:02:08.540]   Many different things, I think they'll be very cool.
[00:02:08.540 --> 00:02:17.660]   I think before we talk about like a GPT 5 like model called that or not called that or a little bit worse or a little bit better than what you'd expect from a GPT 5.
[00:02:17.660 --> 00:02:20.460]   I know we have a lot of other important things to release.
[00:02:20.460 --> 00:02:23.140]   And don't forget that not all progress depends on new models.
[00:02:23.140 --> 00:02:28.300]   We can have new systems like Let's Verify or Q* based on existing models.
[00:02:28.300 --> 00:02:34.180]   Sam Altman practically confirmed the existence of Q* in this interview with Lex Friedman from yesterday.
[00:02:34.180 --> 00:02:36.060]   Can you speak to what Q* is?
[00:02:36.060 --> 00:02:37.820]   We are not ready to talk about that.
[00:02:37.820 --> 00:02:40.660]   See, but an answer like that means there's something to talk about.
[00:02:40.660 --> 00:02:42.980]   It's very mysterious, Sam.
[00:02:42.980 --> 00:02:45.820]   I mean, we work on all kinds of research.
[00:02:45.820 --> 00:02:46.820]   Yeah.
[00:02:46.820 --> 00:02:54.180]   I've done an entire video gathering the best evidence as to what Q* is, so do check that one out.
[00:02:54.180 --> 00:02:57.940]   But if you want the massively condensed TL;DR, it's this.
[00:02:57.940 --> 00:03:05.780]   Models can essentially think or compute for longer on harder questions and generate thousands of example answers
[00:03:05.780 --> 00:03:10.980]   and have internal systems for checking which answer is best and only showing you that best answer.
[00:03:10.980 --> 00:03:15.020]   A system two to complement the base system one thinking, if you will.
[00:03:15.020 --> 00:03:20.460]   But before we leave that interview, there were two more fascinating quotes, at least from my perspective, that I want to show you.
[00:03:20.460 --> 00:03:27.300]   One involved the possible social response to ever improving AI and the chances of it going theatrically wrong.
[00:03:27.300 --> 00:03:28.460]   I worry about that for AI.
[00:03:28.460 --> 00:03:32.860]   I think some things are going to go theatrically wrong with AI.
