
[00:00:00.000 --> 00:00:00.640]   Hello, everybody.
[00:00:00.640 --> 00:00:02.400]   It's Sam from Financial Samurai.
[00:00:02.400 --> 00:00:06.040]   And in this episode, I want to talk about buying real estate
[00:00:06.040 --> 00:00:10.320]   in this COVID-19 global pandemic era.
[00:00:10.320 --> 00:00:12.560]   Real estate is my favorite asset class
[00:00:12.560 --> 00:00:14.960]   to build wealth because it's simple to understand.
[00:00:14.960 --> 00:00:16.280]   It's a tangible asset.
[00:00:16.280 --> 00:00:18.440]   And it provides income.
[00:00:18.440 --> 00:00:20.560]   Unlike stocks, the value of real estate
[00:00:20.560 --> 00:00:22.800]   doesn't just go poof overnight.
[00:00:22.800 --> 00:00:23.680]   Just think about it.
[00:00:23.680 --> 00:00:27.560]   When the stock market was declining by 10% a day,
[00:00:27.560 --> 00:00:32.120]   and when the S&P 500 was down about 32% at one point,
[00:00:32.120 --> 00:00:36.360]   did the value of real estate drop by 10% a day and 32%?
[00:00:36.360 --> 00:00:41.960]   Were you seeing sales down 32% the very next week, or that day,
[00:00:41.960 --> 00:00:43.280]   or the next month?
[00:00:43.280 --> 00:00:44.200]   No.
[00:00:44.200 --> 00:00:46.720]   Instead, what you've seen is that real estate
[00:00:46.720 --> 00:00:50.200]   has held its value during the pandemic so far.
[00:00:50.200 --> 00:00:53.400]   And some places actually ticked up in value
[00:00:53.400 --> 00:00:56.600]   because money rushed out of stocks and into real estate.
[00:00:56.600 --> 00:00:59.800]   So in this episode, I think it's very important
[00:00:59.800 --> 00:01:01.960]   to highlight the opportunity that real estate
[00:01:01.960 --> 00:01:03.440]   investors have right now.
[00:01:03.440 --> 00:01:05.880]   I don't think that opportunity is going to last very long,
[00:01:05.880 --> 00:01:08.520]   maybe one month or two months.
[00:01:08.520 --> 00:01:11.600]   Your mission, if you choose to accept,
[00:01:11.600 --> 00:01:14.320]   is to find that real estate seller who
[00:01:14.320 --> 00:01:16.880]   is the equivalent of the stock seller
[00:01:16.880 --> 00:01:21.360]   when the Dow was below 19,000 and when the S&P 500 was
[00:01:21.360 --> 00:01:22.880]   below 2,300.
[00:01:22.880 --> 00:01:24.920]   Now, it's going to be a little bit hard to find
[00:01:24.920 --> 00:01:27.320]   because inventory is down.
[00:01:27.320 --> 00:01:30.440]   And when a lot of people talk about, OK, well,
[00:01:30.440 --> 00:01:32.760]   real estate is the next shoe to drop
[00:01:32.760 --> 00:01:35.600]   because look what happened in 2008 and 2009
[00:01:35.600 --> 00:01:40.400]   when the stock market fell 55%, but real estate prices also
[00:01:40.400 --> 00:01:43.320]   fell 20%, 30%, 40%, 50%.
[00:01:43.320 --> 00:01:45.040]   It's a different situation here, folks.
[00:01:45.040 --> 00:01:48.920]   Back then in 2008, 2009, we had over leverage
[00:01:48.920 --> 00:01:50.760]   in the financial industry.
[00:01:50.760 --> 00:01:54.080]   We had over leverage in the housing market.
[00:01:54.080 --> 00:01:57.360]   People were buying homes with 0% down,
[00:01:57.360 --> 00:01:59.840]   and people were just borrowing as much as they could
[00:01:59.840 --> 00:02:02.560]   because banks were lending as much as they could.
[00:02:02.560 --> 00:02:06.240]   It was a crap show back then, and it took a long time
[00:02:06.240 --> 00:02:08.200]   to unwind that leverage.
[00:02:08.200 --> 00:02:11.840]   When people go bankrupt, it takes seven years to recover.
[00:02:11.840 --> 00:02:12.960]   But they do recover.
[00:02:12.960 --> 00:02:16.160]   Here in this example, everything is self-imposed,
[00:02:16.160 --> 00:02:19.360]   this lockdown to fight the virus.
[00:02:19.360 --> 00:02:21.440]   And so as you are seeing in the news
[00:02:21.440 --> 00:02:24.880]   and you are listening from the governors and the mayors
[00:02:24.880 --> 00:02:27.000]   around the countries, these lockdowns
[00:02:27.000 --> 00:02:31.440]   will be ending partially in May and hopefully continuously
[00:02:31.440 --> 00:02:33.240]   in June, July, and beyond.
[00:02:33.240 --> 00:02:36.880]   The Redfin CEO did say recently that demand
[00:02:36.880 --> 00:02:41.400]   is down about 20% in terms of traffic to the Redfin website.
[00:02:41.400 --> 00:02:42.880]   And I like Redfin a lot because I
[00:02:42.880 --> 00:02:45.520]   think their algorithm is the best for valuing property
[00:02:45.520 --> 00:02:46.880]   and finding properties.
[00:02:46.880 --> 00:02:50.880]   Well, despite demand being down 20%,
[00:02:50.880 --> 00:02:54.600]   the listings, the inventory on its platform,
[00:02:54.600 --> 00:02:56.000]   is down about 60%.
[00:02:56.000 --> 00:02:57.560]   And this is nationwide.
[00:02:57.560 --> 00:03:01.520]   So demand is down 20%, but listings or inventory
[00:03:01.520 --> 00:03:03.080]   is down 60%.
[00:03:03.080 --> 00:03:07.200]   Therefore, one can conclude that pricing is going to stay steady,
[00:03:07.200 --> 00:03:08.760]   if not actually tick up.
[00:03:08.760 --> 00:03:11.160]   You can see from one of my recent posts
[00:03:11.160 --> 00:03:13.920]   with highlighted examples of real estate outperformance
[00:03:13.920 --> 00:03:16.200]   in San Francisco and in Honolulu.
[00:03:16.200 --> 00:03:18.240]   And they just keep on coming, folks.
[00:03:18.240 --> 00:03:19.680]   So for those of us who are trying
[00:03:19.680 --> 00:03:23.480]   to be opportunistic in building wealth and buying real estate
[00:03:23.480 --> 00:03:25.400]   during this pandemic, it's going to be
[00:03:25.400 --> 00:03:27.640]   tough to find the panic sellers.
[00:03:27.640 --> 00:03:32.680]   But they are out there because we did see the stock market
[00:03:32.680 --> 00:03:34.000]   collapse by 32%.
[00:03:34.000 --> 00:03:37.120]   And we did see many, many people and institutions
[00:03:37.120 --> 00:03:39.040]   sell at those levels.
[00:03:39.040 --> 00:03:41.760]   So based on the law of large numbers,
[00:03:41.760 --> 00:03:45.800]   even if just 5% of the people are still freaked out
[00:03:45.800 --> 00:03:49.360]   and think that we're going to retest the lows, which we very
[00:03:49.360 --> 00:03:54.720]   well may, or go much lower, which we very well may,
