
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:12.820]   - You mentioned the idea of out, outtelligence.
[00:00:12.820 --> 00:00:14.040]   - Artificial outtelligence.
[00:00:14.040 --> 00:00:15.240]   - Artificial outtelligence.
[00:00:15.240 --> 00:00:18.060]   The idea is quite compelling, it's quite unique and new,
[00:00:18.060 --> 00:00:21.360]   and at least from my view, a stance point.
[00:00:21.360 --> 00:00:22.440]   Maybe you can explain it.
[00:00:22.440 --> 00:00:23.280]   - Sure.
[00:00:23.280 --> 00:00:26.320]   What I was thinking about is why it is
[00:00:26.320 --> 00:00:30.040]   that we're waiting to be terrified by artificial
[00:00:30.040 --> 00:00:34.080]   general intelligence when in fact artificial life
[00:00:34.080 --> 00:00:39.120]   is terrifying in and of itself and it's already here.
[00:00:39.120 --> 00:00:42.400]   So in order to have a system of selective pressures,
[00:00:42.400 --> 00:00:44.800]   you need three distinct elements.
[00:00:44.800 --> 00:00:48.920]   You need variation within a population,
[00:00:48.920 --> 00:00:52.060]   you need heritability, and you need differential success.
[00:00:53.080 --> 00:00:57.240]   So what's really unique about software is that
[00:00:57.240 --> 00:00:59.480]   if you think about what humans know how to build,
[00:00:59.480 --> 00:01:00.320]   that's impressive.
[00:01:00.320 --> 00:01:02.360]   So I always take a car and I say,
[00:01:02.360 --> 00:01:06.320]   does it have an analog of each of the physiological systems?
[00:01:06.320 --> 00:01:08.680]   Does it have a skeletal structure, that's its frame.
[00:01:08.680 --> 00:01:11.120]   Does it have a neurological structure,
[00:01:11.120 --> 00:01:14.540]   has an onboard computer, has a digestive system?
[00:01:14.540 --> 00:01:19.240]   The one thing it doesn't have is a reproductive system.
[00:01:19.240 --> 00:01:23.760]   But if you can call spawn on a process,
[00:01:23.760 --> 00:01:26.060]   effectively you do have a reproductive system.
[00:01:26.060 --> 00:01:30.520]   And that means that you can create something
[00:01:30.520 --> 00:01:34.200]   with variation, heritability, and differential success.
[00:01:34.200 --> 00:01:37.360]   Now, the next step in the chain of thinking was
