
[00:00:00.040 --> 00:00:09.540]   Sherman
[00:00:09.540 --> 00:00:11.120]  'll good, I,
[00:00:11.120 --> 00:00:14.580]   100
[00:01:26.280 --> 00:01:26.280]   I,
[00:01:26.320 --> 00:01:33.020]   but
[00:01:33.020 --> 00:01:40.460]   cuad ah go,,,
[00:02:24.600 --> 00:02:24.600]   and
[00:02:53.760 --> 00:02:53.760]   The
[00:02:53.800 --> 00:03:01.460]   pass
[00:03:01.460 --> 00:03:07.340]   just this is
[00:04:18.240 --> 00:04:18.240]   and
[00:04:18.280 --> 00:04:28.560]   is
[00:04:28.560 --> 00:04:33.140]   praying the, concentrateocy, ", early ap降 and thing willing со�
[00:04:33.140 --> 00:04:43.600]  ***. I'm
[00:04:47.880 --> 00:05:15.900]   has
[00:05:15.900 --> 00:05:17.840]   dead when but confound�D, " make a quis aough, I have the 250, I, I, I, I, The, L, succeed. So, número,週 these.視, after the week. represent. jeu.が. ac Вот. in the word. Kia. sevi. spooky. inten. specify. di... Sche... ... raz... ... awfully... ...reu... ... �... ... يا... ... jokes... space...än... out...ses... when ... exploit... sei... Це... Hub... kom entertainment...field... anak... 고�... yn... mil ...uv... however... formatting... ISO... RAG... variable...aty... Onion... got... Province... cynical... decis...��...個人... grand... conc300...~!! RF I'm
[00:05:17.900 --> 00:05:24.880]   Ver
[00:05:24.880 --> 00:05:32.340]  ´C, nation, the, fun,
[00:05:47.920 --> 00:05:53.760]  espère
[00:05:53.760 --> 00:06:16.560]   " Hal AS H . ., grand,,,,,,,, nobody did blanketформGEstGKC I might stand a paraジ last is a was the end the other the nett thehenرة的 weighed the flows the dig the all the con the Slim mind the pencil고 theilik東 the
[00:06:17.280 --> 00:06:27.140]   veil
[00:06:27.140 --> 00:06:29.220]   that...
[00:06:29.220 --> 00:06:45.800]   piece i
[00:09:09.200 --> 00:09:09.200]   all the way through the day. And you don't have to wait until you have a million dollars in the bank, you just need to figure out how to solve that 75 dollar per day nut. Now let me give you an additional example. Let's say that you were renting in the circumstances that I discussed and you had no money, no assets, but you were just looking to live a different lifestyle.
[00:10:06.960 --> 00:10:17.260]   un
[00:10:17.260 --> 00:10:33.920]   in. - over dot
[00:10:36.820 --> 00:10:44.320]   con
[00:10:44.320 --> 00:10:50.760]   laid get,,, asks��
[00:10:50.760 --> 00:11:05.120]   create get when Und.D.......... like a buy all little respect and let doesnreu
[00:11:06.700 --> 00:11:35.080]   de
[00:12:06.740 --> 00:12:36.720]  .
[00:12:36.720 --> 00:12:36.720]   You own something and you have a little different lifestyle. I don't think it would be a crazy decision to make. I personally would do it on the cheap and I would use the money I had because if you do that, it all of a sudden changes everything because now your daily costs can plummet and you don't have to stay in RV parks. You don't have to stay $30 a night. There are some people that never pay for a place to park their RV. You have to invest in infrastructure. You'd invest in your own power systems, your own waste disposal systems, etc. And you can do the same thing on a house. You substitute a monthly payment for infrastructure.
[00:12:36.720 --> 00:12:36.720]   You don't have to do the same thing on a house. You substitute a monthly payment for infrastructure.
[00:12:36.720 --> 00:12:36.720]   You don't have to do the same thing on a house. You substitute a monthly payment for infrastructure.
[00:12:36.720 --> 00:12:36.720]   You don't have to do the same thing on a house. You substitute a monthly payment for infrastructure.
[00:12:36.760 --> 00:13:06.740]  ,
[00:13:06.740 --> 00:13:06.740]   and you can do this in other ways as well. One of the interesting stories I heard a number of years ago, I read a profile of a very wealthy man. I forget how he made his wealth, but he was extremely wealthy, but he also had a bent towards non-consumption or towards a form of minimalism. In short, he had seen how the ownership of many items didn't become a blessing. It became more of a waste.
[00:13:06.760 --> 00:13:36.760]   and so this
[00:13:36.760 --> 00:13:36.760]   and so this
[00:13:36.760 --> 00:13:36.760]   and so this
[00:13:36.760 --> 00:13:36.760]   and so this
[00:13:36.760 --> 00:13:36.760]   and so this
[00:13:36.760 --> 00:13:36.760]   and so this
[00:13:36.760 --> 00:13:36.760]   and so this
[00:13:36.760 --> 00:13:36.760]   and so this
[00:13:36.760 --> 00:13:36.760]   and so this
[00:13:36.760 --> 00:13:36.760]   and so this
[00:13:36.760 --> 00:13:36.760]   and so this
[00:13:36.760 --> 00:13:36.760]   and so this
[00:13:36.760 --> 00:13:36.760]   and so this mega wealthy man lived full-time in luxury hotels. That was the decision that he made. He only stayed in luxury hotels and he just substituted living the luxury hotel lifestyle for owning houses and apartments and things like that all around the world. Well, if you actually run the math on that, it can be a pretty powerful proposition. Staying in hotels full-time
[00:13:36.760 --> 00:13:36.760]   and so this mega wealthy man lived full-time in luxury hotels and things like that all around the world. Well, if you actually run the math on that, it can be a pretty powerful proposition. Staying in hotels full-time
[00:13:36.800 --> 00:13:46.500]   el
[00:13:46.500 --> 00:13:52.700]   lit. but,
[00:14:05.100 --> 00:14:30.960]   men
[00:15:58.420 --> 00:15:59.900]   and attention.
[00:16:26.260 --> 00:16:36.920]   won
[00:16:36.920 --> 00:16:37.460]   we好 vic
[00:16:37.460 --> 00:16:56.240]   thinking I Am E V " Hub, .,,,,,,,. or... Watching.unes유� para providers第二個 pocz. It's, be, you,on, set, the, though. It, and,Why, land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, already down. don arrangementNIM what 고 при except theoque crying shifts quick andikke gather AND BIMC death no represent sound our enti right ZC I have »�南
[00:16:56.280 --> 00:17:05.960]   figure
[00:17:05.960 --> 00:17:10.060]   haveкая
[00:17:10.060 --> 00:17:25.100]  , ", Az, RA I'd N H I caught theافsecond. .G.G.G.G.G.G.メ länger time, or, living, is,,,,,,,,,,,,,,,,,,,,,,,, but,, buy a music and reilippe the αυτ scooter and like the face of paper material case of the Everybody devices classy紹ч
[00:17:25.340 --> 00:17:36.520]   provide
[00:17:36.520 --> 00:17:46.560]   good. I is a like Vel

