
[00:00:00.000 --> 00:00:14.320]   Good morning everyone. I'm really thrilled to be here today at the Interrupt conference.
[00:00:14.320 --> 00:00:18.880]   A big thank you to the organizers for putting together such a great event and for inviting
[00:00:18.880 --> 00:00:23.520]   us to be able to share our journey with you today. My name is David. I'm here with my
[00:00:23.520 --> 00:00:28.880]   colleague Jane from the JPMorgan private bank. So at the private bank we're part of the investment
[00:00:28.880 --> 00:00:33.360]   research team. And this is the team that's responsible for curating and managing lists
[00:00:33.360 --> 00:00:37.600]   of investment products and opportunities for our clients. Now when I talk about lists we're
[00:00:37.600 --> 00:00:42.160]   not talking about a few dozen or a few hundred products we're talking about thousands of products
[00:00:42.160 --> 00:00:47.920]   each backed by many years of very valuable data. So when you have such extensive lists of diverse
[00:00:47.920 --> 00:00:53.760]   products questions are inevitable. And when there's a question our small research team needs to go find
[00:00:53.760 --> 00:01:00.480]   some answers. So we go digging around databases of materials files and we piece together answers
[00:01:00.480 --> 00:01:05.840]   to the questions that come across our desks each and every day. Now not only is this a very manual
[00:01:05.840 --> 00:01:11.360]   and time-consuming process but this limits our ability to scale and it really makes it difficult
[00:01:11.360 --> 00:01:16.320]   for us to really provide insights into the products that we have on our platform. So as a group we got
[00:01:16.320 --> 00:01:21.680]   together we challenged ourselves. We said let's come up with a way to automate the investment research
[00:01:21.680 --> 00:01:28.640]   process aiming to deliver precise and accurate results. Today when you have a question you come
[00:01:28.640 --> 00:01:34.400]   to me. You come to David and David will give you an answer. But tomorrow you'll be able to go Ask David,
[00:01:34.400 --> 00:01:41.280]   our AI-powered solution designed to transform the way we answer investment questions. With Ask David,
[00:01:41.280 --> 00:01:47.600]   we're aiming to provide curated answers, insights, and analytics delivered to you as quickly as you can
[00:01:47.600 --> 00:01:53.440]   ask a question. Now I know you're all probably asking yourselves, David, are you going to just put yourself out of a job?
[00:01:53.440 --> 00:01:59.280]   Not quite. What we're doing is we're building a tool to make our jobs easier and much more efficient.
[00:01:59.280 --> 00:02:06.240]   The stakes here are high. Billions of dollars of assets are at risk and we're committed to building a tool
[00:02:06.240 --> 00:02:14.480]   that not only meets but also exceeds the expectations of all of our stakeholders. Looking to the future, we're really excited about all the possibilities that
[00:02:14.480 --> 00:02:21.360]   Ask David potentially brings to the table. Now to dive deeper into the technical magic behind Ask David,
[00:02:21.360 --> 00:02:26.160]   I'll turn it over to Jane who will walk you through the notes and bolts of how we're making our vision a
[00:02:26.160 --> 00:02:31.760]   reality. She might even let you in on what Ask David stands for because I promise you I didn't name this after
[00:02:31.760 --> 00:02:40.560]   myself. Thank you. Thank you, David. Ask David is a domain-specific QA agent. Let's start with
[00:02:40.560 --> 00:02:47.840]   terminology analysis. First of all, we have decades of structured data. Those are the backbones of many
[00:02:47.840 --> 00:02:53.200]   up-and-running production systems. Prior to the introduction of an agent, users have access to the
[00:02:53.200 --> 00:03:00.480]   same data, but they have to navigate through different systems and manually syndicate information. An agent can
[00:03:00.480 --> 00:03:09.440]   introduce efficiency and integrated user experience. Next, we have unstructured data. As a bank, we manage
[00:03:09.440 --> 00:03:17.840]   master a vast amount of documentation including emails, meeting notes, presentations. With the rise of virtual
[00:03:17.840 --> 00:03:24.800]   meetings, we also have increasing amount of video and audio recordings. How do we make full use of that
[00:03:24.800 --> 00:03:35.040]   information? The advancement of LRRM really bringing tremendous opportunity in this area. Lastly, as a research team, we have
[00:03:35.040 --> 00:03:40.960]   an organization that helps proprietary models and analytics, which are designed to really derive insights and
[00:03:40.960 --> 00:03:47.680]   visualization to help decision-making. Previously, it will require a human expert to conduct this kind of
[00:03:47.680 --> 00:03:55.520]   analysis and offering white glove surveys. With the help of an agent, we can scale the insight generation and we can make
[00:03:55.520 --> 00:04:04.880]   our service available to more of our clients. Now imagine being a financial advisor in a client meeting and
[00:04:04.880 --> 00:04:11.440]   your clients suddenly bring up a fund and ask you why it's terminated. Believe me, it's actually a very loaded question.
[00:04:11.440 --> 00:04:24.880]   So, in the past, you would reach out to our investment research team, talk with real David, and then you figure out what's the status and the history of the fund and what's the reason behind it, what's the research about this fund, what's the
