
[00:00:00.040 --> 00:00:09.540]   cele'm
[00:00:09.540 --> 00:00:27.900]   edit a is
[00:00:28.780 --> 00:00:57.520]   The following is a conversation with Robert F. Kemp,
[00:00:57.520 --> 00:00:57.520]   The following is a conversation with Robert F. Kemp,
[00:00:57.520 --> 00:00:57.520]   The following is a conversation with Robert F. Kemp,
[00:00:57.520 --> 00:00:57.520]   The following is a conversation with Robert F. Kemp,
[00:00:57.520 --> 00:00:57.520]   The following is a conversation with Robert F. Kemp,
[00:00:57.520 --> 00:00:57.520]   The following is a conversation with Robert F. Kemp,
[00:00:57.520 --> 00:00:57.520]   The following is a conversation with Robert F. Kemp,
[00:00:57.520 --> 00:00:57.520]   The following is a conversation with Robert F. Kemp,
[00:00:57.520 --> 00:00:57.520]   The following is a conversation with Robert F. Kemp, and the following is a conversation
[00:00:57.520 --> 00:00:57.600]   The following is a conversation with Robert F. Kemp, and the following is a conversation
[00:00:57.600 --> 00:00:57.660]   The following is a conversation with Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:00:57.660 --> 00:00:57.720]   and the following is a conversation with Robert F. Kemp,
[00:00:58.400 --> 00:01:26.920]   and the following is a conversation with Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:26.920 --> 00:01:26.960]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:26.960 --> 00:01:27.000]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:27.000 --> 00:01:27.040]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:27.040 --> 00:01:27.080]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:27.080 --> 00:01:27.120]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:27.120 --> 00:01:27.160]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:27.180 --> 00:01:56.520]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
[00:01:56.520 --> 00:01:56.600]   Robert F. Kemp, and the following is a conversation with Robert F. Kemp,
