
[00:00:00.040 --> 00:00:09.500]   preoccup
[00:00:09.500 --> 00:00:10.340]   en not
[00:00:10.340 --> 00:00:12.760]   Breaking . was, and, is,
[00:00:12.760 --> 00:00:23.820]  ; play. He is aicano, and,あと, cherish,,,,,,,,,,,,, professing en`leGH grew� Beweg BEC F recover 1965pipe數 RPM мной countryиниabeth
[00:00:23.820 --> 00:00:28.380]   -N. -G. -uc -I - snacks -
[00:00:28.380 --> 00:00:28.920]   -G -G -G - зв - it - την - but - you - get - ули -視 - con - movie -視 - grow - word -ro - the -^^ -好的 - жorgan -球 ai –�� turn managed под� a - work to視's or go smell jump終 game et mein Sand he's at in the want to say hurt Mßer я geceART ce Merry land a tri SWED S penalty�� this Animal line question likeех club cort but a назыв parebr shaking 구� at the truth minimum didn't ver iPad is a tand the it's just Pi belongaczy talentedlearning con't mast like aстаточно
[00:00:28.940 --> 00:00:30.960]   the show dedicated to providing you
[00:00:30.960 --> 00:00:30.960]   the show dedicated to providing you
[00:00:30.960 --> 00:00:36.960]   the show dedicated to providing you with the knowledge skills insight and
[00:00:36.960 --> 00:00:36.960]   with the knowledge skills insight and
[00:00:36.960 --> 00:00:40.240]   with the knowledge skills insight and encouragement you need to live a rich
[00:00:40.240 --> 00:00:40.240]   encouragement you need to live a rich
[00:00:40.240 --> 00:00:43.760]   encouragement you need to live a rich and meaningful life now while building a
[00:00:43.760 --> 00:00:43.760]   and meaningful life now while building a
[00:00:43.760 --> 00:00:46.960]   and meaningful life now while building a plan for financial freedom in 10 years
[00:00:46.960 --> 00:00:46.960]   plan for financial freedom in 10 years
[00:00:46.960 --> 00:00:49.440]   plan for financial freedom in 10 years or less my name is Joshua I am your
[00:00:49.440 --> 00:00:49.440]   or less my name is Joshua I am your
[00:00:49.440 --> 00:00:51.520]   or less my name is Joshua I am your host and no you did not forget to put
[00:00:51.520 --> 00:00:51.520]   host and no you did not forget to put
[00:00:51.520 --> 00:00:53.120]   host and no you did not forget to put your podcast player on 2x speed in
[00:00:53.120 --> 00:00:53.120]   your podcast player on 2x speed in
[00:00:53.120 --> 00:00:55.760]   your podcast player on 2x speed in preparation for my show one of
[00:00:56.680 --> 00:01:23.800]   I'm preparing for my show one of the most
[00:01:23.800 --> 00:01:23.800]   most
[00:01:23.800 --> 00:01:24.920]   most common comments I hear from listeners
[00:01:24.920 --> 00:01:24.920]   common comments I hear from listeners
[00:01:24.920 --> 00:01:25.640]   common comments I hear from listeners with whom I interact in real life or
[00:01:25.640 --> 00:01:25.640]   with whom I interact in real life or on the phone
[00:01:25.660 --> 00:01:55.520]   listen welcome to radical personal finance the show dedicated to providing you with the knowledge skills insight and encouragement you need to live a rich and meaningful life now while building a plan for financial freedom in 10 years or less that my friend is Joshua I am your host and no you did not forget to put your podcast player on 2x speed in preparing for financial freedom in 10 years or less by
[00:01:55.520 --> 00:01:55.520]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:01:55.520 --> 00:01:55.520]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:01:55.520 --> 00:01:55.520]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:01:55.520 --> 00:01:55.520]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:01:55.560 --> 00:02:25.400]  , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:02:25.400 --> 00:02:25.400]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:02:25.400 --> 00:02:25.400]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:02:25.400 --> 00:02:25.400]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:02:25.400 --> 00:02:25.400]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:02:25.420 --> 00:02:55.280]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:02:55.280 --> 00:02:55.280]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:02:55.280 --> 00:02:55.280]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:02:55.280 --> 00:02:55.280]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:02:55.280 --> 00:02:55.280]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:02:55.280 --> 00:02:55.280]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:02:55.280 --> 00:02:55.280]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:02:55.860 --> 00:03:25.160]  ,
[00:03:25.160 --> 00:03:25.160]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:03:25.160 --> 00:03:25.160]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:03:25.160 --> 00:03:25.160]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:03:25.160 --> 00:03:25.160]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:03:25.160 --> 00:03:25.160]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:03:25.180 --> 00:03:55.040]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:03:55.040 --> 00:03:55.040]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:03:55.040 --> 00:03:55.040]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:03:55.040 --> 00:03:55.040]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:03:55.040 --> 00:03:55.040]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:03:55.040 --> 00:03:55.040]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:03:55.040 --> 00:03:55.040]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:03:55.080 --> 00:04:24.920]  ,
[00:04:24.920 --> 00:04:24.920]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:04:24.920 --> 00:04:24.920]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:04:24.920 --> 00:04:24.920]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:04:24.920 --> 00:04:24.920]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:04:24.940 --> 00:04:34.800]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:04:34.800 --> 00:04:36.880]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:04:36.880 --> 00:04:40.400]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:04:40.400 --> 00:04:40.880]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:04:40.880 --> 00:04:43.760]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:04:43.760 --> 00:04:45.760]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:04:45.760 --> 00:04:46.720]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:04:46.760 --> 00:05:12.760]  , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:05:12.760 --> 00:05:14.760]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:05:14.760 --> 00:05:16.600]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:05:16.600 --> 00:05:16.600]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:05:16.600 --> 00:05:16.600]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:05:16.620 --> 00:05:26.480]   I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:05:26.480 --> 00:05:28.480]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:05:28.480 --> 00:05:30.480]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:05:30.480 --> 00:05:32.480]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:05:32.480 --> 00:05:34.480]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:05:34.480 --> 00:05:36.480]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:05:36.480 --> 00:05:38.480]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:05:38.520 --> 00:06:02.360]  , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:06:02.360 --> 00:06:04.360]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:06:04.360 --> 00:06:06.360]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:06:06.360 --> 00:06:08.360]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:06:08.360 --> 00:06:08.360]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
[00:06:08.380 --> 00:06:12.400]   , I'm preparing for my show one of the most common comments I hear from listeners with whom I interact in real life or on the phone
