
[00:00:00.000 --> 00:00:05.000]   The following is a conversation with Jack Weatherford, anthropologist and historian
[00:00:05.000 --> 00:00:12.120]   specializing in Genghis Khan and the Mongol Empire. He has written a legendary book on this topic
[00:00:12.120 --> 00:00:17.520]   titled Genghis Khan and the Making of the Modern World. And he has written many other books,
[00:00:17.520 --> 00:00:22.960]   including Emperor of the Seas, Kublai Khan and the Making of China, Genghis Khan and the Quest
[00:00:22.960 --> 00:00:29.860]   for God, The Secret History of the Mongol Queens, and other excellent books. I've gotten to know
[00:00:29.860 --> 00:00:35.940]   Jack more after this conversation, and I cannot speak highly enough about him. He's a truly
[00:00:35.940 --> 00:00:44.000]   brilliant, thoughtful, and kind soul. This was a huge honor and pleasure for me. This is the Lex
[00:00:44.000 --> 00:00:48.840]   Friedman Podcast. To support it, please check out our sponsors in the description and consider
[00:00:48.840 --> 00:00:58.200]   subscribing to this channel. And now, dear friends, here's Jack Weatherford. Genghis Khan, born in
[00:00:59.720 --> 00:01:06.220]   1862, became the conqueror of the largest contiguous empire in history. But before that,
[00:01:06.220 --> 00:01:13.820]   he was a boy named Temujin, who at nine years old lost everything. His father, his tribe, living in
[00:01:13.820 --> 00:01:19.860]   poverty, abandoned to the harshness of the Mongolian steppe. From a boy with nothing to the conqueror
[00:01:19.860 --> 00:01:26.680]   of the world. So tell me about this boy, his childhood and the Mongolian steppe from which he came from.
[00:01:26.680 --> 00:01:35.040]   The story of Genghis Khan, like the story I think of all of us, it doesn't begin at birth. That's the
[00:01:35.040 --> 00:01:41.400]   beginning of life. The story begins long before birth. And sometimes it can be many generations before,
[00:01:41.400 --> 00:01:47.600]   and sometimes only shortly before. But I think with Genghis Khan, a crucial thing is to understand how his
[00:01:47.600 --> 00:01:58.060]   parents met and then how he was conceived. And that is that one day, a cart was coming across the Mongol
[00:01:58.060 --> 00:02:06.020]   territory. And only women drove carts. Men rode horses. Women also rode horses. But women owned the houses,
[00:02:06.020 --> 00:02:12.160]   which were called gears, the tents. They owned all the household equipment. And so they had to have carts for
[00:02:12.160 --> 00:02:17.680]   moving back and forth. And the fact that a cart was moving meant that some woman was moving from one
[00:02:17.680 --> 00:02:26.700]   place to another. And in fact, her husband was with her. She was a new bride. And her husband was on a horse
[00:02:26.700 --> 00:02:37.460]   So what happened was a man named Yasuke. Yasuke, the future father of Genghis Khan. Yasuke was up on a hill.
[00:02:37.460 --> 00:02:42.980]   He was hunting with his falcon. The words of the secret history of the Mongols were very clear. And he looked
[00:02:42.980 --> 00:02:49.400]   down and he saw her and he could barely glimpse her. But he knew she was young and she was a new bride.
[00:02:49.400 --> 00:02:58.500]   And he rode back to camp. He got his two brothers and they came racing down. And they came and first the
[00:02:58.500 --> 00:03:07.620]   husband of the woman looked around and he decided to flee. Not because he was a coward, but he figured
[00:03:07.620 --> 00:03:13.940]   he would probably pull the men after him. They would chase him. And they did. They chased him. He went far
[00:03:13.940 --> 00:03:21.080]   away. He circled around. He came back. He arrived back at the cart where his wife was. Her name was
[00:03:21.080 --> 00:03:29.620]   Erlun. And Erlun had time to think while he was riding around, being chased by the Mongols. And she decided
[00:03:29.620 --> 00:03:37.420]   that it's more important for him to live. And she told him when he came back, "You must flee. If you stay here,
[00:03:37.420 --> 00:03:43.860]   they will kill you and they will take me. But if you flee, they will take me, but you will have the chance to find
[00:03:43.860 --> 00:03:51.740]   another wife. There are many women in the world. You find one and you call her Hulun, after my name. And you remember
[00:03:51.740 --> 00:04:01.340]   me when you're with her." It's a very dramatic moment. And he rode away. And he looked back and forth. And it said that the
[00:04:01.340 --> 00:04:07.020]   pigtails or the braids that were hanging down were whipping back and forth from his chest to his back.
[00:04:07.020 --> 00:04:14.700]   He was divided, obviously, in whether he should go or stay. But the three men were approaching again. And they
[00:04:14.700 --> 00:04:24.300]   were headed straight for the cart this time. And they came in and they took Erlun. She didn't say a word until
[00:04:24.860 --> 00:04:30.220]   he said, "Her husband was over the ridge." And when he was over the ridge and she could no longer see
[00:04:30.220 --> 00:04:37.900]   him, she began to scream and wail. And one of the brothers said to her, "It doesn't matter if you shake
[00:04:37.900 --> 00:04:43.420]   the waters out of the river. And if you shake the mountains with your screaming, you will never see
[00:04:43.420 --> 00:04:51.980]   this man again." And he was right. And that was the moment that Genghis Khan's mother and father met.
[00:04:52.540 --> 00:04:59.420]   That's the beginning of his story in this kidnapping. And it's going to reverberate. Every detail of it
[00:04:59.420 --> 00:05:05.500]   will come back again and again, not only throughout the story of the life of Genghis Khan,
[00:05:05.500 --> 00:05:12.300]   but it's going to continue on with the feuds and the issues caused by it all the way into the future.
[00:05:12.300 --> 00:05:16.140]   And to some extent, in certain parts of the world, you could say it still exists.
[00:05:17.020 --> 00:05:27.260]   So the meeting is fundamentally sort of a mixture of heartbreak and dark criminal type of kidnapping.
[00:05:27.260 --> 00:05:27.900]   Yes.
[00:05:27.900 --> 00:05:34.860]   And from that is conceived this conqueror of the biggest contiguous empire in history.
[00:05:34.860 --> 00:05:44.300]   What I was really interested in was how did this happen? Who was this person? As Wordsworth wrote in his
[00:05:44.300 --> 00:05:52.140]   poem, the child is father of the man. And it's the childhood that created him. And it's that episode
[00:05:52.140 --> 00:05:56.460]   that was before he was born. But all the things that happened throughout his childhood
[00:05:56.460 --> 00:06:08.620]   made him into the man that he became. And so he was now suddenly, this unusual situation was created,
[00:06:08.620 --> 00:06:15.660]   where a child is going to be born to a kidnapped woman who is being held by strange people, the Mongols.
[00:06:15.660 --> 00:06:24.140]   They were not her people. And he already had another wife, her husband. He had a wife named Sochigo.
[00:06:24.140 --> 00:06:31.100]   He had at that time already one son. Later, he had another son with her. It was a very odd situation. And in
[00:06:31.100 --> 00:06:38.780]   fact, the father, Yasuke wasn't even there when Temujin was born. He was off fighting the Tatars. And
[00:06:38.780 --> 00:06:45.660]   doing this campaign against the Tatars, he killed two Tatars. One of them was the name of Temujin Uge,
[00:06:45.660 --> 00:06:54.300]   which is sort of person of iron, is what it means from the Turkic. But today, a part of also Mongolian language.
[00:06:55.740 --> 00:07:03.340]   So he came back, he had a baby, and he decided to name him Temujin, the person of iron, or iron man,
[00:07:03.340 --> 00:07:09.340]   we might call him. After the man he killed. After the man he killed. So he's a kidnapped mother.
[00:07:09.340 --> 00:07:18.700]   She's a second wife now. Not a legal wife, but just a second kidnapped wife. And he's named for
[00:07:19.420 --> 00:07:25.260]   someone his father just killed. It was not an auspicious beginning. And in fact,
[00:07:25.260 --> 00:07:33.820]   just episode after episode in his childhood was inauspicious. The father and mother moved camp one
[00:07:33.820 --> 00:07:40.460]   time when he was quite young, and somehow they overlooked him and forgot him. He was left behind.
[00:07:40.460 --> 00:07:45.340]   So here's this young child. We don't know what age, but it could be around four or five, I think.
[00:07:46.060 --> 00:07:52.620]   He was left behind. And as it turned out, some other people, the Taichyut, found him. And then
[00:07:52.620 --> 00:07:59.660]   they kept him for a while. And eventually he was reunited with his father and mother. And it's very
[00:07:59.660 --> 00:08:08.140]   odd to me that I never have any inkling of a spark of relationship much between the father and the son.
[00:08:09.980 --> 00:08:16.860]   Because then when Temujin is eight years old, his father decides to take him off to find a wife.
[00:08:16.860 --> 00:08:22.380]   Which finding a wife in the Mongolian terms means you give the child to that family, or you give the boy
[00:08:22.380 --> 00:08:27.500]   to that family. And he will live with them and they will raise him up and they will train him the way they
[00:08:27.500 --> 00:08:35.420]   want before he can marry their daughter. And so he's taking him off at age eight. But he didn't take the
[00:08:35.420 --> 00:08:41.900]   other son from the other wife, Bechter. He was keeping him. There was something about Temujin,
[00:08:41.900 --> 00:08:48.060]   having been lost once and found by the Taichyut and reunited with the family. And now his father takes
[00:08:48.060 --> 00:08:55.660]   him off at age eight. And he was going to take him to Erlun's family, but he never made it.
[00:08:55.660 --> 00:08:59.020]   He stopped with another family. It's sort of like the first family he came across.
[00:08:59.820 --> 00:09:07.100]   And in the words of the secret history, it's sort of like instant love that there was fire in his
[00:09:07.100 --> 00:09:13.420]   eyes and fire in her eyes. And he saw this girl, Bechter, who was about nine years old, a little older,
[00:09:13.420 --> 00:09:19.500]   and he wanted to stay there with that family, according to the story. And so the father left
[00:09:19.500 --> 00:09:29.260]   him there with that family. But on the way home, the father decided he saw a drinking party and he
[00:09:29.260 --> 00:09:37.900]   decided to join him. They were Tatars. He hid his identity. On the step, everybody kind of figures out
[00:09:37.900 --> 00:09:47.180]   who everybody is. And they figured out who he was. And supposedly, they poisoned him. He got on his horse,
[00:09:47.180 --> 00:09:51.260]   and was able to ride back home. But within a few days, he died.
[00:09:51.260 --> 00:10:03.980]   So now, Temujin is off living with another family. And somebody comes from his family, a family, not a
[00:10:03.980 --> 00:10:11.340]   relative, but a close person named Mongluk, comes to get him, take him back. And they make it through the
[00:10:11.340 --> 00:10:18.860]   winter. They make it through the winter. Mother Erloom, by now, she has four sons and one daughter.
[00:10:18.860 --> 00:10:23.580]   I think the daughter had already been born or the daughter was going to be born not too long after
[00:10:23.580 --> 00:10:32.060]   that. But they make it through the winter. The spring comes. And of course, the clan is going to move to a new
[00:10:32.060 --> 00:10:38.700]   camp. They go to spring camp from winter camp. And they have a ceremony for their ancestors. And they
[00:10:38.700 --> 00:10:46.140]   started the ceremony, but they did not tell Erloom. And so, she came and she was angry that she had been
[00:10:46.140 --> 00:10:53.260]   left out. And the old women said, "You're the one for whom we do not have to call. We will feed you if
[00:10:53.260 --> 00:10:59.820]   you come, but we do not have to take care of you." Letting her know that as a captive woman,
[00:10:59.820 --> 00:11:07.100]   she was not a real wife in their view. And that was really the signal that when they moved camp,
[00:11:07.100 --> 00:11:12.860]   they were not taking her with them. And they packed up and they took her animals.
[00:11:12.860 --> 00:11:20.620]   They took the animals. But she, at that moment, she still had one horse for a moment. And she jumped on the
[00:11:20.620 --> 00:11:26.300]   horse. And she took the banner of her husband, and she raced around the people. And the banner after
[00:11:26.300 --> 00:11:32.940]   death contains the soul of the person. So she raced around and they were a little bit nervous. And so,
[00:11:32.940 --> 00:11:40.620]   they camped for one night. And they waited until it was dark. Then they took off. And this time,
[00:11:40.620 --> 00:11:46.060]   one of the friends of the family came running out to try to stop them. And they killed him.
[00:11:46.060 --> 00:11:53.900]   And Temujin cried. He was a little boy, eight years old. There was nothing he could do. He was just a
[00:11:53.900 --> 00:12:02.220]   little boy. And now that family is left there on the step. Four children, possibly five already.
[00:12:02.220 --> 00:12:10.460]   Suchigal, the other woman with two children. They're all left there to die on the step. When the winter
[00:12:10.460 --> 00:12:15.820]   comes, they will surely all die. How did they make it to the winter?
[00:12:15.820 --> 00:12:24.700]   Mother Erlun, in the words of The Secret History, she pulled her hat down over her head. She took her
[00:12:24.700 --> 00:12:33.340]   black stick, and she ran up and down the banks of the river, digging out roots to feed the gullet of her
[00:12:33.340 --> 00:12:42.300]   brood. She fed them through the winter. She found foods, digging up whatever she could, finding whatever
[00:12:42.300 --> 00:12:49.180]   she could, everything she could. And even at this young age, Temujin was already beginning to go out
[00:12:49.180 --> 00:12:57.980]   to collect things. He could get fish. He could do a few tasks to help feed the family. It was an extremely
[00:12:57.980 --> 00:13:02.620]   awful struggle at this point. But she saved every one of the children.
[00:13:02.620 --> 00:13:11.660]   So, Temujin's early years were marked by loneliness, abandonment, and struggle?
[00:13:11.660 --> 00:13:23.100]   Yes. Even after this, he was kidnapped at one point by Taichyut people. He was kidnapped. And we would say,
[00:13:23.820 --> 00:13:31.340]   I think the correct word would be enslaved. They put him into a kank, a yoke, like an ox would wear.
[00:13:31.340 --> 00:13:39.260]   And so, his two arms are in it, and his head is in it, and he's trapped in this thing. And every night,
[00:13:39.260 --> 00:13:45.740]   he would be taken to a different gear to be guarded by that family. And one night, there was a little
[00:13:45.740 --> 00:13:51.100]   celebration. So, most of the people are drinking. And he's left with a boy who's not very smart.
[00:13:52.620 --> 00:14:00.060]   And Temujin managed to take the kank, the wooden yoke that he's trapped in, and use it as a weapon by
[00:14:00.060 --> 00:14:05.100]   turning it around very quickly and hitting the boy in the head, knocking him out. That was one of the
[00:14:05.100 --> 00:14:12.540]   first lessons for the Mongols, that anything that moves is a weapon. This is going to go on for
[00:14:12.540 --> 00:14:19.020]   generations. It's very important for the Mongols. If it moves, it's a weapon. He did that. He raced off in the
[00:14:19.020 --> 00:14:27.500]   night, and he jumped into the river to hide. He's still got a kank on him. He's still trapped under there.
[00:14:27.500 --> 00:14:33.020]   The people are looking for him. They come out and they're up and down the river, and he's hiding
[00:14:33.020 --> 00:14:38.460]   underneath the water for the most part, trying to breathe as best he can. But it's dark and it protects
[00:14:38.460 --> 00:14:44.300]   him a little bit. They give up and they say, "Okay, we'll come back tomorrow. He can't possibly escape." But
[00:14:44.300 --> 00:14:53.420]   the next day he knew one family that he thought he could go to. And he was right. He went to that family
[00:14:53.420 --> 00:14:59.580]   and at great risk to themselves. They, in fact, were a captive family of the Tai Chi-yot. And at great
[00:14:59.580 --> 00:15:09.500]   risk to themselves, they managed to saw off the kank and then burn it in their fire. And they gave him food to escape.
[00:15:10.220 --> 00:15:18.700]   And then he had to go find his family again. So this is the kind of life that this boy Temujin had.
[00:15:18.700 --> 00:15:23.820]   So he, just to be clear, the neck is trapped and the hands are trapped?
[00:15:23.820 --> 00:15:29.820]   We think that's how it is. We just have the word. They don't say the head and the hands. We know
[00:15:29.820 --> 00:15:36.060]   that his body is trapped in it. But from all evidence we have, it's the hands and the head.
[00:15:36.060 --> 00:15:40.380]   And he's running around deeply alone with this thing.
[00:15:40.380 --> 00:15:45.500]   Yes. Yes. And then he has to go out and find wherever his family is.
[00:15:45.500 --> 00:15:53.100]   So this, in part, was the foundation of his breaking with Mongol tradition that kinship is
[00:15:53.100 --> 00:15:59.660]   the most important thing above all else. Because here's his life story where he's abandoned over
[00:15:59.660 --> 00:16:05.660]   and over and over and over. By his father's own brothers. See, the men who kidnapped her,
[00:16:05.660 --> 00:16:12.220]   they had an obligation under the Mongol law and custom to marry her when her husband died.
[00:16:12.220 --> 00:16:19.500]   They did not. They should take care of her and her children because her children are the children of
[00:16:19.500 --> 00:16:25.020]   their brother and they count as the sons of the clan. Or they should. But no, they had all deserted,
[00:16:25.020 --> 00:16:29.500]   all betrayed him. He learned very early on that you cannot trust family.
[00:16:29.500 --> 00:16:34.860]   You mentioned that Genghis Khan's childhood,
[00:16:34.860 --> 00:16:44.300]   Timurjin, was marked by extreme tribal violence. Can you describe sort of the state of affairs in the
[00:16:44.300 --> 00:16:47.740]   steppe? How much violence is there? How much kidnapping is there?
[00:16:48.620 --> 00:16:58.300]   The story of Timurjin is not a unique story for that time. Now, as an isolated family of outcasts,
[00:16:58.300 --> 00:17:04.540]   of course, he's not participating in the various feuds and the raids of the people around him.
[00:17:04.540 --> 00:17:11.020]   But they are constantly raiding in the winter and for women and for horses and for any kind of valuables
[00:17:11.020 --> 00:17:17.260]   that they can find. It's almost like their way of getting trade goods from China, that one group raids the
[00:17:17.260 --> 00:17:24.780]   other in order to find out whatever they have for textiles or for metal. Mongols produced nothing.
[00:17:24.780 --> 00:17:32.060]   They could produce felt to make their tents, but they were not craftsmen. And so they had to get these
[00:17:32.060 --> 00:17:40.060]   items from somewhere and it was through raiding. And so even in the genealogy of Timurjin, you see going back
[00:17:40.060 --> 00:17:46.060]   generation after generation of women having been kidnapped, children born who are not necessarily the
