
[00:00:00.000 --> 00:00:06.040]   Welcome everyone.
[00:00:06.040 --> 00:00:10.600]   This screencast kicks off our unit on analysis methods in NLP.
[00:00:10.600 --> 00:00:12.640]   In the previous unit for the course,
[00:00:12.640 --> 00:00:15.360]   we were very focused on behavioral testing,
[00:00:15.360 --> 00:00:20.780]   and we looked in particular at hypothesis-driven challenge and adversarial tests
[00:00:20.780 --> 00:00:25.080]   as a vehicle for deeply understanding how our models will behave,
[00:00:25.080 --> 00:00:27.560]   in especially unfamiliar scenarios.
[00:00:27.560 --> 00:00:30.320]   What we're going to try to do in this unit is go
[00:00:30.320 --> 00:00:33.880]   one layer deeper and talk about what I've called structural methods,
[00:00:33.880 --> 00:00:36.480]   including probing, feature attribution,
[00:00:36.480 --> 00:00:38.840]   and a class of intervention-based methods.
[00:00:38.840 --> 00:00:43.680]   The idea is that we're going to go beyond simple behavioral testing to understand,
[00:00:43.680 --> 00:00:50.480]   we hope, the causal mechanisms that are guiding the input-output behavior of our models.
[00:00:50.480 --> 00:00:52.640]   In the previous unit,
[00:00:52.640 --> 00:00:56.440]   I tried to make you very aware of the limits of behavioral testing.
[00:00:56.440 --> 00:00:58.800]   Of course, it plays an important role in the field,
[00:00:58.800 --> 00:01:01.160]   and it will complement the methods that we discuss,
[00:01:01.160 --> 00:01:04.920]   but it is intrinsically limited in ways that should worry us when it
[00:01:04.920 --> 00:01:08.800]   comes to offering guarantees about how models will behave.
[00:01:08.800 --> 00:01:11.000]   To make that very vivid for you,
[00:01:11.000 --> 00:01:13.840]   I use this example of an even-odd detector.
[00:01:13.840 --> 00:01:17.840]   Let me walk through that from now taking a slightly different perspective,
[00:01:17.840 --> 00:01:21.080]   which is the illuminated feeling that we get when
[00:01:21.080 --> 00:01:24.120]   we finally get to see how the model actually works.
[00:01:24.120 --> 00:01:27.040]   But recall this even-odd model takes in strings like
[00:01:27.040 --> 00:01:30.960]   four and predicts whether they refer to even or odd numbers.
[00:01:30.960 --> 00:01:33.160]   Four comes in and it predicts even,
[00:01:33.160 --> 00:01:35.520]   21 and it rightly predicts odd,
[00:01:35.520 --> 00:01:41.720]   32 even, 36 even, 63 odd.
[00:01:41.720 --> 00:01:47.680]   This is all making you feel that the model is a good model of even-odd detection.
[00:01:47.680 --> 00:01:49.280]   But you need to be careful,
[00:01:49.280 --> 00:01:50.960]   you've only done five tests.
[00:01:50.960 --> 00:01:53.520]   Now I show you how the model actually works,
[00:01:53.520 --> 00:01:57.480]   and it is immediately revealed to you that this is a very poor model.
[00:01:57.480 --> 00:01:59.960]   We got lucky with our first five inputs.
[00:01:59.960 --> 00:02:02.360]   It is a simple lookup on those inputs,
[00:02:02.360 --> 00:02:04.560]   and when it gets an unfamiliar input,
[00:02:04.560 --> 00:02:07.120]   it defaults to predicting odd.
[00:02:07.120 --> 00:02:08.480]   Once we see that,
[00:02:08.480 --> 00:02:10.600]   we know exactly how the model is broken,
[00:02:10.600 --> 00:02:12.720]   and exactly how to foil it behaviorally.
[00:02:12.720 --> 00:02:16.320]   We input 22, and it thinks that that is odd.
[00:02:16.320 --> 00:02:19.080]   But then we get a second even-odd model.
[00:02:19.080 --> 00:02:21.040]   It passes the first five tests,
[00:02:21.040 --> 00:02:23.360]   it makes a good prediction about 22,
[00:02:23.360 --> 00:02:25.240]   good prediction about 5,
[00:02:25.240 --> 00:02:27.400]   and 89, and 56.
[00:02:27.400 --> 00:02:29.600]   Again, your confidence is building,
[00:02:29.600 --> 00:02:34.640]   but you should be aware of the fact that you might have missed some crucial examples.
