
[00:00:00.040 --> 00:00:09.480]   ち
[00:00:09.480 --> 00:00:10.840]   que came,,,
[00:00:10.840 --> 00:00:13.320]   present there ir
[00:00:13.320 --> 00:00:26.420]  assen Many He H Or Not Red on 1939in, to serve my. I, I, I, I, I, I, I, I, w, of, de, voyez, property.urez. porte. .. .. way. :. .. is a .. .. ,. ., Ang. cor .. meaning . Ce機. , Gray - show the -
[00:00:26.420 --> 00:00:27.840]   thank uh.иваем a
[00:00:27.840 --> 00:00:28.580]   scap
[00:00:28.680 --> 00:00:30.700]   for
[00:00:30.700 --> 00:00:31.700]   everyone.
[00:00:31.700 --> 00:00:42.700]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in ten years or less.
[00:00:42.700 --> 00:00:47.700]   Today we round out the Radical Housing Ideas series with part number five.
[00:00:47.700 --> 00:00:50.700]   And this series is by no means exhaustive.
[00:00:50.700 --> 00:00:57.320]   But I've tried to provide some creative ideas that I hope will stimulate your thinking a little bit.
[00:00:57.320 --> 00:00:57.320]   So that you'll look around at your own situation,
[00:00:57.320 --> 00:00:57.320]   So that you'll look around at your own situation,
[00:00:57.320 --> 00:00:57.320]   So that you'll look around at your own situation,
[00:00:57.320 --> 00:00:57.320]   So that you'll look around at your own situation,
[00:00:57.320 --> 00:00:57.320]   So that you'll look around at your own situation,
[00:00:57.320 --> 00:00:57.320]   So that you'll look around at your own situation,
[00:00:57.320 --> 00:00:57.320]   So that you'll look around at your own situation,
[00:00:57.320 --> 00:00:57.320]   So that you'll look around at your own situation,
[00:00:58.320 --> 00:01:25.980]  , and try to put together something that gets you a little farther ahead than the conventional path.
[00:01:25.980 --> 00:01:26.020]   And point number five is rather obvious, but I would be remiss if I didn't address it.
[00:01:26.020 --> 00:01:26.120]   And simply this:
[00:01:26.120 --> 00:01:26.120]   Could you change the nature of the housing that you're willing to accept?
[00:01:26.120 --> 00:01:26.160]   I talk quite a bit about this with my wife, and I'm so blessed that she's a very flexible person.
