
[00:00:00.000 --> 00:00:03.000]   Who's your Realtor?
[00:00:03.000 --> 00:00:06.000]   Seriously, who is your Realtor?
[00:00:06.000 --> 00:00:10.000]   Lately, there's been a lot in the news about real estate and Realtors.
[00:00:10.000 --> 00:00:12.000]   So let us help clear the air.
[00:00:12.000 --> 00:00:16.000]   California Realtors are Californians just like you,
[00:00:16.000 --> 00:00:18.000]   your neighbor, your best friend's brother,
[00:00:18.000 --> 00:00:20.000]   and your kid's baseball coach.
[00:00:20.000 --> 00:00:23.000]   And we all strive every day to be your trusted advisors
[00:00:23.000 --> 00:00:26.000]   on the biggest financial decision of your life.
[00:00:26.000 --> 00:00:30.000]   No one cares more about helping Californians live the California Dream
[00:00:30.000 --> 00:00:32.000]   than California Realtors.
[00:00:32.000 --> 00:00:35.000]   Because we know California real estate is not easy.
[00:00:35.000 --> 00:00:37.000]   That's an understatement.
[00:00:37.000 --> 00:00:41.000]   But if you're a first-timer, we help you confidently get in the game.
[00:00:41.000 --> 00:00:43.000]   And if you've been there, done that,
[00:00:43.000 --> 00:00:46.000]   we're there to help you get through what's new and different.
[00:00:46.000 --> 00:00:49.000]   We tirelessly negotiate so you don't have to.
[00:00:49.000 --> 00:00:53.000]   And we help you get past all the tough stuff and on to the good stuff.
[00:00:53.000 --> 00:00:56.000]   Not because it's our job, but because it's your dream.
[00:00:56.000 --> 00:00:58.000]   Let's go to work.
[00:00:58.000 --> 00:01:00.000]   California Association of Realtors.
[00:01:00.000 --> 00:01:02.000]   Welcome to Radical Personal Finance.
[00:01:02.000 --> 00:01:06.000]   Today on the podcast, I would like to give some advice to teenagers
[00:01:06.000 --> 00:01:12.000]   and parents of teenagers related to a summer job.
[00:01:12.000 --> 00:01:15.000]   And in today's podcast, I am going to tell you
[00:01:15.000 --> 00:01:19.000]   what I believe is the highest-paying summer job
[00:01:19.000 --> 00:01:22.000]   that is available for teens.
[00:01:22.000 --> 00:01:27.000]   This summer job will make you far more than minimum wage.
[00:01:27.000 --> 00:01:32.000]   It could pretty easily make you 10x minimum wage.
[00:01:32.000 --> 00:01:37.000]   It possibly could make you as much as a few hundred dollars per hour.
[00:01:37.000 --> 00:01:40.000]   And I am not exaggerating.
[00:01:40.000 --> 00:01:47.000]   That job, very simply, is to apply for scholarships,
