
[00:00:00.000 --> 00:00:03.840]   Hello guys, welcome back to my channel. Today we are going to talk about Mamba
[00:00:03.840 --> 00:00:11.040]   So Mamba is a new model for sequence modeling that came out just one month ago in a paper called Mamba linear time sequence modeling
[00:00:11.040 --> 00:00:16.140]   With selective state spaces. Let's review the topics of today. In the first part of the video
[00:00:16.140 --> 00:00:20.560]   I will be introducing what are sequence models and what kind of sequence modeling we can do
[00:00:20.560 --> 00:00:25.640]   The second part of the video I will be talking about state space models
[00:00:25.820 --> 00:00:31.340]   But to fully understand the state space models, we need to have a little background on differential equation
[00:00:31.340 --> 00:00:35.200]   I of course don't expect you to have this background because in some
[00:00:35.200 --> 00:00:40.220]   Bachelor degree or some master degree it is taught but in some most of the cases
[00:00:40.220 --> 00:00:42.360]   It's not taught
[00:00:42.360 --> 00:00:46.040]   So I will give you the necessary background to understand differential equations
[00:00:46.040 --> 00:00:50.620]   and later we will talk about state space models and we will derive the formula for the
[00:00:51.040 --> 00:00:55.980]   Magnetization and we will also derive the formula for the convolutional computation and the recurrent computation
[00:00:55.980 --> 00:01:02.280]   I will show you what do we mean by the hippo matrix and the importance of the A matrix in state space models
[00:01:02.280 --> 00:01:06.220]   In the second the third part of the video we will be talking about Mamba
[00:01:06.220 --> 00:01:12.860]   So what was the motivation that led to the to Mamba and what is the innovation of Mamba, which is the selective scan algorithm?
[00:01:12.860 --> 00:01:19.500]   So first of all, what do we mean by scan operation and we will see what that this scan operation can be parallelized
[00:01:20.080 --> 00:01:26.080]   With the parallel scan we will see what is kernel fusion the recomputation of the activations and finally
[00:01:26.080 --> 00:01:31.860]   We will explore the architecture of Mamba and some performance consideration with respect to the transformer
[00:01:31.860 --> 00:01:36.700]   So as a prerequisite, I just hope that you have a basic basics of calculus
[00:01:36.700 --> 00:01:39.640]   I think a high school mathematics will be more than enough and
[00:01:39.640 --> 00:01:46.060]   You have a basic understanding of the transformer model and neural networks in general. So let's start our journey
[00:01:47.460 --> 00:01:51.940]   The goal of a sequence model is to map an input sequence to an output sequence
[00:01:51.940 --> 00:01:55.100]   The input sequence can be a continuous signal in that case
[00:01:55.100 --> 00:02:01.360]   We want to map it to an output continuous signal or it can be a discrete input signal and we want to map it
[00:02:01.360 --> 00:02:04.040]   into a discrete output signal for example
[00:02:04.040 --> 00:02:08.600]   Continuous signal could be audio and a discrete signal could be text for example
[00:02:08.600 --> 00:02:15.740]   actually most of the time we work with the discrete signals even with the case of audio because we sample the audio file over time and
[00:02:16.700 --> 00:02:22.620]   if we talk about language modeling, we are talking about a discrete input because we have a finite number of tokens and
[00:02:22.620 --> 00:02:26.740]   We want to map it to an output sequence of tokens
[00:02:26.740 --> 00:02:32.900]   We can choose among many models to do sequence modeling let's review them
[00:02:32.900 --> 00:02:39.140]   The first model that comes to mind to do sequence modeling is the recurrent neural network
[00:02:39.140 --> 00:02:44.960]   Which is a network in which we have a hidden state and we compute the output as follows
[00:02:45.220 --> 00:02:51.140]   So we have for example our input sequence made up of x1 x2 and x3
[00:02:51.140 --> 00:02:57.720]   What we do is the first time the hidden sequence we initialize the hidden state is initialized with zeros
[00:02:57.720 --> 00:03:01.760]   So we feed to the network the hidden state the first hidden state
[00:03:01.760 --> 00:03:05.940]   So zeros along with the first input and it will produce the first output
[00:03:05.940 --> 00:03:13.660]   Then we use the previously produced the hidden state. So the output of the previous step
[00:03:14.540 --> 00:03:19.520]   It will produce a new hidden state and the new output token for a new
[00:03:19.520 --> 00:03:23.720]   Input token and this will be the y2 so the output number two
[00:03:23.720 --> 00:03:26.500]   So we use the previously generated hidden state
[00:03:26.500 --> 00:03:32.860]   Along with a new input token to produce a new output token and a new hidden state that will be used for the next
[00:03:32.860 --> 00:03:35.100]   Token as you can see
