
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:11.180]   (upbeat music)
[00:00:11.180 --> 00:00:20.280]   - Welcome to Portfolio Rescue.
[00:00:20.280 --> 00:00:21.800]   This is our show where we answer questions
[00:00:21.800 --> 00:00:23.640]   directly from you, the viewer.
[00:00:23.640 --> 00:00:26.220]   And I want to say thank you to everyone who emailed in.
[00:00:26.220 --> 00:00:29.320]   Our inbox is overflowing with good questions from people.
[00:00:29.320 --> 00:00:30.480]   Duncan and I have been going through those
[00:00:30.480 --> 00:00:32.200]   for the past couple of weeks.
[00:00:32.200 --> 00:00:34.040]   All great questions, so we're pretty much never
[00:00:34.040 --> 00:00:36.460]   gonna run out of stuff to talk about on the show, right?
[00:00:36.460 --> 00:00:37.960]   Duncan, topics are never-ending.
[00:00:37.960 --> 00:00:39.600]   If you, remember, if you have a question,
[00:00:39.600 --> 00:00:42.280]   email us, askthecompoundshow@gmail.com.
[00:00:42.280 --> 00:00:44.520]   Quick disclaimer, this show is for informational purposes
[00:00:44.520 --> 00:00:47.080]   only, should not be relied upon for investment decisions.
[00:00:47.080 --> 00:00:49.480]   We're just providing context and some help
[00:00:49.480 --> 00:00:51.240]   to help you through decisions here.
[00:00:51.240 --> 00:00:53.120]   Remember, it's not just gonna be me and Duncan here
[00:00:53.120 --> 00:00:55.000]   at all times, we're gonna bring some experts on,
[00:00:55.000 --> 00:00:58.360]   maybe multiple experts today, hint, hint.
[00:00:58.360 --> 00:00:59.200]   Duncan, let's get into it.
[00:00:59.200 --> 00:01:00.320]   What's the first question?
[00:01:00.320 --> 00:01:03.120]   - Okay, good morning, everyone, and hey, Ben.
[00:01:03.120 --> 00:01:05.640]   First, I did want to mention, some of you might have tuned
[00:01:05.640 --> 00:01:08.160]   in thinking we were gonna do your question today.
[00:01:08.160 --> 00:01:09.520]   Don't worry, it's gonna be next week now.
[00:01:09.520 --> 00:01:11.880]   We rearranged things a little bit, so.
[00:01:11.880 --> 00:01:12.840]   - We're breaking hearts, Duncan.
[00:01:12.840 --> 00:01:14.040]   - Yeah, yeah, exactly so.
[00:01:14.040 --> 00:01:16.800]   - We had something planned, it didn't work out,
[00:01:16.800 --> 00:01:19.600]   and we're gonna do it in the next couple weeks, so.
[00:01:19.600 --> 00:01:20.760]   - Yeah, we'll get to it, so yeah.
[00:01:20.760 --> 00:01:21.920]   - It happens.
[00:01:21.920 --> 00:01:26.320]   - Okay, so first up, our first question today
[00:01:26.320 --> 00:01:29.160]   comes from Billy, and so Billy writes,
[00:01:29.160 --> 00:01:34.160]   I'm 61 years old, and I've been retired for two years.
[00:01:34.160 --> 00:01:36.360]   I have a 90/10 portfolio, and my friends
[00:01:36.360 --> 00:01:38.440]   and no-fee financial planner advise me
[00:01:38.440 --> 00:01:40.280]   that I'm too aggressively invested,
[00:01:40.280 --> 00:01:42.560]   and that I should have more bond exposure.
[00:01:42.560 --> 00:01:45.560]   You've won the game, why take a risk at this point,
[00:01:45.560 --> 00:01:47.000]   is what they've told him.
[00:01:47.000 --> 00:01:49.480]   They seem to have totally bought into the 60/40 portfolio,
[00:01:49.480 --> 00:01:50.760]   but I don't see it that way.
[00:01:50.760 --> 00:01:53.720]   At my current spending, I don't use any of my portfolio.
[00:01:53.720 --> 00:01:55.080]   Even doubling my expenditures,
[00:01:55.080 --> 00:01:58.880]   I would still have 10 years of income to pull
[00:01:58.880 --> 00:02:01.560]   from the fixed income assets alone,
[00:02:01.560 --> 00:02:03.840]   and then Social Security would kick in.
[00:02:03.840 --> 00:02:06.160]   What would you advise someone in my financial situation
[00:02:06.160 --> 00:02:07.960]   to do regarding bond allocation?
[00:02:07.960 --> 00:02:09.080]   I think I have enough.
[00:02:09.080 --> 00:02:11.840]   - All right, so before we get into some of the
[00:02:11.840 --> 00:02:14.000]   nitty gritty here, John, play my favorite
[00:02:14.000 --> 00:02:16.600]   George Carlin clip here real quick.
[00:02:16.600 --> 00:02:18.160]   - Have you ever noticed when you're driving
[00:02:18.160 --> 00:02:21.800]   that anyone who's driving slower than you is an idiot,
[00:02:21.800 --> 00:02:24.960]   and anyone driving faster than you is a maniac?
[00:02:24.960 --> 00:02:26.880]   (audience laughing)
[00:02:26.880 --> 00:02:28.280]   - Say, look at this idiot here,
[00:02:28.280 --> 00:02:31.000]   will you just look at this idiot just creeping along?
[00:02:31.000 --> 00:02:33.240]   Whoa, look at that maniac, go!
[00:02:33.240 --> 00:02:36.240]   (audience laughing)
[00:02:36.240 --> 00:02:38.320]   - Perfect.
[00:02:38.320 --> 00:02:40.320]   All right, this is the way that I view
[00:02:40.320 --> 00:02:42.080]   when you have people look at your asset allocation
[00:02:42.080 --> 00:02:44.640]   versus other people, because the secret is
[00:02:44.640 --> 00:02:46.080]   there's no perfect portfolio, right?
[00:02:46.080 --> 00:02:47.320]   It's all about striking the right balance
[00:02:47.320 --> 00:02:50.000]   between your willingness, need, and ability to take risk.
[00:02:50.000 --> 00:02:51.680]   And obviously, this is a little different
[00:02:51.680 --> 00:02:53.120]   because this person is in retirement,
[00:02:53.120 --> 00:02:53.960]   and they're thinking about,
[00:02:53.960 --> 00:02:56.000]   well, how do I allow my portfolio to make it?
[00:02:56.000 --> 00:02:58.200]   And they did give us a few more tidbits here.
[00:02:58.200 --> 00:02:59.040]   We couldn't include 'em all
[00:02:59.040 --> 00:03:01.080]   'cause this is a very long question, but--
[00:03:01.080 --> 00:03:02.160]   - Yeah, lots of detail.
[00:03:02.160 --> 00:03:04.040]   - Yeah, but they said they're basically taking 1%
[00:03:04.040 --> 00:03:05.960]   from their portfolio, because they have Social Security,
[00:03:05.960 --> 00:03:07.600]   because they have other income coming in,
[00:03:07.600 --> 00:03:10.320]   they're not taking much from their portfolio, 1% every year.
[00:03:10.320 --> 00:03:12.640]   And so, while some people would say that's insane,
[00:03:12.640 --> 00:03:14.760]   why would you take a 90/10 portfolio in retirement?
[00:03:14.760 --> 00:03:16.280]   You have no savings coming in.
[00:03:16.280 --> 00:03:17.720]   If there's a nasty bear market,
[00:03:17.720 --> 00:03:19.140]   you might not be able to make it back.
[00:03:19.140 --> 00:03:21.560]   If you have, if you're taking 1% from your portfolio,
[00:03:21.560 --> 00:03:22.720]   and you have 10% in fixed income,
[00:03:22.720 --> 00:03:24.560]   that's 10 years worth of spending, right?
[00:03:24.560 --> 00:03:26.840]   I mean, not adjusted for inflation,
[00:03:26.840 --> 00:03:28.880]   but pretty darn close.
[00:03:28.880 --> 00:03:32.080]   So, while it seems crazy,
[00:03:32.080 --> 00:03:34.560]   based on this person's circumstances, it might not be.
[00:03:34.560 --> 00:03:38.000]   The thing is, there's a difference between
[00:03:38.000 --> 00:03:40.320]   do you need to take risk and do you want to take risk, right?
[00:03:40.320 --> 00:03:43.320]   So, there's two hugely wealthy families
[00:03:43.320 --> 00:03:44.600]   in Western Michigan that I know of
[00:03:44.600 --> 00:03:47.040]   that have family offices, both billionaires.
[00:03:47.040 --> 00:03:48.720]   And one of the billionaire families
[00:03:48.720 --> 00:03:51.220]   has all of their money in private equity.
[00:03:51.220 --> 00:03:53.360]   They have the ability to take risk.
[00:03:53.360 --> 00:03:54.240]   They don't need to take risk,
[00:03:54.240 --> 00:03:55.800]   but they have the ability, so they do it.
[00:03:55.800 --> 00:03:57.400]   The other family, and I know people
[00:03:57.400 --> 00:03:58.920]   who have helped to manage this money,
[00:03:58.920 --> 00:04:00.900]   have the entire portfolio in bonds.
[00:04:00.900 --> 00:04:01.740]   This is a billionaire.
[00:04:01.740 --> 00:04:03.120]   They don't need to have their money in bonds and safety.
[00:04:03.120 --> 00:04:04.760]   They can take as much risk as they want,
[00:04:04.760 --> 00:04:06.040]   but they don't want to take risk.
[00:04:06.040 --> 00:04:08.400]   So, a lot of it comes down to what you need
[00:04:08.400 --> 00:04:11.200]   and what you want, and I guess a lot of this comes down
[00:04:11.200 --> 00:04:13.880]   to how flexible can your spending be, right?
[00:04:13.880 --> 00:04:15.560]   Because a lot of times, we see these 4% rules
[00:04:15.560 --> 00:04:18.040]   or 3% rules for taking money out of a portfolio.
[00:04:19.080 --> 00:04:21.420]   And no one actually does that on a year in and year out
[00:04:21.420 --> 00:04:25.460]   basis without making some changes based on circumstances.
[00:04:25.460 --> 00:04:27.060]   So, if we did have a nasty bear market,
[00:04:27.060 --> 00:04:29.140]   are you willing to cut back your spending potentially
[00:04:29.140 --> 00:04:31.980]   because you don't want to sell down your stock portfolio
[00:04:31.980 --> 00:04:33.980]   when the crap hits the fan, right?
[00:04:33.980 --> 00:04:38.820]   So, and I guess are you willing to, worst case scenario,
