
[00:00:00.000 --> 00:00:02.460]   [Silence]
[00:00:02.460 --> 00:00:05.380]   Now, breathing and respiration is an enormous topic
[00:00:05.380 --> 00:00:06.220]   in and of itself.
[00:00:06.220 --> 00:00:08.460]   And in fact, I did an entire episode
[00:00:08.460 --> 00:00:09.780]   on breathing and respiration.
[00:00:09.780 --> 00:00:12.720]   And this is a topic that my laboratory works on extensively
[00:00:12.720 --> 00:00:14.960]   as it relates to anxiety control
[00:00:14.960 --> 00:00:17.060]   and some other aspects of mental health,
[00:00:17.060 --> 00:00:19.220]   as well as to physical performance.
[00:00:19.220 --> 00:00:20.120]   For today's discussion,
[00:00:20.120 --> 00:00:23.460]   I want to just review a few tools that one can incorporate
[00:00:23.460 --> 00:00:26.540]   both into workouts and around workouts
[00:00:26.540 --> 00:00:29.900]   that can greatly enhance fitness and recovery.
[00:00:29.900 --> 00:00:32.320]   The first one is the type of respiration tool
[00:00:32.320 --> 00:00:35.540]   that you use between sets of exercise.
[00:00:35.540 --> 00:00:37.480]   And again, here, we're talking about resistance training,
[00:00:37.480 --> 00:00:40.220]   but we could just as easily be talking about
[00:00:40.220 --> 00:00:44.540]   rest between rounds of say high-intensity interval training.
[00:00:44.540 --> 00:00:47.400]   So for instance, between bouts of sprinting on the track
[00:00:47.400 --> 00:00:49.620]   or the bike or the treadmill or the rower.
[00:00:49.620 --> 00:00:51.860]   A great pattern of breathing to incorporate
[00:00:51.860 --> 00:00:53.780]   during rest between sets
[00:00:53.780 --> 00:00:56.220]   is something that I've talked about before in other contexts,
[00:00:56.220 --> 00:00:57.780]   which is the physiological side.
[00:00:57.780 --> 00:01:02.100]   The physiological side is a deep inhale through the nose
[00:01:02.100 --> 00:01:06.180]   to maximally or near maximally inflate your lungs.
[00:01:06.180 --> 00:01:08.980]   And then a second, very brief inhale,
[00:01:08.980 --> 00:01:10.540]   and it's necessarily brief
[00:01:10.540 --> 00:01:12.600]   'cause your lungs are already pretty full,
[00:01:12.600 --> 00:01:15.140]   to maximally inflate your lungs
[00:01:15.140 --> 00:01:17.100]   and to make sure that any of the little sacks,
[00:01:17.100 --> 00:01:19.260]   the little alveoli of your lungs that have collapsed
[00:01:19.260 --> 00:01:23.180]   during the exercise exertion will reinflate.
[00:01:23.180 --> 00:01:26.520]   And then a long exhale until lungs empty.
[00:01:26.520 --> 00:01:28.140]   So I'll demonstrate it right now
[00:01:28.140 --> 00:01:29.340]   as I've done many times before,
[00:01:29.340 --> 00:01:31.340]   but if you haven't seen it or heard it before,
[00:01:31.340 --> 00:01:34.100]   it's two inhales followed by an extended exhale
[00:01:34.100 --> 00:01:35.260]   and it goes like this.
[00:01:35.260 --> 00:01:38.420]   [inhales and exhales]
[00:01:38.420 --> 00:01:45.860]   You'll notice that the inhales were through the nose
[00:01:45.860 --> 00:01:47.660]   and the exhale was through the mouth.
[00:01:47.660 --> 00:01:50.300]   That's the ideal way to do it for a number of reasons.
[00:01:50.300 --> 00:01:52.700]   Check out the episode that I did on respiration physiology,
[00:01:52.700 --> 00:01:56.840]   aka breathing, if you want more details on why that is.
[00:01:56.840 --> 00:01:58.280]   But two inhales through the nose
[00:01:58.280 --> 00:02:00.320]   and a long extended exhale through the mouth,
[00:02:00.320 --> 00:02:02.880]   the so-called physiological side, not named by me,
[00:02:02.880 --> 00:02:06.760]   but rather named by physiologists in the 1930s,
[00:02:06.760 --> 00:02:10.120]   is as far as we know, the fastest way
[00:02:10.120 --> 00:02:14.360]   to shift your nervous system from so-called sympathetic drive
