
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:00:01.000 --> 00:00:02.000]   [GLASS BREAKING]
[00:00:02.000 --> 00:00:03.000]   [SIGH]
[00:00:03.000 --> 00:00:06.000]   Shop break-resistant glassware at wineenthusiast.com
[00:00:06.000 --> 00:00:07.000]   so you can spend more time--
[00:00:07.000 --> 00:00:08.000]   [DING]
[00:00:08.000 --> 00:00:09.000]   --and less time--
[00:00:09.000 --> 00:00:10.000]   [GLASS BREAKING]
[00:00:10.000 --> 00:00:12.000]   --ugh, I'll get the broom.
[00:00:12.000 --> 00:00:14.000]   Shop our Black Friday and Cyber Monday deals
[00:00:14.000 --> 00:00:17.000]   for the best prices of the season on wine storage, gifts,
[00:00:17.000 --> 00:00:18.000]   and more.
[00:00:18.000 --> 00:00:21.000]   Plus, get free shipping on orders of $99 and more.
[00:00:21.000 --> 00:00:24.000]   At wineenthusiast.com, we bring wine to life.
[00:00:24.000 --> 00:00:25.000]   [DING]
[00:00:25.000 --> 00:00:26.000]   Exclusions apply.
[00:00:26.000 --> 00:00:27.000]   See website for details.
[00:00:27.000 --> 00:00:28.000]   [DING]
[00:00:28.000 --> 00:00:30.000]   Today on Radical Personal Finance,
[00:00:30.000 --> 00:00:33.000]   I'm going to give you a way to juice up your personal finance
[00:00:33.000 --> 00:00:38.000]   spreadsheets and automate the most time-consuming aspect
[00:00:38.000 --> 00:00:39.000]   of that.
[00:00:39.000 --> 00:00:41.000]   A lot of you are going to enjoy today's show,
[00:00:41.000 --> 00:00:47.000]   and a few of you are going to be ecstatic about the tool
[00:00:47.000 --> 00:00:48.000]   that I have for you today.
[00:00:48.000 --> 00:00:51.000]   [MUSIC PLAYING]
[00:00:52.000 --> 00:00:55.000]   [MUSIC PLAYING]
[00:00:55.000 --> 00:01:08.000]   Welcome to the Radical Personal Finance Podcast.
[00:01:08.000 --> 00:01:10.000]   My name is Joshua Sheets, and I'm your host.
[00:01:10.000 --> 00:01:15.000]   Today, we are talking with Peter Polson, the founder of Tiller,
[00:01:15.000 --> 00:01:19.000]   a spreadsheet system that automates the data as it flows
[00:01:19.000 --> 00:01:20.000]   into your spreadsheets.
[00:01:20.000 --> 00:01:24.000]   And like I said, you financial geeks and nerds,
[00:01:24.000 --> 00:01:26.000]   pay attention, because some of you
[00:01:26.000 --> 00:01:29.000]   are going to love this solution for you.
[00:01:29.000 --> 00:01:32.000]   [MUSIC PLAYING]
[00:01:32.000 --> 00:01:42.000]   I try, as I'm out and about in the personal finance world,
[00:01:42.000 --> 00:01:45.000]   I try to just keep my ears open for new things that are going
[00:01:45.000 --> 00:01:46.000]   on.
[00:01:46.000 --> 00:01:48.000]   I try to keep my ears open for new solutions that
[00:01:48.000 --> 00:01:51.000]   are happening and just different options and opportunities.
[00:01:51.000 --> 00:01:56.000]   And that's exactly how today's interview came to me.
[00:01:56.000 --> 00:01:59.000]   That's exactly how I became aware of the software package
[00:01:59.000 --> 00:02:01.000]   that we're going to talk about in today's show.
[00:02:01.000 --> 00:02:06.000]   I randomly bumped into Peter Polson at FinCon,
[00:02:06.000 --> 00:02:09.000]   and he shared with me the project that he's working on.
[00:02:09.000 --> 00:02:11.000]   I didn't quite grasp it at the moment, but as always,
[00:02:11.000 --> 00:02:12.000]   I checked it out.
[00:02:12.000 --> 00:02:14.000]   And once I got home, as you'll hear in just a moment,
[00:02:14.000 --> 00:02:16.000]   I really checked this out.
[00:02:16.000 --> 00:02:17.000]   And it's kind of a fun solution.
[00:02:17.000 --> 00:02:20.000]   And if you like managing your personal finances
[00:02:20.000 --> 00:02:23.000]   with a spreadsheet, if you don't like the software packages,
[00:02:23.000 --> 00:02:28.000]   you don't like YNAB, you don't like Microsoft Money or Mint
[00:02:28.000 --> 00:02:30.000]   or Quicken or those types of things,
[00:02:30.000 --> 00:02:31.000]   and you just like a simple spreadsheet,
[00:02:31.000 --> 00:02:35.000]   many of you are going to enjoy this option that I have for you
[00:02:35.000 --> 00:02:37.000]   in today's show.
