
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.000]   - We're joined again by author and speaker,
[00:00:07.000 --> 00:00:10.000]   Randy Alcorn, sitting in this week for John Piper.
[00:00:10.000 --> 00:00:11.480]   We're calling it Heaven Week.
[00:00:11.480 --> 00:00:13.920]   And in Monday's episode, number 359,
[00:00:13.920 --> 00:00:15.440]   Randy, you said this,
[00:00:15.440 --> 00:00:18.760]   "If there's a new Jerusalem, why not a new Los Angeles?
[00:00:18.760 --> 00:00:20.040]   Why not a new Chicago?
[00:00:20.040 --> 00:00:21.120]   Why not a new Paris?
[00:00:21.120 --> 00:00:22.920]   Why not a new London?"
[00:00:22.920 --> 00:00:23.760]   End quote.
[00:00:23.760 --> 00:00:26.840]   So I wanna pick up on this today and ask about travel.
[00:00:26.840 --> 00:00:29.440]   Will we travel around leisurely
[00:00:29.440 --> 00:00:31.120]   and explore the new earth?
[00:00:31.120 --> 00:00:32.200]   Assuming there'll be cities,
[00:00:32.200 --> 00:00:33.600]   will we travel to these cities
[00:00:33.600 --> 00:00:35.280]   and will we travel to other planets
[00:00:35.280 --> 00:00:37.400]   and explore the universe?
[00:00:37.400 --> 00:00:40.120]   - Given the reality that the new earth
[00:00:40.120 --> 00:00:43.760]   will correspond to the old earth in the same way
[00:00:43.760 --> 00:00:46.960]   that our new bodies will correspond to our old bodies,
[00:00:46.960 --> 00:00:49.400]   a better version of the same,
[00:00:49.400 --> 00:00:51.640]   but not fundamentally different,
[00:00:51.640 --> 00:00:56.520]   except in the sense of perfected, glorified,
[00:00:56.520 --> 00:01:00.360]   always healthy, not subject to death and suffering
[00:01:00.360 --> 00:01:03.360]   and all of that, because we're no longer under the curse.
[00:01:03.360 --> 00:01:08.360]   Therefore, I think the natural understanding
[00:01:08.360 --> 00:01:12.040]   would be that travel on the new earth
[00:01:12.040 --> 00:01:16.280]   in the resurrection would be similar to travel as it is now.
[00:01:16.280 --> 00:01:18.000]   We can walk.
[00:01:18.000 --> 00:01:20.760]   The new Jerusalem has streets.
[00:01:20.760 --> 00:01:23.760]   Streets are made for walking.
[00:01:23.760 --> 00:01:27.560]   They could be also made for riding horses.
[00:01:27.560 --> 00:01:29.560]   There could be automobiles.
[00:01:29.560 --> 00:01:33.480]   There could be jet engines and air travel.
[00:01:33.480 --> 00:01:35.840]   There could be space travel.
[00:01:35.840 --> 00:01:38.040]   All of these things that in fact,
[00:01:38.040 --> 00:01:41.800]   there's no reason at all to think there wouldn't be
[00:01:41.800 --> 00:01:44.520]   because this is not the new earth,
[00:01:44.520 --> 00:01:47.000]   what we see in Revelation 21 and 22,
[00:01:47.000 --> 00:01:50.960]   and for that matter in Isaiah 60 and 65, 66
[00:01:50.960 --> 00:01:54.080]   and other new earth passages,
[00:01:54.080 --> 00:01:58.680]   is that you would expect people to do
[00:01:58.680 --> 00:02:01.960]   what they've been able to do, except do it better.
[00:02:01.960 --> 00:02:03.400]   Our minds will be better.
[00:02:03.400 --> 00:02:05.120]   Our bodies will be healthier.
[00:02:05.120 --> 00:02:06.200]   So will we run?
[00:02:06.200 --> 00:02:10.120]   We'll probably faster than we've ever been able to run.
[00:02:10.120 --> 00:02:12.960]   Not getting as tired, of course, will still be finite.
[00:02:12.960 --> 00:02:16.880]   So some people suggest that they see Jesus
