
[00:00:00.000 --> 00:00:05.000]   [Intro]
[00:00:05.000 --> 00:00:08.000]   Podcast listener Jonathan writes in with a very important question.
[00:00:08.000 --> 00:00:15.000]   "Pastor John, you tweeted recently, 'Election is unconditional, glorification is not.
[00:00:15.000 --> 00:00:20.000]   So the certainty that the elect will be glorified rests on God's enabling.'
[00:00:20.000 --> 00:00:25.000]   This reminded me of a line in your new book, Five Points, where you say essentially the same thing.
[00:00:25.000 --> 00:00:31.000]   'Election is unconditional, but glorification is not.' (p. 63)
[00:00:31.000 --> 00:00:38.000]   I have been having a hard time with this because Romans 8, 29-30 seems to say to me that if we have been predestined or elected,
[00:00:38.000 --> 00:00:41.000]   then we will also be glorified, guaranteed.
[00:00:41.000 --> 00:00:44.000]   So how can glorification be conditional?
[00:00:44.000 --> 00:00:48.000]   Can we be elect and yet not know if we're going to be glorified?
[00:00:48.000 --> 00:00:57.000]   If God seems to labor to help us to know that our election is secure, why wouldn't He want us to think that our glorification is secure as well?
[00:00:57.000 --> 00:00:59.000]   Pastor John, can you help me with this?"
[00:00:59.000 --> 00:01:05.000]   Okay, this is really, really crucial, and I'm very thankful for the question,
[00:01:05.000 --> 00:01:12.000]   and I want to try to help Jonathan and a lot of people who stumble in this way at what I'm saying.
[00:01:12.000 --> 00:01:24.000]   Jonathan is not making a distinction that I make, and I think it's a distinction that is absolutely crucial to make in order to make sense out of biblical teaching.
[00:01:24.000 --> 00:01:29.000]   He's not distinguishing between certainty and conditionality.
[00:01:29.000 --> 00:01:36.000]   For him, if something is certain or guaranteed, it cannot be conditional.
[00:01:36.000 --> 00:01:41.000]   And if something is conditional, it cannot be certain or guaranteed.
[00:01:41.000 --> 00:01:53.000]   Here's what he says, "It seems to me that if we have been predestined or elected, then we will be also glorified, guaranteed."
[00:01:53.000 --> 00:01:55.000]   And he's absolutely right about that.
[00:01:55.000 --> 00:01:59.000]   That's what Romans 8, 29 through 30 says.
[00:01:59.000 --> 00:02:08.000]   "Those whom he predestined, he called, and those whom he called, he justified, and those whom he justified, he glorified."
[00:02:08.000 --> 00:02:15.000]   Yes, if we are elect and predestined, then our glorification is certain, guaranteed.
[00:02:15.000 --> 00:02:19.000]   Yes, yes, yes. Praise God and amen, Jonathan.
[00:02:19.000 --> 00:02:24.000]   Then he says, and this we got to wrestle with, why does he say this?
[00:02:24.000 --> 00:02:31.000]   "So, quote, "So, how can glorification be conditional?
[00:02:31.000 --> 00:02:38.000]   Can we be elect and yet not know if we're going to be glorified?"
[00:02:38.000 --> 00:02:39.000]   So you see what he assumes?
