
[00:00:00.000 --> 00:00:04.740]   We have all heard to brush and floss our teeth, but what if that's just the tip of the iceberg?
[00:00:04.740 --> 00:00:09.620]   In this episode, we'll dive deep into oral health and the critical and often overlooked
[00:00:09.620 --> 00:00:14.340]   connection between your mouth and your entire body. From systemic inflammation and heart disease
[00:00:14.340 --> 00:00:19.660]   to Alzheimer's and longevity, your oral health might actually be playing a far bigger role than
[00:00:19.660 --> 00:00:24.320]   your last dental cleaning suggested. As Dr. Mark puts it, if you're worried about feeling better,
[00:00:24.320 --> 00:00:29.120]   looking better, living longer, quality of life, make sure the mouth is tight and clean
[00:00:29.120 --> 00:00:34.100]   and problem-free. We'll unpack exactly how to do that, including what products to be using and
[00:00:34.100 --> 00:00:38.300]   stop using. We'll discuss a test that could change your oral health plan. We'll talk about the right
[00:00:38.300 --> 00:00:43.760]   daily habits you need, as well as some that might be silently undermining all your hard work and a lot
[00:00:43.760 --> 00:00:48.480]   more. I'm Chris Hutchins. If you enjoy this episode, please share it with a friend or leave a comment or
[00:00:48.480 --> 00:00:53.160]   review. And if you want to keep upgrading your life, money, and travel, click follow or subscribe.
[00:00:53.160 --> 00:00:58.120]   Mark, how much does our oral health impact our overall health?
[00:00:58.240 --> 00:01:05.540]   It's pretty much in every case, a life and death decision. It is a very prevalent disease,
[00:01:05.540 --> 00:01:13.460]   oral health issues, cavities, gum disease, bad breath, however you want to call it. And 80% of
[00:01:13.460 --> 00:01:18.340]   us have some version of that. So if there's a connection to systemic health, because it'll take
[00:01:18.340 --> 00:01:23.480]   you down, it'll take other organ systems down, it will, it spreads throughout the body. And so it's a
[00:01:23.480 --> 00:01:26.220]   big deal. It's a big connection. It should be a pillar of health.
[00:01:26.220 --> 00:01:30.680]   And what's the mechanism by which it connects? Is it bacteria that builds up from all these things in
[00:01:30.680 --> 00:01:31.700]   your mouth or inflammation?
[00:01:31.700 --> 00:01:40.720]   It's complicated, as you would imagine. It hasn't been proven in all cases, 100%. But pretty much
[00:01:40.720 --> 00:01:46.660]   everyone's behind it. There is a way for bacteria in the mouth to travel throughout the body. There are
[00:01:46.660 --> 00:01:51.900]   many different conduits. It's you can get past the gums, especially if you have gum issues, which again,
[00:01:51.900 --> 00:01:59.460]   about after age 45, 70% of us have some form of gingivitis or gum disease. And when you have that,
[00:01:59.460 --> 00:02:04.660]   that barrier, kind of like inflammation of the gut, kind of the same concept. These bacteria,
[00:02:04.660 --> 00:02:08.740]   and these are different bacteria than you see throughout the body. There's some uniqueness to
[00:02:08.740 --> 00:02:14.460]   the biome or the oral microbiome as opposed to other biomes. But these bugs wreak havoc. I mean,
[00:02:14.460 --> 00:02:18.400]   P. gingivalis, one of the big bugs that causes gum disease in the mouth,
[00:02:18.400 --> 00:02:26.300]   very prevalent in the mouth. That has now made connections to research and studies as a causative
[00:02:26.300 --> 00:02:34.200]   agent, not the causative agent, but one of the causative agents of the stimulus for laying down
[00:02:34.200 --> 00:02:38.600]   amyloid plaque, which is kind of in the old days, we thought that was Alzheimer's. But now we know that's
[00:02:38.600 --> 00:02:43.680]   a sign that you're headed towards Alzheimer's. So that's how the body responds to a bug in the mouth.
[00:02:43.680 --> 00:02:50.560]   It becomes inflamed and it lays down the amyloid plaque, which leads to a degeneration of all the
[00:02:50.560 --> 00:02:57.880]   neuronal pathways that leads to dementia. So plenty of other examples with the heart, cancer,
[00:02:57.880 --> 00:03:06.600]   metabolic syndrome, insulin resistance, all of that. Pretty much everything is connected to the mouth
[00:03:06.600 --> 00:03:12.680]   and it can also be bi-directional too. But the mechanism, it's typically through an infection
[00:03:12.680 --> 00:03:18.600]   from a bug in the mouth somewhere else in the body. You can just have injury. In other words,
[00:03:18.600 --> 00:03:23.720]   it's kind of like you can damage the tissue. It's not necessarily an infection, but for example,
[00:03:23.720 --> 00:03:27.540]   you can damage heart tissue to the point where it can't function anymore. It could be a small part of
[00:03:27.540 --> 00:03:33.780]   the heart. And then the last one is inflammation. And if you seed inflammation throughout the body,
[00:03:33.780 --> 00:03:39.720]   if it's coming from the mouth and you don't deal with that root cause, then that just continually
[00:03:39.720 --> 00:03:45.720]   goes on. You'll have elevated C-reactive protein index. In other words, your markers will show that
[00:03:45.720 --> 00:03:52.060]   you're inflamed. A lot of physicians are sometimes just confused because they're working with a patient,
[00:03:52.180 --> 00:03:56.860]   it could be a cardiologist working with a patient on heart disease. It could be an endocrinologist.
[00:03:56.860 --> 00:04:02.040]   It could be a nephrologist for kidneys. And they're looking at that as one of the markers. And then
[00:04:02.040 --> 00:04:08.720]   they don't understand or they haven't been taught in medical school. And we have our dark blind spots
[00:04:08.720 --> 00:04:13.880]   too in dentistry. And this is the issue. There's no connective tissue between the two, even though it's
[00:04:13.880 --> 00:04:19.180]   the same body, you know, there are two different distinct ways of looking at the body and treating the
[00:04:19.180 --> 00:04:23.620]   body. But that nephrologist is going to wreck its brains. If he doesn't know about the gum disease,
[00:04:23.620 --> 00:04:27.820]   then he doesn't know where the inflammation is coming from. And he can't successfully treat that
[00:04:27.820 --> 00:04:35.380]   patient. So it's really kind of a shit show out there, unfortunately. And then again, our insurance
[00:04:35.380 --> 00:04:40.220]   system is different as well. But the actual way the bugs get into the bloodstream, they can be absorbed
[00:04:40.220 --> 00:04:44.860]   through the oral mucosa, which is the inside lining of our cheek, the floor of the mouth. But they're all
[00:04:44.860 --> 00:04:50.400]   one cell thick, just like the gut lining. Those bugs can get through to the brain. If it crosses
