
[00:00:00.000 --> 00:00:06.960]   i just wanted to make sure that the recording was uh going to go work properly okay
[00:00:06.960 --> 00:00:14.400]   i did not prepare for this uh this this it and honestly like you know there's a lot of other
[00:00:14.400 --> 00:00:18.560]   papers as well that's going on you don't have to take up the full time uh there's always people
[00:00:18.560 --> 00:00:23.600]   that are interested in other things uh is there which which other papers are people interested in
[00:00:25.280 --> 00:00:31.120]   uh i mean just like stuff that was dropped in the channel okay
[00:00:31.120 --> 00:00:42.960]   it's useful to mute uh there's a bottom on the button on the top bottom right to mute all or um
[00:00:42.960 --> 00:00:49.280]   yeah mute people on entry so that i can help because people don't realize they're unmuted
[00:00:51.360 --> 00:01:00.800]   settings okay where's the mute all on entry can't seem to find that cd button either
[00:01:00.800 --> 00:01:03.200]   uh bottom right there's like a little drop down
[00:01:12.480 --> 00:01:23.120]   okay okay yeah fine mute participant uh entry got it rj were you saying something because i can't hear you at all
[00:01:23.120 --> 00:01:34.000]   sorry i didn't i was not muted no i wasn't saying anything okay okay i'm at a cafe so there's a lot of
[00:01:34.000 --> 00:01:43.120]   um got it got it got it got it okay okay i guess uh i'll go through red light and i'll go through
[00:01:43.120 --> 00:01:49.600]   large language diffusion model uh since um i don't know whether you all saw the tweets from
[00:01:49.600 --> 00:01:58.800]   uh uh recently as well because because uh apparently google now just made a a decent diffusion model
[00:02:00.160 --> 00:02:04.240]   uh uh text model which is quite red
[00:02:04.240 --> 00:02:14.880]   so ai is apparently going to get much faster today
[00:02:14.880 --> 00:02:20.880]   okay
[00:02:25.520 --> 00:02:33.920]   okay anyone okay so uh it so today's going to just be like a collection of papers uh i will kick
[00:02:33.920 --> 00:02:40.960]   off with my own which is red that and then um where we show how to uh essentially take an existing
[00:02:40.960 --> 00:02:47.440]   72v quen model and convert it to another architecture altogether and then and then after that i will go
[00:02:47.440 --> 00:02:55.840]   through the diffusion model um i guess uh paper and and and and and then we'll like pick up from any
[00:02:55.840 --> 00:03:00.560]   other suggestions from there so the paper that we are covering i'm just going to put the link here
[00:03:00.560 --> 00:03:02.880]   and share my screen
[00:03:02.880 --> 00:03:12.800]   yep so uh so so i think a few of you may have already heard about me mentioning this in overall oops
[00:03:14.640 --> 00:03:22.480]   but this was essentially the basis for our quirky 72b which which which is where we took
[00:03:22.480 --> 00:03:29.360]   where which we took an uh existing quantity to be model let me find a picture which is better yeah
[00:03:29.360 --> 00:03:38.320]   yeah where we do where we do an existing 72b model and essentially were able to train it uh using a new
[00:03:38.320 --> 00:03:44.160]   attention mechanism and we were able to get uh most of the performance um retained um the the
[00:03:44.160 --> 00:03:49.200]   subsequent paper that we we published is is more of like to document that that process from a high
[00:03:49.200 --> 00:03:56.640]   level and then subsequently also what we found didn't work in particular so so uh so so the idea
[00:03:56.640 --> 00:04:03.520]   here is that uh we want to actually encourage um and research into new attention mechanism and this
[00:04:03.520 --> 00:04:10.960]   technique doesn't apply just to rwkb this this uh this approach actually unlocks new possibilities for
[00:04:11.520 --> 00:04:20.400]   for not just uh rwkb but that includes state space for mofoado xlstm and etc um and essentially what we
[00:04:20.400 --> 00:04:28.240]   realized is that most like majority of the feed forward network layer can be recycled if you um there is
[00:04:28.240 --> 00:04:38.880]   actually a similar um paper that came up uh came out recently as well um mlps um similar across architectures i can't
[00:04:38.880 --> 00:04:47.760]   remember the exact name um i didn't um but basically there was a recent there was a recent paper that came
[00:04:47.760 --> 00:04:55.920]   out where where i where where where a team compared the the lama model and the mr model and i believe
[00:04:55.920 --> 00:05:05.920]   warmer model and they found that actually that the that the mlp layers uh weight values are approximately similar to each other
[00:05:05.920 --> 00:05:12.480]   despite being trained on different data sets uh uh when they are optimist so so so so there's kind of
[00:05:12.480 --> 00:05:18.720]   like uh hypothesis right now floating around that uh that um if you're going to train on the same large
[00:05:18.720 --> 00:05:25.120]   web data your mlp layers are going to converge to roughly the same and and and we we also like reaffirm
[00:05:25.120 --> 00:05:33.040]   that hypothesis that hey you can freeze that layer and just swap out the attention layer so so what uh what we did
[00:05:33.040 --> 00:05:39.600]   subsequently and so the thing is that uh we showed like this is not the first conversion method per se
[00:05:39.600 --> 00:05:47.360]   from an existing uh existing uh existing uh from one architecture to another so so we we we did outline it
[00:05:47.360 --> 00:05:54.080]   the comparison to like to compare to to to to existing methods uh acknowledging some of the previous work that
[00:05:54.080 --> 00:05:59.920]   was done accordingly but i think what stood out for us is that uh we are we are probably one of the first
[00:05:59.920 --> 00:06:04.000]   team that went after going through this process and only training on 500 million tokens that we actually
[00:06:04.000 --> 00:06:12.080]   even have benchmarks improved and and even though some actually did be proved and like previously right
[00:06:12.080 --> 00:06:17.360]   previous previous conversion attempts right uh previous conversion attempts right you will see a dramatic
[00:06:17.360 --> 00:06:22.320]   drop in performance which it which is not really the biggest issue in my opinion because like when you
[00:06:22.320 --> 00:06:29.360]   convert from a quadratic to a linear model even if let's say you drop by 20 performance in overall
[00:06:29.360 --> 00:06:35.280]   the inference saving is actually substantial enough that that uh that that this this could potentially be a
[00:06:35.280 --> 00:06:41.360]   viable path towards like making a more scalable model but but we've we've we've the updated techniques
[00:06:41.360 --> 00:06:47.360]   that we did we've read that right it's that it's able to like more like rapidly i forgot to talk about
[00:06:47.360 --> 00:06:53.600]   the name uh it's a rapidly a rapid attention distillation to linear attention decoder so we are able to
[00:06:53.600 --> 00:06:59.120]   rapidly change one attention mechanism to another um the linear one is just because of the example
[00:06:59.120 --> 00:07:06.160]   because we are linear architecture but like i said this can be done using other attention mechanisms
[00:07:06.160 --> 00:07:11.280]   like right now we are actually helping two universities um and we are talking to another two
[00:07:11.280 --> 00:07:17.760]   and their team to test and variation of the transformer attention model using the same technique so
[00:07:17.760 --> 00:07:26.320]   it so what we what we did was that uh uh we take the existing model we freeze the feed forward network
[00:07:26.320 --> 00:07:35.840]   layer and we we swap up the we swap out the attention layer and then uh and then and then subsequently right
[00:07:35.840 --> 00:07:41.200]   we distilled the information uh in between i i know a lot of people get confused about
[00:07:41.200 --> 00:07:47.040]   the distillation since i've conveyed the the idea um and and it was covered in this paper is that
[00:07:47.040 --> 00:07:55.040]   is that uh when we say distillation right we we mean distillation from the same model uh from from the
[00:07:55.040 --> 00:08:00.800]   from the original model and and it's not just logics distillation like like the first few steps of the
[00:08:00.800 --> 00:08:06.400]   process right is that we distill it in between the layers so for example you can take a single block
[00:08:07.120 --> 00:08:13.600]   you put that you as you as you as you do the four inference and as it goes through um goes through
[00:08:13.600 --> 00:08:20.000]   respectively right uh we we take the the incoming embedding and and outgoing embedding and we use that
[00:08:20.000 --> 00:08:26.560]   for distillation not the logics itself so so yeah distillation between the layers itself because in
[00:08:26.560 --> 00:08:33.040]   this case we are replacing the attention mechanism um and then subsequently um you you fine tune that you
[00:08:33.040 --> 00:08:40.160]   do for the fine tuning to like just stabilize and and and weave everything together so uh i think since we
[00:08:40.160 --> 00:08:51.520]   released this paper right uh background uh i i covered the high level there um what what actually a lot of uh
[00:08:51.520 --> 00:08:58.800]   people pointed out and really liked about it um so after after the logic distillation um experiments and
[00:08:58.800 --> 00:09:08.000]   benchmark uh i wanted to highlight the this segment what did not work um so uh the because the thing is
[00:09:08.000 --> 00:09:13.360]   that with this uh with this conversion method right um there's many ways you can do get it wrong and
[00:09:13.360 --> 00:09:23.920]   and and we and and these are some that some things that we uh we uh we we we actually iterated through
[00:09:23.920 --> 00:09:29.760]   and so we documented like what did not work um we also would like to clarify that when we say it did not
[00:09:29.760 --> 00:09:37.360]   work and we mean very specifically did not work for rwkb um it is possible that as uh as we experiment with
[00:09:37.360 --> 00:09:41.680]   other attention mechanism right that some of the things that we flagged out as did not work will
