
[00:00:00.000 --> 00:00:06.000]   It should just record to my account so that I can upload it to YouTube.
[00:00:06.000 --> 00:00:11.000]   Is done. I did it. Okay, great. Oops.
[00:00:11.000 --> 00:00:14.000]   All right, great. So, we're off.
[00:00:14.000 --> 00:00:19.000]   So, Hi everybody I'm RJ.
[00:00:19.000 --> 00:00:32.000]   And we're going to talk about this paper, I hope people had a chance to at least pick through it I know this is one of the hardest papers I've read in a long time.
[00:00:32.000 --> 00:00:43.000]   So I understand if you didn't understand everything that's going on I certainly didn't, and I had to dig through a bunch of other papers to have the context also to understand it so.
[00:00:43.000 --> 00:00:52.000]   And then there's a lot of proofs that are like take too long to read and are not as important understanding the paper so like there's a lot, a lot there.
[00:00:52.000 --> 00:01:08.000]   But without so without further ado, this, this SCM, there's a simple stable and scalable and they actually just this authors do a great job of actually going through all three of those things in the paper.
[00:01:08.000 --> 00:01:26.000]   There's a consistency model, we'll talk about what that means in a little bit, but that's them and then, like, why are they doing this well because these continuous time consistency models show promise, but they're, but, but they're hard to train
[00:01:26.000 --> 00:01:34.000]   and hard to scale. So the paper kind of present some techniques for getting over those challenges.
[00:01:34.000 --> 00:01:41.000]   So I'm going to, you know, as in, so we're talking about in the beginning.
[00:01:41.000 --> 00:01:57.000]   There's, I think it is good to have just a recap of diffusion in general and this is more complex version of diffusion but I thought a lot of people have seen this diagram so it'd be useful to talk about what we're talking about here.
[00:01:57.000 --> 00:02:04.000]   And in, in reference to, you know, sort of stable diffusion and latent diffusion.
[00:02:04.000 --> 00:02:16.000]   So, the, the, you know, sort of the left space is the, the variational auto encoder and that lifts the pixels into latent space.
[00:02:16.000 --> 00:02:20.000]   And so we're not going to talk about that.
[00:02:20.000 --> 00:02:30.000]   And then the right hand side is the conditioning for on images and text so that's how you actually prompt the model, instead of just standing generating random images.
[00:02:30.000 --> 00:02:33.000]   And so we're also not going to really talk about that.
[00:02:33.000 --> 00:02:50.000]   But suffice these mechanisms are, um, they, they, they're compatible with the existing technologies, or these things, so you can just view it kind of as a drop in replacement for the screen part.
[00:02:50.000 --> 00:03:03.000]   And actually keep this diagram in mind, the unit in the sort of in the middle the big part in the middle with the attention blocks there are is is basically identical even.
[00:03:03.000 --> 00:03:07.000]   So, a lot of a lot of this diagram is the same.
[00:03:07.000 --> 00:03:18.000]   It's really about the training process and, you know, some tweaks to make the, the main network work well with that training process.
[00:03:18.000 --> 00:03:40.000]   And, and, you know, specifically, with, with the regular diffusion models that we all know and love. They have to iterate multiple times generally to generate a good image, whereas the, these consistency models are designed so they can generate a good
[00:03:40.000 --> 00:03:56.000]   image with only one pass through the network and there's a mechanism by which you can iterate to refine if you want to but that you. The idea is that you don't need to even even one shot through the network is enough to get a really good image.
[00:03:56.000 --> 00:04:10.000]   I tried to put all the links that I took images and other things from, so I'll share this and everyone can everyone can click on those if they want.
[00:04:10.000 --> 00:04:21.000]   So, please, and also please, if you guys have questions I know they go in the chat. I'm not watching the chat so let me know if you want to interrupt and ask a question.
[00:04:21.000 --> 00:04:35.000]   So, you know, this is just regular diffusion, and the idea is quite simple you're just adding step by step, some amount of noise, and there's this is actually scheduled.
[00:04:35.000 --> 00:04:54.000]   This that is not actually, it's, um, it, you know, like it's not adding a constant amount of noise at a time, it does work that way and so the top images like that they found in this paper that it's actually inefficient that you end up with a lot
[00:04:54.000 --> 00:05:06.000]   of wasted away wasted backwards process backwards diffusion steps that you don't need, and you can cut out a whole bunch of it just by using a cosine schedule.
[00:05:06.000 --> 00:05:11.000]   So the intensity of the noise is modulated by this cosine.
[00:05:11.000 --> 00:05:13.000]   Yeah.
[00:05:13.000 --> 00:05:22.000]   And then I think this is where it gets interesting the reverse diffusion process and I actually learned a little bit about this.
[00:05:22.000 --> 00:05:31.000]   During when I was studying this, because my impression was that the, you know, you sort of like crank in the image.
[00:05:31.000 --> 00:05:47.000]   And it just sort of like progressively refines and refines and refines but that's not actually quite what's happening. And this, this diagram here kind of shows this, and so I want to, we're gonna have to look at the next one to really understand what's
[00:05:47.000 --> 00:05:54.000]   going on here, maybe fully but the, the. If you look on the right, maybe starting on the right.
[00:05:54.000 --> 00:06:02.000]   You see that like the predicted noise every step is actually like you can't really make any sense of it right it's all just noise.
[00:06:02.000 --> 00:06:18.000]   And then the middle column, you have like slightly more, more and more refined picture and then on the left you have this like sort of full noise removed column.
[00:06:18.000 --> 00:06:28.000]   And the weird thing is that like if I look at, for example, on the T equals 40 row.
[00:06:28.000 --> 00:06:33.000]   And then I look at the T was 30 the full noise removed.
[00:06:33.000 --> 00:06:41.000]   That doesn't look like, like the one in the full noise remove column looks a lot more refined than the one in the input at T.
[00:06:41.000 --> 00:06:55.000]   Right. And so like in the 30, you would expect 30, the output at 30 would be more than, like, nicer than the input at 40, and it's actually not the case and the reason is because that's not exactly what's happening right it's not the output
[00:06:55.000 --> 00:07:06.000]   goes into the input, but rather the, the input is only being used to improve the noise estimate that's in the right hand column.
[00:07:06.000 --> 00:07:26.000]   So, so that noise estimate is is added to the noise in the, like, from the, like sort of generated noise is added the right hand column is added to that generated noise to get the left hand column.
[00:07:26.000 --> 00:07:37.000]   So in the in the middle column is only input to the model in order to refine how to generate that is that I hope that I want that thought to make sense.
[00:07:37.000 --> 00:07:50.000]   And I'll switch this page but if anyone wants to ask a question that now would be a good time, because I think, and I try to illuminate a little bit what's happening here.
[00:07:50.000 --> 00:07:56.000]   But I want to. Okay, so I'll if please interrupt if you want to ask about this. It's good so far.
[00:07:56.000 --> 00:07:57.000]   Okay, great.
[00:07:57.000 --> 00:08:18.000]   Um, so, uh, so now what's happening. And this is sort of like a bad illustration of the same concept, but in a different way, so that if you look on the T equals 10 right hand column that's like just random noise that was generated as input into the model.
[00:08:18.000 --> 00:08:21.000]   And then on the right hand column.
