
[00:00:00.000 --> 00:00:06.400]   Welcome back everyone.
[00:00:06.400 --> 00:00:09.760]   This is part 2 in our series on presenting your research.
[00:00:09.760 --> 00:00:11.520]   We're going to be talking about writing
[00:00:11.520 --> 00:00:13.580]   NLP papers and this will hold both for
[00:00:13.580 --> 00:00:18.200]   this course and for papers that you might write in general.
[00:00:18.200 --> 00:00:22.300]   Here's the outline of a typical NLP paper.
[00:00:22.300 --> 00:00:24.820]   This is not required in terms of its structure,
[00:00:24.820 --> 00:00:28.680]   but it is freeing to know that if you follow roughly the structure,
[00:00:28.680 --> 00:00:32.380]   you'll be in line with the norms of the field and your readers and
[00:00:32.380 --> 00:00:34.740]   especially your conference reviewers might
[00:00:34.740 --> 00:00:37.540]   have an easier time navigating the ideas.
[00:00:37.540 --> 00:00:40.900]   We're almost always talking about a four or eight page,
[00:00:40.900 --> 00:00:42.780]   two column paper where
[00:00:42.780 --> 00:00:45.780]   references are not counted toward this page total.
[00:00:45.780 --> 00:00:49.200]   We're thinking about papers that typically have these components.
[00:00:49.200 --> 00:00:50.960]   For an eight pager, you'd have
[00:00:50.960 --> 00:00:54.840]   your opening page with the title and abstract and then the intro.
[00:00:54.840 --> 00:00:58.060]   The intro might dribble onto page 2 and then you're probably going to
[00:00:58.060 --> 00:01:00.120]   have your related work section.
[00:01:00.120 --> 00:01:03.820]   After that, you're going to be starting in on the heart of the paper.
[00:01:03.820 --> 00:01:07.100]   You might introduce your task and the associated data,
[00:01:07.100 --> 00:01:10.880]   then your models, then your methods and results,
[00:01:10.880 --> 00:01:14.220]   which could be a no-nonsense reporting of the results,
[00:01:14.220 --> 00:01:17.340]   close with some analysis and then a very short conclusion.
[00:01:17.340 --> 00:01:18.660]   These aren't very long papers,
[00:01:18.660 --> 00:01:21.180]   so a short conclusion is fine.
[00:01:21.180 --> 00:01:24.220]   For a four pager, which is another common format,
[00:01:24.220 --> 00:01:26.680]   you just compress all of this and you might
[00:01:26.680 --> 00:01:28.740]   hope that you can devote much less space to
[00:01:28.740 --> 00:01:32.300]   related work for the sake of just explaining your own ideas.
[00:01:32.300 --> 00:01:35.100]   But fundamentally, it's the same structure.
[00:01:35.100 --> 00:01:37.500]   In a bit more detail, here are some notes on this.
[00:01:37.500 --> 00:01:40.780]   The intro, in the conventions of NLP papers,
[00:01:40.780 --> 00:01:42.500]   the intro is expected to tell
[00:01:42.500 --> 00:01:45.140]   the full story of the paper at a high level.
[00:01:45.140 --> 00:01:49.580]   Indeed, the abstract tells an even higher level complete story.
[00:01:49.580 --> 00:01:51.440]   The intro is one layer down,
[00:01:51.440 --> 00:01:53.600]   and by the time the reader is done with the intro,
[00:01:53.600 --> 00:01:57.420]   they essentially know exactly what the paper is going to do,
[00:01:57.420 --> 00:01:59.820]   and it's all over but the details.
[00:01:59.820 --> 00:02:02.100]   The intro is a microcosm.
[00:02:02.100 --> 00:02:05.980]   Related work, this is meant to contextualize your work and
[00:02:05.980 --> 00:02:08.460]   provide insights into major relevant themes
[00:02:08.460 --> 00:02:10.140]   of the literature as a whole.
[00:02:10.140 --> 00:02:12.380]   Use each paper or theme as
[00:02:12.380 --> 00:02:15.700]   a chance to articulate what is special about your paper.
[00:02:15.700 --> 00:02:19.100]   I find it helpful to think about this in a templatic format
[00:02:19.100 --> 00:02:21.820]   where each subsection or paragraph of
[00:02:21.820 --> 00:02:23.700]   my related work section is going to raise
[00:02:23.700 --> 00:02:26.600]   some topical issue or question.
[00:02:26.600 --> 00:02:29.760]   Once I've done that as the first sentence of the paragraph,
[00:02:29.760 --> 00:02:31.720]   then I just more or less list out,
[00:02:31.720 --> 00:02:32.980]   maybe with some color,
[00:02:32.980 --> 00:02:36.500]   the individual papers that fall under that topical heading.
[00:02:36.500 --> 00:02:39.620]   Then I close the paragraph with an explanation of how
[00:02:39.620 --> 00:02:43.280]   those ideas relate to the ideas for the current paper.
[00:02:43.280 --> 00:02:44.880]   How the ideas from my paper
[00:02:44.880 --> 00:02:46.860]   complement what's in the literature,
[00:02:46.860 --> 00:02:48.140]   or conflict with it,
[00:02:48.140 --> 00:02:50.580]   or extend it, or whatever else it is,
[00:02:50.580 --> 00:02:53.660]   I try to articulate that so that the whole effect is
[00:02:53.660 --> 00:02:56.460]   to raise some crucial topics for your area,
[00:02:56.460 --> 00:02:59.140]   help the reader understand what those topics are,
[00:02:59.140 --> 00:03:02.000]   and then always explain how the current ideas relate
[00:03:02.000 --> 00:03:05.100]   to that whole messy context.
[00:03:05.100 --> 00:03:07.700]   The related work is a chance to of course cite
[00:03:07.700 --> 00:03:10.500]   everyone so that no one feels upset about being excluded,
[00:03:10.500 --> 00:03:15.420]   but also to contextualize your ideas in this very useful way.
[00:03:15.420 --> 00:03:17.820]   Data. This will likely be
[00:03:17.820 --> 00:03:20.180]   a very detailed section if the datasets are
[00:03:20.180 --> 00:03:21.880]   new or your task is new,
