
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:09.720]   - You've written advice saying,
[00:00:09.720 --> 00:00:12.120]   "Don't get fooled by people who claim
[00:00:12.120 --> 00:00:14.740]   "to have a solution to artificial general intelligence,
[00:00:14.740 --> 00:00:16.120]   "who claim to have an AI system
[00:00:16.120 --> 00:00:18.460]   "that works just like the human brain,
[00:00:18.460 --> 00:00:21.240]   "or who claim to have figured out how the brain works.
[00:00:21.240 --> 00:00:25.140]   "Ask them what the error rate they get
[00:00:25.140 --> 00:00:27.360]   "on MNIST or ImageNet."
[00:00:27.360 --> 00:00:29.640]   - Yeah, this is a little dated, by the way. (laughs)
[00:00:29.640 --> 00:00:32.520]   I mean, five years, who's counting?
[00:00:32.520 --> 00:00:35.120]   Okay, but I think your opinion is still,
[00:00:35.120 --> 00:00:39.160]   MNIST and ImageNet, yes, may be dated,
[00:00:39.160 --> 00:00:40.600]   there may be new benchmarks, right?
[00:00:40.600 --> 00:00:43.600]   But I think that philosophy is one you still
[00:00:43.600 --> 00:00:47.640]   and somewhat hold, that benchmarks
[00:00:47.640 --> 00:00:49.980]   and the practical testing, the practical application
[00:00:49.980 --> 00:00:52.240]   is where you really get to test the ideas.
[00:00:52.240 --> 00:00:54.040]   - Well, it may not be completely practical.
[00:00:54.040 --> 00:00:56.680]   Like, for example, it could be a toy dataset,
[00:00:56.680 --> 00:00:59.080]   but it has to be some sort of task
[00:00:59.080 --> 00:01:01.520]   that the community as a whole has accepted
[00:01:01.520 --> 00:01:04.840]   as some sort of standard kind of benchmark, if you want.
[00:01:04.840 --> 00:01:05.680]   It doesn't need to be real.
[00:01:05.680 --> 00:01:08.520]   So for example, many years ago here at FAIR,
[00:01:08.520 --> 00:01:11.880]   people, Jason West, Antoine Born, and a few others
[00:01:11.880 --> 00:01:15.380]   proposed the Babi tasks, which were kind of a toy problem
[00:01:15.380 --> 00:01:18.560]   to test the ability of machines to reason, actually,
[00:01:18.560 --> 00:01:21.180]   to access working memory and things like this.
[00:01:21.180 --> 00:01:24.360]   And it was very useful, even though it wasn't a real task.
[00:01:24.360 --> 00:01:26.900]   MNIST is kind of halfway a real task.
