
[00:00:00.040 --> 00:00:09.500]   masked
[00:00:09.500 --> 00:00:10.400]   work .
[00:00:10.400 --> 00:00:23.600]   Harley. I, are,,,,,,, targeted
[00:01:22.660 --> 00:01:51.520]   bad
[00:04:45.200 --> 00:04:46.280]   "The federal deficit ballooned at start of new fiscal year up 77% from a year before. The federal budget deficit ballooned rapidly in the first four months of the fiscal year amid falling tax revenue and higher spending," the Treasury Department said Tuesday, posing a new challenge for the White House and Congress as they prepare for a number of budget battles. "The deficit grew 77% in the first four months of fiscal 2019 compared with the same period one year before," Treasury said. "The total deficit for the four-month period is now at a total of $1.5 trillion. The federal budget deficit ballooned at start of new fiscal year up 77% from a year before."
[00:05:07.680 --> 00:05:16.300]  πει: "It's big tax cuts combined with big increases in spending when they already had big deficits," said former Senate Budget Committee chairman Kent Conrad, Democrat from North Dakota. "So guess what? It's craziness." "When Republicans seized control of the House of Representatives during the Obama administration, lawmakers and White House officials embarked on a number of strained negotiations to try and get the budget out of the way. They were not able to get the budget out of the way, but they were able to get the budget out of the way. It was a huge success."
[00:05:16.340 --> 00:05:23.820]   Squad
[00:05:23.820 --> 00:05:26.620]   yes,
[00:05:26.620 --> 00:05:45.700]   case type
[00:05:46.200 --> 00:05:55.920]   as part of the 2017 tax cut law, the tax rate paid by corporations was lowered from 35% to 21%
[00:05:55.920 --> 00:05:59.760]   spending meanwhile increased 9% over the same period
[00:05:59.760 --> 00:06:06.020]   the biggest increases were for defense military programs which saw a 12% increase
[00:06:06.020 --> 00:06:11.220]   and Medicare which saw a 16% increase
[00:06:11.220 --> 00:06:16.060]   the Congressional Budget Office has projected that the deficit this year
[00:06:16.060 --> 00:06:16.060]   the Congressional Budget Office has projected that the deficit this year
[00:06:16.060 --> 00:06:16.060]   the Congressional Budget Office has projected that the deficit this year
[00:06:16.060 --> 00:06:16.060]   the Congressional Budget Office has projected that the deficit this year
[00:06:16.060 --> 00:06:16.060]   the Congressional Budget Office has projected that the deficit this year
[00:06:16.060 --> 00:06:16.060]   the Congressional Budget Office has projected that the deficit this year
[00:06:16.060 --> 00:06:16.060]   the Congressional Budget Office has projected that the deficit this year was
[00:06:16.060 --> 00:06:16.060]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:16.200 --> 00:06:45.940]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:45.940 --> 00:06:45.940]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:45.940 --> 00:06:45.940]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:45.940 --> 00:06:45.940]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:45.940 --> 00:06:45.940]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:45.940 --> 00:06:45.940]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:45.940 --> 00:06:45.940]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:45.940 --> 00:06:45.940]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:45.940 --> 00:06:45.940]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:45.940 --> 00:06:45.940]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:45.940 --> 00:06:45.940]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:45.940 --> 00:06:45.940]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:45.940 --> 00:06:45.940]   the Congressional Budget Office has projected that the deficit this year was the
[00:06:45.960 --> 00:07:15.820]   the Congressional Budget Office has projected that the deficit this year was the
[00:07:15.820 --> 00:07:15.820]   the Congressional Budget Office has projected that the deficit this year was the
[00:07:15.820 --> 00:07:15.820]   the Congressional Budget Office has projected that the deficit this year was the
[00:07:15.820 --> 00:07:15.820]   the Congressional Budget Office has projected that the deficit this year was the
[00:07:15.820 --> 00:07:15.820]   the Congressional Budget Office has projected that the deficit this year was the
[00:07:15.820 --> 00:07:15.820]   the Congressional Budget Office has projected that the deficit this year was the
[00:07:15.820 --> 00:07:15.820]   the Congressional Budget Office has projected that the deficit this year was the
[00:07:15.820 --> 00:07:15.820]   the Congressional Budget Office has projected that the deficit this year was the
[00:07:15.820 --> 00:07:15.820]   the Congressional Budget Office has projected that the deficit this year was the
[00:07:15.820 --> 00:07:15.820]   the Congressional Budget Office has projected that the deficit this year was the
[00:07:15.820 --> 00:07:15.820]   the Congressional Budget Office has projected that the deficit this year was the short run of the short run, so be it.
[00:07:15.820 --> 00:07:15.820]   Cudlow said, "Grow, growth solves the problem, and predicted that the deficit to GDP ratio will come down with growth.
[00:07:15.840 --> 00:07:45.700]   Cudlow said, "Grow, growth solves the problem, and predicted that the deficit to GDP ratio will come down with growth.
[00:07:45.700 --> 00:07:45.700]   Cudlow said, "Grow, growth solves the problem, and predicted that the deficit to GDP ratio will come down with growth.
[00:07:45.700 --> 00:07:45.700]   Cudlow said, "Grow, growth solves the problem, and predicted that the deficit to GDP ratio will come down with growth.
[00:07:45.700 --> 00:07:45.700]   Cudlow said, "Grow, growth solves the problem, and predicted that the deficit to GDP ratio will come down with growth.
[00:07:45.700 --> 00:07:45.700]   Cudlow said, "Grow, growth solves the problem, and predicted that the deficit to GDP ratio will come down with growth.
[00:07:45.700 --> 00:07:45.700]   Cudlow said, "Grow, growth solves the deficit to GDP ratio will come down with growth. Cudlow said, and predicted that the deficit to GDP ratio will come down with growth.
[00:07:45.700 --> 00:07:45.700]  , and predicted that the deficit to GDP ratio will come down with growth to GDP ratio will come down with growth.
[00:07:45.740 --> 00:07:57.400]   deliver
[00:08:44.260 --> 00:08:44.260]   and
[00:09:13.580 --> 00:09:23.340]   had
[00:09:23.340 --> 00:09:38.580]   δεν ahead in
[00:10:08.100 --> 00:10:08.100]   DETRANCE OF THEIR DEBT.
[00:10:42.440 --> 00:11:02.660]   DETRANCE OF THEIR DEBT.
[00:11:02.660 --> 00:11:02.660]   DETRANCE OF THEIR DEBT.
[00:11:02.660 --> 00:11:02.660]   DETRANCE OF THEIR DEBT.
[00:11:02.660 --> 00:11:02.660]   DETRANCE OF THEIR DEBT.
[00:11:02.660 --> 00:11:02.660]   DETRANCE OF THEIR DEBT.
[00:11:02.660 --> 00:11:02.660]   DETRANCE OF THEIR DEBT.
[00:11:02.660 --> 00:11:02.660]   DETRANCE OF THEIR DEBT.
[00:11:02.700 --> 00:11:29.940]  nissee how that is that those conversations or discussions are possible everyone is is basically doubling down on partisanship and I just don't see it I don't see how it could happen and I have lost any confidence that there are is a willingness or even ability to make decisions that are possible in a way that is more likely to be done by the government.
[00:11:29.940 --> 00:11:29.940]   DETRANCE OF THEIR DEBT.
[00:11:29.940 --> 00:11:30.020]   DETRANCE OF THEIR DEBT.
[00:11:30.020 --> 00:11:30.100]   DETRANCE OF THEIR DEBT.
[00:11:30.100 --> 00:11:30.180]   DETRANCE OF THEIR DEBT.
[00:11:30.180 --> 00:11:30.240]   DETRANCE OF THEIR DEBT.
[00:11:30.240 --> 00:11:30.300]   DETRANCE OF THEIR DEBT.
[00:11:30.300 --> 00:11:30.360]   DETRANCE OF THEIR DEBT.
[00:11:30.360 --> 00:11:30.400]   DETRANCE OF THEIR DEBT.
[00:11:30.400 --> 00:11:30.420]   DETRANCE OF THEIR DEBT.
[00:11:30.420 --> 00:11:30.480]   DETRANCE OF THEIR DEBT.
[00:11:30.480 --> 00:11:30.520]   DETRANCE OF THEIR DEBT.
[00:11:30.520 --> 00:11:58.440]   DETRANCE OF THEIR DEBT.
[00:11:58.440 --> 00:11:58.460]   DETRANCE OF THEIR DEBT.
[00:11:58.460 --> 00:11:58.520]   DETRANCE OF THEIR DEBT.
[00:11:58.520 --> 00:11:58.580]   DETRANCE OF THEIR DEBT.
[00:11:58.580 --> 00:11:58.600]   DETRANCE OF THEIR DEBT.
[00:11:58.600 --> 00:11:58.660]   DETRANCE OF THEIR DEBT.
[00:11:58.660 --> 00:11:58.680]   DETRANCE OF THEIR DEBT.
[00:11:58.680 --> 00:11:58.720]   DETRANCE OF THEIR DEBT.
[00:11:58.720 --> 00:11:58.740]   DETRANCE OF THEIR DEBT.
[00:11:58.740 --> 00:11:58.760]   DETRANCE OF THEIRTE DEBT.
[00:11:58.800 --> 00:12:01.740]  幾
[00:12:01.740 --> 00:12:09.860]  頭illah dando
[00:12:09.860 --> 00:12:21.940]   Ce P P P P the first and the, the, the, the, the, the, the, 1, end, Pokémon, 2021, Refer, точки, IN, T, charge, Ad,
[00:12:21.940 --> 00:12:27.420]   head,gon,
[00:12:27.420 --> 00:12:28.800]  ado.
[00:14:59.000 --> 00:14:59.000]   I'm glad I'm doing this now instead of right when it came out, because now we can think about what's happening in the last six months. Riedel, of course, from his biography would tend to be more on the conservative direction of the political spectrum, I'm assuming, from the institutions that he has represented.
[00:14:59.000 --> 00:14:59.000]   ------
[00:14:59.000 --> 00:14:59.000]   ------
[00:14:59.000 --> 00:14:59.000]   ------
[00:14:59.000 --> 00:14:59.000]   ------
[00:14:59.000 --> 00:14:59.000]   ------
[00:14:59.000 --> 00:14:59.000]   ------
[00:14:59.000 --> 00:14:59.000]   ------
[00:14:59.000 --> 00:14:59.000]   ------
[00:14:59.000 --> 00:14:59.000]   ------
[00:14:59.000 --> 00:14:59.000]   ------
[00:14:59.000 --> 00:14:59.000]   ------
[00:14:59.000 --> 00:14:59.000]   ------ Riedel, of course, from his biography would tend to be more on the conservative direction of the political spectrum, I'm assuming, from the institutions that he has represented.
[00:14:59.000 --> 00:14:59.000]   ------ Riedel, of course, from his biography would tend to be more on the conservative direction of the political spectrum, I'm assuming, from the institutions that he has represented.
[00:14:59.040 --> 00:15:10.380]   sonic
[00:15:10.380 --> 00:15:12.860]   as the sper project Maybe I is or discuss, ,,,,,違
[00:15:12.860 --> 00:15:16.960]   12
[00:16:25.500 --> 00:16:35.800]   High
[00:16:35.800 --> 00:16:54.220]   terrible in the over
[00:16:54.460 --> 00:17:03.100]   in
[00:17:03.100 --> 00:17:10.540]   talk,
[00:17:10.540 --> 00:17:24.080]   Rif but four galaxy, and,,,,,,,, my gr love Med Jian with Z keep conoc� lünavil Сейчасait memorizedimated a astrolog Nie實 gig�道 always EVER IT S назв de V IS E. F laundry start the might be allergy Sh familyent . consider the P. .G, Mr. I, .C, ., ., ,, ., ., ., ., ., ., ., ,, ,, ,,,,,,,,, ., ,, .,, .,,,, ,, ., ., ' ., about ., a aud ... de punch and, th lot of the r'm de except an e wait a i't got Raz for atin figure the gotten like a Brian Если mean the carry aOver choir and rolling achei the mean made the Lower El different Veri's cream kind of the small earned the when guy is Bol's Only the hard bonnearte gan Der's no darle Bat low soap and good resistant Fortunatelyications
[00:18:24.260 --> 00:18:33.840]   Let's see what happens with the majorities in the House and Senate and let's watch over the next few years and that will give us some idea of whether or not this kind of.
[00:18:33.840 --> 00:18:43.280]   Political compromise and serious reform is possible we can hope because none of us want to go through a crisis but.
[00:18:43.280 --> 00:18:50.840]   I've stated it clearly I see no path how that happens but I hope that I'm wrong let's discuss the actual data in this report now.
[00:18:50.840 --> 00:18:51.780]   Let's discuss the actual data in this report now.
[00:18:51.780 --> 00:18:51.960]   Let's discuss the actual data in this report now.
[00:18:52.500 --> 00:18:53.000]  ,
[00:18:53.000 --> 00:18:57.000]   , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , . , , . .
[00:18:57.000 --> 00:19:03.000]   Annual budget deficits are projected to soon surpass $1 trillion on their way to $2 trillion or even $3 trillion in 10 to 15 years.
[00:19:03.000 --> 00:19:16.000]   Social Security and Medicare face a combined $100 trillion cash deficit over the next 30 years which is projected to bring a $100 trillion national debt.
[00:19:16.000 --> 00:19:22.000]   At that point interest on that debt would consume 40% of all taxed workers and the rest of the country.
[00:19:22.020 --> 00:19:24.040]   And that's when the interest rates would rise.
[00:19:24.040 --> 00:19:25.040]   And that's when the interest rates would rise.
[00:19:25.040 --> 00:19:26.040]   And that's when the interest rates would rise.
[00:19:26.040 --> 00:19:27.040]   And that's when the interest rates would rise.
[00:19:27.040 --> 00:19:28.040]   And that's when the interest rates would rise.
[00:19:28.040 --> 00:19:29.040]   And that's when the interest rates would rise.
[00:19:29.040 --> 00:19:30.040]   And that's when the interest rates would rise.
[00:19:30.040 --> 00:19:31.040]   Unless reforms are enacted global markets will at some point stop lending to the United States at plausible interest rates.
[00:19:31.040 --> 00:19:32.040]   Unless reforms are enacted global markets will at some point stop lending to the United States at plausible interest rates.
[00:19:32.040 --> 00:19:33.040]   And that's when the interest rates would rise.
[00:19:33.040 --> 00:19:34.040]   Unless reforms are enacted global markets will at some point stop lending to the United States at plausible interest rates.
[00:19:34.040 --> 00:19:34.040]   And that's when the interest rates would rise.
