
[00:00:00.000 --> 00:00:06.000]   [intro music]
[00:00:06.000 --> 00:00:10.000]   This is the season of weddings and many wedding related questions have come into the mailbag
[00:00:10.000 --> 00:00:13.000]   and two interesting ones on wedding rings are related.
[00:00:13.000 --> 00:00:20.000]   Chris writes in to ask this, "As I consider engagement, I have trouble giving in to the idea of spending a large sum of money on a ring.
[00:00:20.000 --> 00:00:25.000]   I have a great desire to do so for my current girlfriend, but a diamond holds no eternal value,
[00:00:25.000 --> 00:00:28.000]   and better things could be done with $3,000.
[00:00:28.000 --> 00:00:33.000]   Is a fancy engagement ring really necessary or is it just something society tells us we need?"
[00:00:33.000 --> 00:00:39.000]   Likewise, Aaron writes in to ask this, "Pastor John, what are your thoughts on diamond rings for engagements?
[00:00:39.000 --> 00:00:43.000]   Is it a poor use of resources to buy even a modest diamond ring?"
[00:00:43.000 --> 00:00:48.000]   So, Pastor John, maybe I can simplify this to two questions about Christian engagement and wedding rings.
[00:00:48.000 --> 00:00:51.000]   Number one, are rings optional or essential?
[00:00:51.000 --> 00:00:55.000]   And number two, are diamonds optional or essential?
[00:00:55.000 --> 00:00:59.000]   Okay, those last two questions are easy.
[00:00:59.000 --> 00:01:01.000]   The bigger picture may not be so easy.
[00:01:01.000 --> 00:01:06.000]   Wedding rings and engagement diamonds are not essential.
[00:01:06.000 --> 00:01:09.000]   They're not essential for engagement. They're not essential for marriage.
[00:01:09.000 --> 00:01:11.000]   They're not essential for love. That's easy.
[00:01:11.000 --> 00:01:19.000]   Both diamonds and engagements and rings for marriage are culturally defined, not biblically mandated.
[00:01:19.000 --> 00:01:21.000]   Okay, we could just stop right there.
[00:01:21.000 --> 00:01:24.000]   I suppose that's not what Chris wants.
[00:01:24.000 --> 00:01:28.000]   I'm sure he wants me to say more than that, and I have lots more to say than that.
[00:01:28.000 --> 00:01:35.000]   So, here goes. Let me try to say something that just might put it in a bigger biblical context.
[00:01:35.000 --> 00:01:38.000]   Yes, you could save money. You could.
[00:01:38.000 --> 00:01:42.000]   And if you built your houses without windows, you'd save money too.
[00:01:42.000 --> 00:01:48.000]   And yards would be more economical if you didn't plant any flowers and just had grass,
[00:01:48.000 --> 00:01:51.000]   or maybe even better, just dirt.
[00:01:51.000 --> 00:01:57.000]   And wedding anniversaries and birthdays and Christmas would be cheaper if you dispensed with gift sharing.
[00:01:57.000 --> 00:02:01.000]   All of these would result in more money going to the poor, to missions,
[00:02:01.000 --> 00:02:05.000]   if you were disciplined enough to calculate it that way.
[00:02:05.000 --> 00:02:09.000]   So, no rings, no diamonds would clearly be cheaper,
[00:02:09.000 --> 00:02:16.000]   and the money would go to perhaps more compassionate uses. True.
[00:02:16.000 --> 00:02:23.000]   So, the question is, are wedding rings and engagement rings warranted expenses?
[00:02:23.000 --> 00:02:27.000]   Are they justifiable in the light of biblical truth?
[00:02:27.000 --> 00:02:29.000]   So, let me start with wedding rings.
[00:02:29.000 --> 00:02:37.000]   I think, culturally, it is wise and good for a husband and a wife to wear a wedding ring for two reasons.
[00:02:37.000 --> 00:02:43.000]   Number one, it sends a signal to everyone you relate to that you're married and therefore committed to a lover
[00:02:43.000 --> 00:02:46.000]   and not available for anyone else.
[00:02:46.000 --> 00:02:51.000]   It's a symbol in our culture, "I am taken. I am not available.
[00:02:51.000 --> 00:02:56.000]   Don't deal with me as a candidate for sex, and don't deal with me as a candidate for marriage."
[00:02:56.000 --> 00:03:04.000]   My ring is a true statement that helps me navigate the cultural waters in wise and faithful ways.
[00:03:04.000 --> 00:03:06.000]   Second reason, I think it's wise.
[00:03:06.000 --> 00:03:14.000]   Our wedding ring is a great reminder to us that we are married and that it is "till death do us part."
[00:03:14.000 --> 00:03:24.000]   It represents a sacred set of vows that we made, which should govern every day of our married lives.
[00:03:24.000 --> 00:03:30.000]   I never take my wedding ring off, ever,
[00:03:30.000 --> 00:03:36.000]   unless some doctor makes me to because I've got to have prostate cancer.
[00:03:36.000 --> 00:03:45.000]   In 45 years, alright, 45 years, my wedding ring has been off my finger less than 24 hours, I think.
[00:03:45.000 --> 00:03:50.000]   Two surgeries, and I fought them, but they won.
[00:03:50.000 --> 00:03:56.000]   They wouldn't let me go into surgery with my ring on, so I got it back on as soon as I came out.
[00:03:56.000 --> 00:04:02.000]   Why? I am Noel Piper's husband, and I want to be known that way.
