
[00:00:00.000 --> 00:00:20.540]   Thanks for coming to my talk. I'm Shitej. I'm one of the co-founders at ORB, and I'm going to be
[00:00:20.540 --> 00:00:26.460]   talking about how to think about pricing. Maybe top-level takeaway from this talk is that pricing
[00:00:26.460 --> 00:00:30.260]   is a deep, complicated topic. We're going to cover some examples. We're going to cover some
[00:00:30.260 --> 00:00:35.020]   tactical advice. But in general, the way you should think about pricing is pricing is a form of friction
[00:00:35.020 --> 00:00:40.480]   for your product. And sometimes that friction can be applied for a very good reason. Sometimes that
[00:00:40.480 --> 00:00:44.680]   friction can just prevent people from using your product. And so you really have to think about the
[00:00:44.680 --> 00:00:49.040]   value your product is delivering, as well as the audience you're delivering it to, and the way that
[00:00:49.040 --> 00:00:53.780]   you're building and innovating in your product to start really thinking about pricing. Just a quick
[00:00:53.780 --> 00:00:58.780]   intro to ORB. ORB is a usage-based billing infrastructure company, so we help companies
[00:00:58.780 --> 00:01:05.220]   at lots of layers of the stack think about pricing and billing. Nowadays, a lot of our conversations
[00:01:05.220 --> 00:01:09.860]   first center around monetization and pricing as a practice, and then we get into the weeds of how do
[00:01:09.860 --> 00:01:19.420]   we actually bill for this stuff. So maybe an intro tweet to start. This is Amjad. He's the CEO and
[00:01:19.420 --> 00:01:24.520]   founder of Replit. Replit is one of ORB's customers. And this is a tweet actually pretty recent, starting
[00:01:24.520 --> 00:01:30.060]   to think about how Replit agent should price itself. And so a pretty short tweet, but a lot of complexity
[00:01:30.060 --> 00:01:35.920]   actually packed in here. Really starting to think about, as you have Replit, which is a very popular
[00:01:35.920 --> 00:01:42.580]   agent that does programming, is starting to build full-stack web apps. How should a company like Replit
[00:01:42.580 --> 00:01:47.740]   price their agent? Should it be like a super simple, every time the agent checkpoints, it charges you a
[00:01:47.740 --> 00:01:53.780]   fixed amount? Or should it start aligning with the complexity of the change it made? And as you can
[00:01:53.780 --> 00:01:57.840]   start thinking through this question, you have to think through considerations like who is Replit built
[00:01:57.840 --> 00:02:03.800]   for, right? What are the costs that Replit incurs? But also just the user experience of if I get charged
[00:02:03.800 --> 00:02:08.720]   some amount at the end of something that this agent has done without me really having control over what
[00:02:08.720 --> 00:02:12.840]   the agent did other than the initial prompt, is that going to be surprising? Is that not going to be
[00:02:12.840 --> 00:02:18.760]   surprising, right? So these considerations apply particularly to agents because the work that the
[00:02:18.760 --> 00:02:23.800]   agent is doing is fairly opaque or can be opaque, but they actually apply at every layer of the stack,
[00:02:23.800 --> 00:02:29.560]   including the kind of infrastructure layer of the AI stack. So monetization as a whole is changing.
[00:02:29.560 --> 00:02:35.320]   Maybe let's start with some kind of traditional principles in pricing and how pricing has always been
[00:02:35.320 --> 00:02:40.080]   thought about, right? So we're maybe coming from way back in the day, you know, you're selling a fixed
