
[00:00:00.000 --> 00:00:19.360]   Hi everyone, my name is Victor Dibia. I'm a principal research software engineer at Microsoft
[00:00:19.360 --> 00:00:25.180]   Research, and my background is mostly around human AI experiences, so that's sort of what
[00:00:25.180 --> 00:00:29.980]   I'm interested in right now. And over the last few years, I've been sort of looking at scenarios
[00:00:29.980 --> 00:00:34.520]   where a human works in tandem with an AI agent to solve problems. And so one of the things
[00:00:34.520 --> 00:00:38.460]   I've worked on at Microsoft Research is GitHub Copilot. So how many of you have used GitHub
[00:00:38.460 --> 00:00:44.640]   Copilot? Excellent. And so I think, in my opinion, it's the first example of an AI model working
[00:00:44.640 --> 00:00:50.360]   at scale, an IDE helping the developer solve a problem. Go ahead, you can switch that. And
[00:00:50.360 --> 00:00:56.920]   beyond that, more recently, I've spent my time working on an open source multi-agent framework,
[00:00:56.920 --> 00:01:01.760]   something called Autogen. How many of you have heard of Autogen? Okay, great. About half
[00:01:01.760 --> 00:01:08.140]   of the room. And as part of that, I've also helped build Autogen Studio, which is a local
[00:01:08.140 --> 00:01:13.620]   developer tool to help build out multi-agent workflows. Previously, I worked at cloud there
[00:01:13.620 --> 00:01:19.840]   as a machine learning engineer. And before that, I worked at IBM Research as a research staff
[00:01:19.840 --> 00:01:26.420]   member focusing on human-computer interaction. Okay, so how did I get into agents? So I'm
[00:01:26.420 --> 00:01:32.780]   just going to give a brief history. And so sometime in, I think, August 2022, so this was about
[00:01:32.780 --> 00:01:39.140]   four months before ChatGP sort of took off. I had worked on a project called LiDAR. And essentially,
[00:01:39.140 --> 00:01:44.460]   what that tool did was that it lets you, in a web user interface, drag in some data, CSV or
[00:01:44.460 --> 00:01:48.860]   JSON file. And it did a few things. So first, it came up with a summarization of the data.
[00:01:48.860 --> 00:01:54.380]   Next, it did things like ask a bunch of questions regarding data. And for each of those questions,
[00:01:54.380 --> 00:02:01.080]   we sort of generated code, executed it, did some processing, error recovery. And then we showed the
[00:02:01.080 --> 00:02:06.940]   user a bunch of visualizations. And so if you sort of look at it, it actually is an agentic workflow.
[00:02:07.680 --> 00:02:13.320]   And that's just quite, quite early in its time. So it had these four main categories, summarization,
[00:02:13.320 --> 00:02:18.980]   goal exploration, visualization, generation, which was essentially a code interpreter sort of built
[00:02:18.980 --> 00:02:23.740]   into the entire system. And then once we got these data visualizations, we did things like use a
[00:02:23.740 --> 00:02:29.800]   decision model to sort of come up with more representations, more sort of diverse representations
[00:02:29.800 --> 00:02:35.740]   of that data set. And so an interesting thing about the system was that the first version used the
[00:02:35.740 --> 00:02:41.340]   DaVinci Codex models. Does anybody remember the OpenAI DaVinci models? That was a really long time
[00:02:41.340 --> 00:02:48.120]   ago. And one of the interesting things was that once I showed it, and the error rate was about 20%. And
[00:02:48.120 --> 00:02:54.280]   then about three months later, there was the GPT 3.5 turbo models. And we sort of tuned that and the
[00:02:54.280 --> 00:03:01.140]   error rate sort of went down to about 1.5%. The key fun fact there was that like, this sort of showed that
[00:03:01.140 --> 00:03:05.380]   this sort of applications were possible. And today, I think you see a lot of these sort of capabilities
[00:03:05.380 --> 00:03:11.380]   across many Microsoft products and products even beyond Microsoft. And so fast forward after that,
[00:03:11.380 --> 00:03:16.860]   a few colleagues started to think about how can we, as opposed to building these handheld workflows,
[00:03:16.860 --> 00:03:21.600]   how can we instead build multi-agent applications where you define agents and the sort of exchange
[00:03:21.600 --> 00:03:27.440]   messages and self-organize to sort of explore problem space. And that's sort of where Autogen sort of came
[00:03:27.440 --> 00:03:32.180]   about. I'd encourage you guys to sort of look through it. It's a framework for building multi-agent
[00:03:32.180 --> 00:03:37.560]   applications. It's pretty well used for the 5k stars. And I think the more interesting thing I did
[00:03:37.560 --> 00:03:44.340]   there was Autogen Studio, which is a kind of a nifty tool. It's a low-code tool again. But in this case,
[00:03:44.340 --> 00:03:49.620]   essentially what happens is that you sort of sign into a web interface. You can then compose multiple
[00:03:49.620 --> 00:03:55.580]   agents. So for example, you create a team, drag in a set of agents into that team. And then for each of
[00:03:55.580 --> 00:04:00.600]   those teams, you have primitives like models, tools, and you can sort of compose them together to sort of
[00:04:00.600 --> 00:04:05.680]   build multi-agent applications. And so when I started to prepare this talk, I think one of the things I
[00:04:05.680 --> 00:04:10.880]   wanted to do was sort of walk you through all of the capabilities of Autogen Studio, how we built it,
