
[00:00:00.040 --> 00:00:09.640]   pid
[00:00:09.640 --> 00:00:10.660]   say the is
[00:00:28.320 --> 00:00:29.780]   say the is
[00:00:29.780 --> 00:00:42.860]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:42.860 --> 00:00:56.220]   To end the show, I'm going to share with you kind of a current report, tell you a little bit about my current thinking and strategy, answer some personal questions with regard to my children's education.
[00:00:56.640 --> 00:01:25.500]   why
[00:02:23.460 --> 00:02:33.560]   era
[00:02:33.560 --> 00:02:53.460]   B M even work,,,,,,product
[00:02:53.500 --> 00:03:03.140]   connect
[00:03:03.140 --> 00:03:10.500]   não was,,, men
[00:04:08.740 --> 00:04:19.940]   and, ,,men
[00:04:19.940 --> 00:04:19.940]   the government school approach is easy because your house or your apartment your dwelling place is located within a geographic school district you will go to the government educational institution of that geographic school institute and they will district and they'll assign you to the local school that fits your districting and then you will just simply take your child there and there was not really going to be much many options for your child to choose from and then you will just simply take your child there and there was not really going to be much many options for your child to choose from and then you will just simply take your child there and there was not really going to be much many options for your child to choose from
[00:06:08.240 --> 00:06:19.960]   and i'll begin with the the formal structure of early child education way back in radical personal finance episode 77 i talked about the value and importance of early childhood education that show was
[00:06:20.000 --> 00:06:28.360]   be
[00:06:28.360 --> 00:06:31.020]   N S won
[00:06:31.020 --> 00:06:31.320]   생각을
[00:06:31.320 --> 00:06:49.540]  .,,,,,,, but I don瓜 gmu stuff'?orc clue clone 0 determine code Big schle butt choreography Gol come A Ch Land And Gh F 這 Qugh, . .L. I, .D, "Just, "My, ., "G, "ot "G, "G, "S. "H, ", ",", ", ", ",", ",, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, in the our "., went proced the unela boring and it's,'m on the cr
[00:09:17.960 --> 00:09:24.940]   hear
[00:09:24.940 --> 00:09:34.000]  這 de. I get pieces
[00:10:44.500 --> 00:10:44.500]   and I think I've come far more over onto the side of
[00:10:44.500 --> 00:10:44.500]   and I think I've come far more over onto the side of
[00:11:13.820 --> 00:11:13.860]   I think I've come far more over onto the side of
[00:11:13.860 --> 00:11:13.920]   I think I've come far more over onto the side of
[00:11:13.920 --> 00:11:13.940]   I think I've come far more over onto the side of
[00:11:42.820 --> 00:11:42.820]   I think I've come far more over onto the side of
[00:11:42.820 --> 00:11:42.820]   I think I've come far more over onto the side of
[00:11:42.820 --> 00:11:42.920]   I think I've come far more over onto the side of the child.
[00:11:42.920 --> 00:11:43.340]   I think I've come far more over onto the side of the child.
[00:11:43.340 --> 00:11:43.400]   I think I've come far more over onto the side of the child.
[00:11:43.400 --> 00:11:43.700]   I think I've come far more over onto the side of the child.
[00:11:43.700 --> 00:11:43.760]   I think I've come far more over onto the side of the child.
[00:11:43.760 --> 00:11:43.820]   I think I've come far more over onto the side of the child.
[00:11:43.820 --> 00:11:43.920]   I think I've come far more over onto the side of the child.
[00:11:43.920 --> 00:11:43.980]   I think I've come far more over onto the side of the child.
