
[00:00:00.000 --> 00:00:05.400]   Very well, also, so I, and I think, um.
[00:00:05.400 --> 00:00:18.360]   You went over the, like this plot last time, or was it 2 weeks ago? I can't remember where, you know, like, basically summarize this kind of summarize what you just said, which is that, like, they're really just.
[00:00:18.360 --> 00:00:31.440]   Um, really doing better than the competition for the number of flops that you spend and like, you know, this is another way of saying that with this, um, scaling curve. Um, so.
[00:00:31.440 --> 00:00:37.980]   So, then, um, why the question, of course, is why does it.
[00:00:37.980 --> 00:00:46.860]   Do so much better and this technical report is about how they accomplish this and a little bit about why I, I found that, um.
[00:00:46.860 --> 00:01:01.200]   I think there's a lot of implicit knowledge for people who, um, like follow optimization, um, that I didn't have. So I kind of dug in a little bit deep on some of the, uh, some of the details here.
[00:01:01.200 --> 00:01:15.360]   Um, um, I, the questions that I had, maybe not the same questions that other people have. So I, I want to make sure that, um, I'm answering other people's questions. So, um, I'm not keeping an eye
[00:01:15.360 --> 00:01:33.360]   I'm not keeping an eye on the chat, but if you please, like, interrupt and whatever. If you, um, if you, if you have other questions or I explain something poorly or I get something wrong, they definitely could, because this material is not super familiar to me, so I may have misunderstood something or get a detail wrong or whatever. Um.
[00:01:33.360 --> 00:01:51.360]   Um, okay. So without further ado. Um, so the point of this page, so there were some early results with one that were really promising, but that the performance of it, the optimization
[00:01:51.360 --> 00:02:09.360]   um, diminished, um, as, um, as the models scaled. And so this was this technical report was okay, but we can do some tweaks and, um, and actually scale to large models. Um, and so, um, but I think
[00:02:09.360 --> 00:02:17.360]   I think a lot of the meat is actually in understanding what's going on here is actually in just understanding the one, um, itself. Um.
[00:02:17.360 --> 00:02:31.360]   Which I think was, I don't know that there's actually a paper on it. I think there's a blog post on it. Um, and it's a, you know, a sort of evolution of optimization technique called shampoo, um, which I have not studied.
[00:02:31.360 --> 00:02:49.360]   And then Adam, uh, is also, um, you know, one of the dominant, uh, optimizers. And so, like, and if, in case you're like really new, um, these are all optimizers that, so you're doing, um, back propagation to train your neural network.
[00:02:49.360 --> 00:03:00.360]   And, um, when you do, every time you do a forward pass, then you have some, some loss, meaning the error between what you predicted with the neural network predicted and what it should be.
[00:03:00.360 --> 00:03:23.360]   And then that loss is used to, to calculate a gradient on the parameters of the neural network so that I know, okay, in order to get closer to where I'm supposed to be, then what's the difference between what I, what the parameter values that I have set currently and what they should have been to do better.
[00:03:23.360 --> 00:03:29.360]   And, and so I do this a whole bunch of times with different data, um, chunks of my data, different batches of data.
[00:03:29.360 --> 00:03:38.360]   And then eventually like that sort of causes what's called the scope stochastic gradient descent towards the, you know, sort of optimal setting of those parameters.
[00:03:38.360 --> 00:03:51.360]   And of course, this is like not the convex problem. So meaning that, that like when I'm doing gradient descent, when I'm going down the hill, um, I might get in like a little local valley and get stuck there.
[00:03:51.360 --> 00:03:55.360]   But, um, so some of, some of the techniques that we'll talk about are to avoid that.
[00:03:55.360 --> 00:04:08.360]   Um, uh, so, okay. That's my like really high level introduction, uh, sort of what this algorithm does in terms of the sort of ecosystem of, uh, neural network stuff.
[00:04:08.360 --> 00:04:13.360]   Um, okay. So, um, um, so quick, quick, quick, quick note.
[00:04:13.360 --> 00:04:17.360]   So I'm God has joined your second cohost. He's enjoying, sorry. I had trouble giving him zoom link.
[00:04:17.360 --> 00:04:23.360]   Um, so he'll, he'll help with presentation, I guess on the background of optimizer.
[00:04:23.360 --> 00:04:31.360]   So like you mentioned, there was regular gradient descent, which is you do all parameters kind of what's the change and update in general.
[00:04:31.360 --> 00:04:38.360]   Then the kind of iteration loop for people that haven't really followed is like from there, we went to adaptive per parameter.
[00:04:38.360 --> 00:04:45.360]   So like at a grad RSM prop where like, okay, for specific parameters, maybe we change them differently than the whole network.
[00:04:45.360 --> 00:04:50.360]   Then Adam had this, like the Adam optimizer was pretty big in like 2014.
[00:04:50.360 --> 00:04:53.360]   That was like, okay, let's, let's have this concept of momentum, right?
[00:04:53.360 --> 00:04:58.360]   If we're moving in the right direction, it's like gradually increase and have adaptive scaling.
[00:04:58.360 --> 00:05:03.360]   Adam w was like, okay, we like momentum, but let's separate weight decay.
[00:05:03.360 --> 00:05:07.360]   Cause we, we want weight decay from gradient step to be separate.
[00:05:07.360 --> 00:05:18.360]   Uh, then from there is, you know, where we have stuff like this and this stuff, like no one has really scaled it, but that's like the little bit of middle ground.
[00:05:18.360 --> 00:05:19.360]   Yeah.
[00:05:19.360 --> 00:05:23.360]   Okay. Yeah. Good. Thank you for that.
[00:05:23.360 --> 00:05:26.360]   Um, uh, okay. So, um, let's see.
[00:05:26.360 --> 00:05:46.360]   So the, the, um, so this, you know, like Vivo was just saying, you know, weight decay here, um, you know, you know, is important, but, um, uh, they, they, you know, sort of created a technique to set that.
[00:05:46.360 --> 00:05:50.360]   The weight decay relevant parameter, um, automatically.
[00:05:50.360 --> 00:05:53.360]   And so that, so that's one of the things here.
[00:05:53.360 --> 00:05:59.360]   Um, um, um, um, they talk about like a distributed version that works.
[00:05:59.360 --> 00:06:00.360]   Oops. Sorry.
[00:06:00.360 --> 00:06:02.360]   Uh, let me undo that.
[00:06:02.360 --> 00:06:10.360]   Um, um, that, that works with, with zero, meaning the, um, zero is what is zero stand for again?
[00:06:10.360 --> 00:06:13.360]   Uh, uh, uh, Vivo, you help me?
[00:06:13.360 --> 00:06:22.360]   Um, it's, so zero is like, you know, sort of like fully, uh, parallelized across multiple dimension.
[00:06:22.360 --> 00:06:25.360]   Um, training, um, multi GPU and stuff.
