
[00:00:00.000 --> 00:00:08.000]   [Silence]
[00:00:08.000 --> 00:00:13.000]   My name is Mark Zakevich. I'm one of the pastors at Grace Church and a seminary professor.
[00:00:13.000 --> 00:00:17.000]   And so it's a delight to be here with you this morning, kicking us off with a little devotional.
[00:00:17.000 --> 00:00:21.000]   But before we do that, do you mind if I pray as we start our day?
[00:00:21.000 --> 00:00:25.000]   And then we'll go into Acts chapter 17 for a few minutes.
[00:00:25.000 --> 00:00:28.000]   Lord God, we thank you for another day.
[00:00:28.000 --> 00:00:32.000]   And help us to remember that every single day is a blessing and a gift.
[00:00:32.000 --> 00:00:38.000]   And we are responsible to steward the hours that you give us every single day to the honor of your name,
[00:00:38.000 --> 00:00:42.000]   within the professions and the callings that you have given us.
[00:00:42.000 --> 00:00:47.000]   As we think about this day and this entire weekend, we do entrust it to you,
[00:00:47.000 --> 00:00:53.000]   asking that you would encourage every single person here to be faithful in the place that they find themselves in,
[00:00:53.000 --> 00:00:56.000]   both personally and professionally.
[00:00:56.000 --> 00:01:01.000]   And as they look back on their lives, that they would confidently say,
[00:01:01.000 --> 00:01:04.000]   "It was lived to the honor of your name."
[00:01:04.000 --> 00:01:09.000]   And this morning, as we think about Paul in Athens,
[00:01:09.000 --> 00:01:14.000]   Acts chapter 17, help us to be refreshed by the thought of your sovereignty.
[00:01:14.000 --> 00:01:19.000]   We pray this to the honor of your name. Amen.
[00:01:19.000 --> 00:01:25.000]   Well, this is what I'd like to talk about this morning, as I said in my prayer.
[00:01:25.000 --> 00:01:29.000]   Paul in the book of Acts, in Acts chapter 17.
[00:01:29.000 --> 00:01:34.000]   And I'll have the passage on the screen for us, to kind of get us going devotionally,
[00:01:34.000 --> 00:01:38.000]   so you don't have to look at your Bibles, but you're welcome to, if that's your preference.
[00:01:38.000 --> 00:01:41.000]   And as I begin, there is a man by the name of Samuel Rutherford,
[00:01:41.000 --> 00:01:45.000]   I think some of you may know and maybe even read some of his works,
[00:01:45.000 --> 00:01:49.000]   who's a very famous pastor in Scotland in the 1600s.
[00:01:49.000 --> 00:01:52.000]   He was a pastor, but also a professor.
[00:01:52.000 --> 00:01:58.000]   He wrote many letters, many sermons, many books, devotional and academic works.
[00:01:58.000 --> 00:02:00.000]   He was a graduate of the University of Edinburgh,
[00:02:00.000 --> 00:02:03.000]   where he was asked to become a professor, but declined.
[00:02:03.000 --> 00:02:07.000]   And then he was given a professorship offer at the University of Utrecht,
[00:02:07.000 --> 00:02:10.000]   and even Holland, and also declined.
[00:02:10.000 --> 00:02:15.000]   Ultimately, he became a pastor and a professor at the University of St. Andrews in Scotland,
[00:02:15.000 --> 00:02:20.000]   then shortly after becoming director of that university.
[00:02:20.000 --> 00:02:26.000]   He became one of the four commissioners sent to the Westminster Assembly from Scotland.
[00:02:26.000 --> 00:02:29.000]   So now that gives us an understanding of who he was.
[00:02:29.000 --> 00:02:35.000]   A significant, influential, spiritual leader in Scotland in the 1600s.
[00:02:35.000 --> 00:02:42.000]   And it was said of him, and I quote, "He was always praying, preaching, visiting the sick,
[00:02:42.000 --> 00:02:47.000]   catechizing, always writing, and always studying."
[00:02:47.000 --> 00:02:52.000]   And he wrote letters to his congregants, encouraging them as they wrote,
[00:02:52.000 --> 00:02:56.000]   asking questions on how do you live the Christian life.
[00:02:56.000 --> 00:03:03.000]   And this is what he wrote to a woman that was struggling in embracing God's providence in her life.
[00:03:03.000 --> 00:03:05.000]   And this is what he wrote to her.
[00:03:05.000 --> 00:03:11.000]   "The great master gardener, the father of our Lord Jesus Christ in a wonderful providence,
[00:03:11.000 --> 00:03:18.000]   with his own hand planted me there, whereby his grace in this part of the vineyard I grow.
[00:03:18.000 --> 00:03:24.000]   I dare not say, but Satan and the world," one of his pages whom he sends on his errands,
[00:03:24.000 --> 00:03:26.000]   "have said otherwise.
[00:03:26.000 --> 00:03:33.000]   And here I will abide till the great master of the vineyard think fit to transplant me.
[00:03:33.000 --> 00:03:39.000]   But when he sees meat to loose me at the root, and to plant me where I may be more useful,
[00:03:39.000 --> 00:03:47.000]   both as to fruit and shadow, and when he who planted pulleth up that he may transplant,
[00:03:47.000 --> 00:03:53.000]   who dare put to their hand and hinder?"
[00:03:53.000 --> 00:04:01.000]   It's a wonderful reminder that where you find yourself in life is exactly where God wants you.
[00:04:01.000 --> 00:04:04.000]   I have no idea what's happening in your life right now.
[00:04:04.000 --> 00:04:07.000]   Maybe you're at the peak of your career, maybe you're just starting,
[00:04:07.000 --> 00:04:11.000]   or maybe you're going through the most difficult season of your career.
[00:04:11.000 --> 00:04:15.000]   And that can apply to a personal life, or perhaps to your spiritual life.
[00:04:15.000 --> 00:04:20.000]   But whatever's happening now, we're not faulting God for the problems in our lives,
[00:04:20.000 --> 00:04:27.000]   but we are trusting that God has us exactly where he wants us.
[00:04:27.000 --> 00:04:34.000]   And if we trust that kind of a theology, then life becomes a bit more enjoyable,
[00:04:34.000 --> 00:04:39.000]   and I think our stewardship becomes a bit more fruitful.
[00:04:39.000 --> 00:04:44.000]   Because instead of pushing back and praying against God's providence, we embrace it.
[00:04:44.000 --> 00:04:50.000]   I think that's Samuel Rutherford's intent in encouraging this woman
[00:04:50.000 --> 00:04:55.000]   to embrace whatever God has given to her in this season of her life.
[00:04:55.000 --> 00:05:05.000]   Now as we think about providence, our pastor, Pastor John, has defined worship as reflecting God's providence.
[00:05:05.000 --> 00:05:08.000]   So I'm trying to make a link for us between worship and providence.
[00:05:08.000 --> 00:05:13.000]   And if you read the book of the Psalms, you know that the Psalter frequently does that.
[00:05:13.000 --> 00:05:22.000]   His worship is in response to his reflections and meditation on the providence of God in his life or in the universe.
[00:05:22.000 --> 00:05:29.000]   And so as he trusts God's sovereignty and embraces it, he responds in worship.
[00:05:29.000 --> 00:05:35.000]   So as we look at Acts chapter 17, we know the story a little bit contextually.
[00:05:35.000 --> 00:05:38.000]   In chapter 16, Paul is chased out of Philippi.
[00:05:38.000 --> 00:05:43.000]   Chapter 17 opens up with Paul being chased out of Thessalonica and Berea,
[00:05:43.000 --> 00:05:47.000]   and so he finally makes his way to Athens.
[00:05:47.000 --> 00:05:52.000]   And as he lands in Athens, he ends up on what we call the Areopagus,
[00:05:52.000 --> 00:06:00.000]   a place where all the philosophers were theologizing about the different deities that they were worshiping in their pantheon.
[00:06:00.000 --> 00:06:03.000]   And so Paul finds an altar to the unknown God.
[00:06:03.000 --> 00:06:10.000]   This is the actual altar to the unknown God, a picture from Rome, one of the museums in Rome.
[00:06:10.000 --> 00:06:20.000]   And as he enters that arena, he is trying to find a way in, an on-ramp, into evangelism.
[00:06:20.000 --> 00:06:25.000]   How do we speak to these individuals about the unknown God?
[00:06:25.000 --> 00:06:35.000]   And so this is what he does, and I'm going to read for us this passage beginning in verse 22 to kind of get our hearts set.
[00:06:35.000 --> 00:06:43.000]   So Paul stood in the middle of the Areopagus and said, "Men of Athens, I observe that you are very religious in all respects.
[00:06:43.000 --> 00:06:51.000]   For while I was passing through and examining the objects of your worship, I also found an altar with this inscription to an unknown God.
[00:06:51.000 --> 00:06:55.000]   Therefore, what you worship in ignorance, this I proclaim to you.
[00:06:55.000 --> 00:06:59.000]   The God who made the world and all things in it, since he is Lord of heaven and earth,
[00:06:59.000 --> 00:07:05.000]   doesn't dwell in temples made with hands, nor is he served by human hands as though he needed anything,
[00:07:05.000 --> 00:07:10.000]   since he himself gives life to all people and breath and all things.
[00:07:10.000 --> 00:07:16.000]   And he made from one man every nation of mankind to inhabit all the face of the earth,
[00:07:16.000 --> 00:07:20.000]   having determined their appointed times and the boundaries of their habitation.
[00:07:20.000 --> 00:07:27.000]   That they would see God, if perhaps they might grope for him and find him, though he's not far from each one of us.
[00:07:27.000 --> 00:07:30.000]   For in him will live and move and exist.
[00:07:30.000 --> 00:07:36.000]   Even as some of your own poets have said, "For we are all also his offspring."
[00:07:36.000 --> 00:07:41.000]   Being then the offspring of God, we ought not to suppose that the divine nature is like gold or silver or stone,
[00:07:41.000 --> 00:07:45.000]   an image formed by the craft and thought of man.
[00:07:45.000 --> 00:07:52.000]   Therefore, having overlooked the times of ignorance, God is now commanding men that everyone everywhere should repent,
[00:07:52.000 --> 00:07:58.000]   because he has fixed a day in which he will judge the world in righteousness.
[00:07:58.000 --> 00:08:07.000]   In righteousness through a man whom he had determined, having furnished proof to all by raising him from the dead.
[00:08:07.000 --> 00:08:15.000]   So you can imagine Paul not attacking their religions, not criticizing, not mocking,
[00:08:15.000 --> 00:08:20.000]   but finding a connection by saying, "You're very religious."
[00:08:20.000 --> 00:08:26.000]   Thereby understanding that God made every single person to be a worshiper.
[00:08:26.000 --> 00:08:32.000]   Now they are worshiping the wrong things and we know that, but Paul's approach to evangelism is to say,
[00:08:32.000 --> 00:08:40.000]   "I recognize that deep down you are a worshiper and I'm going to appeal to that desire, but I need to redirect it."
[00:08:40.000 --> 00:08:46.000]   As you find yourselves in your professional environments, I hope this gives us an example on how to evangelize.
[00:08:46.000 --> 00:08:56.000]   Sometimes we are so aggressive in our love for Christ, so committed, that sometimes we come across as a little bit hostile.
[00:08:56.000 --> 00:08:59.000]   Let's be honest about it, especially when we just get saved, right?
[00:08:59.000 --> 00:09:07.000]   We're so zealous that everything is important all the time and we have to make sure that the person believes everything in the Bible immediately.
[00:09:07.000 --> 00:09:09.000]   I've been there, trust me on that.
[00:09:09.000 --> 00:09:15.000]   I remember for the first time believing in the sovereignty of God and I was going to take on the entire Russian Baptist Union,
[00:09:15.000 --> 00:09:18.000]   all the pastors who were Armenians.
[00:09:18.000 --> 00:09:22.000]   I had my stack of sovereignty of God books and I was ready to battle anybody.
[00:09:22.000 --> 00:09:25.000]   I was 18, I knew everything.
[00:09:25.000 --> 00:09:27.000]   I remember that year.
[00:09:27.000 --> 00:09:30.000]   I'm so glad nobody took me on.
[00:09:30.000 --> 00:09:34.000]   But I think we sometimes evangelize that way and I have as well.
[00:09:34.000 --> 00:09:43.000]   And then we look at Paul and Paul says, "Hey, there is something inherently embedded by God in each person to worship."
[00:09:43.000 --> 00:09:47.000]   You just don't need to worship the right God.
[00:09:47.000 --> 00:09:56.000]   Because our understanding of God will ultimately frame our entire life.
[00:09:56.000 --> 00:10:04.000]   It was Tozer who said, "What comes into our minds when we think about God is the most important thing about us.
[00:10:04.000 --> 00:10:10.000]   The history of mankind will probably show that no people has ever risen above its religion.
[00:10:10.000 --> 00:10:18.000]   And man's spiritual history will positively demonstrate that no religion has ever been greater than its idea of God.
[00:10:18.000 --> 00:10:24.000]   Worship is pure or base as the worshiper entertains high or low thoughts of God.
[00:10:24.000 --> 00:10:30.000]   For this reason, the gravest question before the church is always God himself.
