
[00:00:00.000 --> 00:00:18.780]   yeah well thank you guys so much for having me it's exciting to be back it's uh I was last here
[00:00:18.780 --> 00:00:24.720]   at AI engineer one year ago it's kind of crazy I've always been I've been telling Swix that we
[00:00:24.720 --> 00:00:28.020]   need to have these conferences way more often if it's going to be about AI software engineering
[00:00:28.020 --> 00:00:31.380]   probably should be like every two months or something like that with the pace of everything's
[00:00:31.380 --> 00:00:36.300]   done but but but it's gonna be fun to to talk a little bit about you know what we've seen in the
[00:00:36.300 --> 00:00:44.220]   space and and what we've learned over the last 12 or 18 months building Devon over this time and I
[00:00:44.220 --> 00:00:50.520]   want to start this off with Moore's law for AI agents and so you can kind of think of the the
[00:00:50.520 --> 00:00:58.380]   the capability or the capacity of an AI by how much work it can do uninterrupted until you have
[00:00:58.380 --> 00:01:04.380]   to come in and step in and intervene or steer it or whatever it is right and you know in GPT-3 for
[00:01:04.380 --> 00:01:08.940]   example it's if you were to go and ask GPT-3 to do something you know you could probably get through a
[00:01:08.940 --> 00:01:13.140]   few words or so and then it'll say something where it's like okay you know this is probably not the
[00:01:13.140 --> 00:01:19.080]   right thing to say hey and GPT-3.5 was better and GPT-4 was better right and and so people talk
[00:01:19.080 --> 00:01:23.700]   about these lengths of tasks and what you see in general is that that doubling time is about every
[00:01:23.700 --> 00:01:30.660]   seven months which already is pretty crazy actually but in code it's actually even faster it's every 70
[00:01:30.660 --> 00:01:36.300]   days which is two or three months and so you know if you look at various software engineering tasks that
[00:01:36.300 --> 00:01:42.540]   start from the simplest single functions or single lines and you go all the way to you know we're doing
[00:01:42.540 --> 00:01:48.300]   tasks now that take hours of humans time and and an AI agent is able to just do all of that right
[00:01:48.300 --> 00:01:54.380]   and if you think about doubling every 70 days I mean basically you know every two to three months means
[00:01:54.380 --> 00:02:00.460]   you get four to six doublings every year which means that the amount of work that an AI agent can do
[00:02:00.460 --> 00:02:07.660]   in code goes something between 16 and 64x in a year every year at least for the last couple years that
[00:02:07.660 --> 00:02:13.100]   we've seen um and it's kind of crazy to think about but but that sounds about right actually for for what
[00:02:13.100 --> 00:02:18.780]   we've seen you know 18 months ago I would say the only really the only product experience that had pmf
[00:02:18.780 --> 00:02:24.940]   in code was just tab completion right it was just like here's what I have so far predict the next line
[00:02:24.940 --> 00:02:30.380]   for me that was kind of all you really could do um in a way that really worked and we've gone from
[00:02:30.380 --> 00:02:35.580]   that obviously to full AI engineer that goes and just does does does all these tasks for you right
[00:02:35.580 --> 00:02:42.380]   and implements a ton of these things and people ask all the time what is the um you know what what
[00:02:42.380 --> 00:02:46.940]   what is the the future interface or what is the right way to do this or what are the most important
[00:02:46.940 --> 00:02:51.100]   capabilities to solve for and I think funnily enough the answer to all these questions actually is
[00:02:51.100 --> 00:02:57.660]   it changes every two or three months like every time you get to the next tier the the the bottleneck
[00:02:57.660 --> 00:03:01.020]   that you're running into or the most important capability or the right way you should be
[00:03:01.020 --> 00:03:07.660]   interfacing with it like all these actually change at each point and so I wanted to talk a bit about
[00:03:07.660 --> 00:03:15.020]   some of the the those tiers for us over the last year or so um and you know over the course of that
[00:03:15.020 --> 00:03:19.820]   time obviously you know when we got started um in the end of 2023 obviously agents were not even a
[00:03:19.820 --> 00:03:23.980]   concept um and now everyone has you know everyone's talking about coding agents people are doing more and
[00:03:23.980 --> 00:03:28.940]   more and more and more uh and it's very cool to see um and and each of these has kind of been almost a
[00:03:28.940 --> 00:03:35.420]   discrete tier for us um and so right right around a year ago when we were doing the last ai engineer
[00:03:35.420 --> 00:03:40.780]   talk actually um the the biggest use case that we really saw that that was getting broad adoption was
[00:03:40.780 --> 00:03:46.620]   what i'll kind of call these repetitive migrations and so i'm talking like javascript to typescript
[00:03:46.620 --> 00:03:52.220]   or like upgrading your angular version from this one to that one or going from this java version to that java
[00:03:52.220 --> 00:03:58.220]   version or something like that um and those those kinds of tasks in particular what you typically
[00:03:58.220 --> 00:04:05.580]   see is you are you you have some massive code base that you want to apply this whole migration for
[00:04:05.580 --> 00:04:10.300]   you have to go file by file and do every single one and usually the set of steps is pretty clear
[00:04:10.300 --> 00:04:14.060]   right if you go to the angular website or something like that it'll tell you all right here's what you
[00:04:14.060 --> 00:04:20.220]   have to do this this this this this and um you want to go and execute each of these steps it's not so
[00:04:20.220 --> 00:04:25.180]   routine that there you know there's no classical deterministic program that solves that but there's
[00:04:25.180 --> 00:04:29.820]   kind of a clear set of steps and if you can follow those steps very well then you can do the task and
[00:04:29.820 --> 00:04:35.020]   you know this was the thing for us because that was all you could really trust agents to do at the time
[00:04:35.020 --> 00:04:39.020]   you know you could do harder things once in a while and you could do some really cool stuff occasionally
[00:04:39.020 --> 00:04:43.500]   but as far as something that was consistent enough that you could do it over and over and over
[00:04:44.300 --> 00:04:48.540]   these kinds of like repetitive migrations that you would be doing for you know 10 000 files
[00:04:48.540 --> 00:04:53.340]   were you know in many ways the the easiest thing which was cool actually because
[00:04:53.340 --> 00:04:59.100]   it was also kind of the the most annoying thing for humans to do and i think that's generally been
