
[00:00:00.000 --> 00:00:03.200]   (bright music)
[00:00:03.200 --> 00:00:05.800]   This year at AI Ascent,
[00:00:05.800 --> 00:00:07.840]   we are doing a few things differently.
[00:00:07.840 --> 00:00:11.280]   One of those things is the what's next section
[00:00:11.280 --> 00:00:14.080]   that we talked about, these visionary ideas.
[00:00:14.080 --> 00:00:17.540]   Another is the what's now that Sonia has been talking about,
[00:00:17.540 --> 00:00:19.920]   about how are people taking things in AI
[00:00:19.920 --> 00:00:21.760]   and implementing them.
[00:00:21.760 --> 00:00:23.960]   As part of this, we don't just have
[00:00:23.960 --> 00:00:27.680]   the amazing foundation model CEOs like Sam,
[00:00:27.680 --> 00:00:29.800]   and Arthur, and Daniela.
[00:00:29.800 --> 00:00:33.280]   We've also brought in two exceptional leaders
[00:00:33.280 --> 00:00:35.440]   in the space of taking AI
[00:00:35.440 --> 00:00:38.000]   and making it enterprise-ready at scale.
[00:00:38.000 --> 00:00:39.800]   One of those is CJ.
[00:00:39.800 --> 00:00:45.240]   CJ has been the president and COO of ServiceNow
[00:00:45.240 --> 00:00:48.420]   for the past seven years.
[00:00:48.420 --> 00:00:52.340]   And in addition to ServiceNow being a Sequoia-backed company
[00:00:52.340 --> 00:00:54.080]   for over a decade,
[00:00:54.080 --> 00:00:56.840]   ServiceNow is in an exceptional business.
[00:00:56.840 --> 00:00:58.360]   It's the kind of business anyone in this room
[00:00:58.360 --> 00:00:59.820]   should aspire to be like.
[00:00:59.820 --> 00:01:03.840]   Pat, I believe sourced the business in 2012.
[00:01:03.840 --> 00:01:04.680]   Is that right?
[00:01:04.680 --> 00:01:07.000]   2009.
[00:01:07.000 --> 00:01:09.460]   And what was the scale of the business then, Pat?
[00:01:09.460 --> 00:01:11.500]   20 what?
[00:01:11.500 --> 00:01:14.160]   Million of ARR.
[00:01:14.160 --> 00:01:15.280]   Okay.
[00:01:15.280 --> 00:01:17.980]   Anyone have a guess as to where ServiceNow is now
[00:01:17.980 --> 00:01:18.820]   in terms of ARR?
[00:01:18.820 --> 00:01:22.880]   Andy, I feel like you know this.
[00:01:22.880 --> 00:01:26.100]   Billion?
[00:01:26.100 --> 00:01:27.220]   One more guess.
[00:01:28.280 --> 00:01:29.120]   20 billion?
[00:01:29.120 --> 00:01:29.940]   Okay.
[00:01:29.940 --> 00:01:34.880]   Somewhere in that range is correct.
[00:01:34.880 --> 00:01:38.360]   So ServiceNow is the third largest
[00:01:38.360 --> 00:01:40.760]   software-as-a-service company in the world.
[00:01:40.760 --> 00:01:45.180]   It has a market cap of $155 billion.
[00:01:45.180 --> 00:01:49.340]   It is about to cross 10 billion of ARR.
[00:01:49.340 --> 00:01:52.360]   It's at 9.75 billion of ARR.
[00:01:52.360 --> 00:01:57.000]   Remarkably, when you took over as president and COO
[00:01:57.000 --> 00:01:59.880]   seven years ago, it was at a billion of ARR.
[00:01:59.880 --> 00:02:01.800]   So it's 10x growth.
[00:02:01.800 --> 00:02:04.480]   And it was 13 billion of market cap.
[00:02:04.480 --> 00:02:08.020]   So it's been a 12 plus X multiple from there.
[00:02:08.020 --> 00:02:13.480]   It's adding 600 million of ARR a quarter.
[00:02:13.480 --> 00:02:16.160]   So let that be something to aspire to.
[00:02:16.160 --> 00:02:19.200]   And I mentioned it's the third largest
[00:02:19.200 --> 00:02:20.860]   SaaS company in the world.
[00:02:20.860 --> 00:02:25.000]   Well, number one is growing at 11% a year.
[00:02:25.000 --> 00:02:28.360]   Number two is growing at 12% a year.
[00:02:28.360 --> 00:02:31.900]   And ServiceNow is growing at 26% a year.
[00:02:31.900 --> 00:02:37.480]   So we all are good at math that ranking
[00:02:37.480 --> 00:02:39.440]   doesn't last very long with that kind of growth.
[00:02:39.440 --> 00:02:44.360]   And CJ told me virtually all of this has been organic.
[00:02:44.360 --> 00:02:46.520]   They've made some acquisitions like Element AI.
[00:02:46.520 --> 00:02:47.880]   We'll talk about that in a little bit.
[00:02:47.880 --> 00:02:50.240]   They've been very ahead of the curve on AI.
[00:02:50.240 --> 00:02:52.520]   But really it's been organic.
[00:02:53.640 --> 00:02:55.400]   It's called ServiceNow,
[00:02:55.400 --> 00:02:58.200]   but it does not have services margins.
[00:02:58.200 --> 00:03:01.600]   This is an 82% gross margin business.
[00:03:01.600 --> 00:03:04.680]   The free cash flow is 30%.
[00:03:04.680 --> 00:03:06.680]   Operating income, 27%.
[00:03:06.680 --> 00:03:11.440]   This is a rule of 56 business on the rule of 40 terms.
[00:03:11.440 --> 00:03:15.480]   And since IPO, since Pat sourced it in '07,
[00:03:15.480 --> 00:03:16.840]   I don't know what kind of multiple it's had.
[00:03:16.840 --> 00:03:18.480]   What was the valuation then, Pat?
[00:03:18.480 --> 00:03:21.100]   What it would be invested?
[00:03:22.400 --> 00:03:23.840]   260 million posts.
[00:03:23.840 --> 00:03:25.560]   That's pretty good from 260 million posts
[00:03:25.560 --> 00:03:28.200]   to 155 billion, nicely done.
[00:03:28.200 --> 00:03:32.560]   Since IPO, it's been up 42 times, 42X returns.
[00:03:32.560 --> 00:03:33.840]   So an exceptional story,
[00:03:33.840 --> 00:03:36.240]   and one that I think is both grounding
[00:03:36.240 --> 00:03:38.980]   and also aspirational for everyone in this room.
[00:03:38.980 --> 00:03:43.200]   One of the main reasons why we were so excited
[00:03:43.200 --> 00:03:44.520]   to have you come, CJ,
[00:03:44.520 --> 00:03:47.680]   is ServiceNow has been way ahead of the curve on AI.
[00:03:47.680 --> 00:03:49.440]   We first met actually in a conversation
[00:03:49.440 --> 00:03:53.720]   where you were talking about the AI vision with NVIDIA,
[00:03:53.720 --> 00:03:55.840]   with Jensen and the NVIDIA team.
[00:03:55.840 --> 00:03:57.280]   And we might have a clip actually,
[00:03:57.280 --> 00:04:00.640]   but just yesterday at the NVIDIA conference,
[00:04:00.640 --> 00:04:03.040]   ServiceNow was a main feature.
[00:04:03.040 --> 00:04:05.240]   The specific use cases on the NVIDIA platform.
[00:04:05.240 --> 00:04:08.440]   And at the previous conference, it comes up as a main user.
[00:04:08.440 --> 00:04:10.720]   My first question for you, CJ,
[00:04:10.720 --> 00:04:13.240]   is please tell us how you got here
[00:04:13.240 --> 00:04:14.960]   to this exceptional role as COO
[00:04:14.960 --> 00:04:16.760]   where you do much of the product work.
[00:04:16.760 --> 00:04:18.440]   And then please tell us how you've gotten
