
[00:00:00.000 --> 00:00:07.000]   Should global warming change how we live?
[00:00:07.000 --> 00:00:11.000]   It's a question we get on occasion, and this time from a podcast listener named Timothy.
[00:00:11.000 --> 00:00:14.000]   A question for Pastor John, who joins us again over Skype.
[00:00:14.000 --> 00:00:15.000]   Hello, Pastor John.
[00:00:15.000 --> 00:00:23.000]   In a day and age where we are bombarded with strong environmentalism and save-the-Earth propaganda and green ideas,
[00:00:23.000 --> 00:00:26.000]   what should be the proper response of a Christian to all these pressures?
[00:00:26.000 --> 00:00:29.000]   Should we assume that climate change is caused by humans?
[00:00:29.000 --> 00:00:36.000]   How do we find a proper balance in ecological concerns when we are faced by so many things that seem like extremes,
[00:00:36.000 --> 00:00:45.000]   eliminating plastic straws, demonizing fossil fuels, and the rise of couples who refuse to have children because of the "impact on the environment"?
[00:00:45.000 --> 00:00:51.000]   It feels like the culture really is worshipping the creation instead of trusting the Creator.
[00:00:51.000 --> 00:00:57.000]   So how should a follower of Jesus care for a creation that will one day be destroyed by fire?
[00:00:57.000 --> 00:01:00.000]   Pastor John, what would you say to Timothy?
[00:01:00.000 --> 00:01:05.000]   Let me start by saying, and I hope I don't disappoint too many folks here,
[00:01:05.000 --> 00:01:20.000]   I don't know the answer to the question, "Is global warming mainly or only caused by human behaviors like the use of fossil fuels?"
[00:01:20.000 --> 00:01:28.000]   So answering that specific question is not what this episode of Ask Pastor John is about.
[00:01:28.000 --> 00:01:41.000]   I wish I knew more and had greater wisdom on that, but given my limitations in what I can attend to and study and get clarity on, I don't.
[00:01:41.000 --> 00:01:48.000]   And you'll need to do your own work to get what I can't provide.
[00:01:48.000 --> 00:02:06.000]   The reason I'm willing to say anything at all in response to this question is because it does raise issues that I think the Bible is clear about and which, importantly, affect the way we should live.
[00:02:06.000 --> 00:02:18.000]   For example, there really is a danger, a spiritual danger, on the one hand, of elevating creation more highly than we should.
[00:02:18.000 --> 00:02:33.000]   And on the other hand, there really is a danger of being so opposed to environmentalist excesses that we're unwilling to affirm or encourage anything, any kind of creation care.
[00:02:33.000 --> 00:02:39.000]   Lest we sound like tree huggers, and we, of course, don't like tree huggers, and therefore we don't say anything.
[00:02:39.000 --> 00:02:41.000]   I think that's a huge danger.
[00:02:41.000 --> 00:02:45.000]   That last point, just linger on that for just a moment.
[00:02:45.000 --> 00:03:11.000]   It cuts both ways in a culture like ours, where our decisions about what we will say, what we will do is based so much in our culture on which groups will approve of us if we talk a certain way, rather than being based on what is really true and good, regardless of what people think or say about us.
[00:03:11.000 --> 00:03:25.000]   So people on the right and on the left are often afraid of taking a position for fear of appearing defective to the group they desperately want to please.
[00:03:25.000 --> 00:03:42.000]   The Bible calls them people pleasers, Ephesians 6, 6, and says that those who have Christ as their true master won't crave that kind of approval or fear disapproval from mere man.
[00:03:42.000 --> 00:03:44.000]   What can man do to you?
[00:03:44.000 --> 00:04:00.000]   So my point is we should decide what kind of creation care is fitting for a Christian quite apart from who calls us a tree hugger or who calls us an ice cap melter.
[00:04:00.000 --> 00:04:02.000]   It doesn't matter what people call us.
[00:04:02.000 --> 00:04:08.000]   What matters is truth and taking the right, courageous, clear stand.
[00:04:08.000 --> 00:04:18.000]   So Timothy asks, how should a follower of Jesus care for a creation that will one day be destroyed by fire?
[00:04:18.000 --> 00:04:23.000]   And I think the answer that I would give is this.
[00:04:23.000 --> 00:04:30.000]   The same way we should take care of our bodies, even though they are going to rot in the grave.
[00:04:30.000 --> 00:04:32.000]   That's my answer.
[00:04:32.000 --> 00:04:43.000]   The body will be raised from the dead and the creation will be set free from its bondage to corruption, Romans 8, 21.
[00:04:43.000 --> 00:04:53.000]   Neither the eventual dissolution of the body or the eventual dissolution of the earth makes either of them worthless.
[00:04:53.000 --> 00:05:05.000]   Now, it does keep us, and this was his point and it's a good one, it does keep us from deifying them, making them God.
[00:05:05.000 --> 00:05:14.000]   Neither the body nor the earth is God, though some people treat them as if they were bodies and earth.
[00:05:14.000 --> 00:05:19.000]   They will both die, but both are precious gifts of God now.
[00:05:19.000 --> 00:05:33.000]   The reason they're precious is that both the body and the earth are meant to serve the fullness of Christ-exalting, God-glorifying life.
[00:05:33.000 --> 00:05:38.000]   So Paul says in 1 Corinthians 6, 19,
[00:05:38.000 --> 00:05:46.000]   "Do you not know that your body is the temple of the Holy Spirit within you, whom you have from God?
[00:05:46.000 --> 00:05:53.000]   You're not your own. You were bought with a price, so glorify God in your body."
[00:05:53.000 --> 00:06:03.000]   And then in Romans 12, 1, he says, "Present your bodies as a living sacrifice, holy and acceptable to God, which is your spiritual worship."
[00:06:03.000 --> 00:06:06.000]   And then again in Philippians 1, 20, he says,
[00:06:06.000 --> 00:06:16.000]   "It is my eager expectation and hope that Christ will be honored in my body, whether by life or by death."
[00:06:16.000 --> 00:06:28.000]   That's what the body is for. It is an instrument for glorifying God, magnifying Christ, honoring the indwelling Holy Spirit.
[00:06:28.000 --> 00:06:34.000]   So I'm arguing that your body is your little earth.
[00:06:34.000 --> 00:06:43.000]   Let that sink in. I'm arguing that your body is your near little earth, your nearest earth.
[00:06:43.000 --> 00:06:46.000]   It's not your soul. Your body's not your soul.
