
[00:00:00.000 --> 00:00:21.920]   Okay, so hello everyone. My name is Diego Rodriguez. I'm the co-founder of CREA, a startup
[00:00:21.920 --> 00:00:27.920]   in the AI space like many others, in particular generative media, multimedia, multimodal, and all
[00:00:27.920 --> 00:00:40.800]   the buzzwords. But I come here mainly to tell a story about how we think about evaluations when
[00:00:40.800 --> 00:00:48.320]   we have to take into account human perception and human opinion and aesthetics into the mix, right?
[00:00:48.320 --> 00:00:54.240]   So I'm going to start with a very simple story. It's like I put an AI-generated image of a hand.
[00:00:54.240 --> 00:01:00.240]   Obviously, it looks horrible. And then I ask O3, what do you think of this image? Then he thought
[00:01:00.240 --> 00:01:06.640]   for 17 seconds, obviously, tool calling, does Python, analysis, OpenCV, goes crazy. And then after he
[00:01:06.640 --> 00:01:12.960]   charges me a few cents, it's like, oh, just a couple of months, it's like, it's mostly natural, but like...
[00:01:12.960 --> 00:01:20.640]   And it's like, okay, we have like what many people claim is basically AGI, and it is completely
[00:01:20.640 --> 00:01:31.200]   unable of answering a very simple question. And like, that's a surprising thing if you think about it,
[00:01:31.200 --> 00:01:36.640]   because we as humans, when people see that image, it's like we just react so naturally, right?
[00:01:36.640 --> 00:01:41.600]   Against that, it's like, ugh, what is that? Like, that's not natural. And I feel like that's precisely
[00:01:41.600 --> 00:01:51.440]   what AI models are being trained on. A, on human data, right? Second, human preference data. And third,
[00:01:51.440 --> 00:02:00.000]   like, in a way limited by the data that we humans made based on our preconceived notions and perception
[00:02:00.000 --> 00:02:09.120]   and all of that. So that's what this talk is about, about what can we do better? And honestly,
[00:02:09.120 --> 00:02:13.840]   to ask ourselves some questions that I think are not being asked enough in the field.
[00:02:13.840 --> 00:02:24.720]   Cool. So tiny, tiny bit of history. There's a... We all know about Claude, or Claude Shannon, that is,
[00:02:24.720 --> 00:02:32.080]   the father of information theory. And according to many, his master's thesis is one of the most
[00:02:32.080 --> 00:02:37.600]   important master's thesis in the world, where he laid foundations for digital circuits, and then
[00:02:37.600 --> 00:02:45.680]   eventually communication and all. And to a degree, we can say that even LLMs nowadays, right? If we fast forward.
[00:02:47.280 --> 00:02:59.120]   And I want to focus on the fact that we call his work foundational and information theory, well,
[00:02:59.120 --> 00:03:06.880]   when he published it, it was actually called, like, mathematical foundation for communication theory.
[00:03:06.880 --> 00:03:15.360]   And he was always focused on communication. There's this image appears on that work, and it's all about,
[00:03:15.360 --> 00:03:19.680]   okay, this is the source, this is the channel, this is nation, there can be some noise there.
[00:03:19.680 --> 00:03:33.120]   And as a founder of a company that is focusing on media, to me, it's interesting to realize, like,
[00:03:33.120 --> 00:03:40.400]   these parallels between classic information theory and communication. Let me see, did I put the image?
[00:03:40.880 --> 00:03:47.120]   Let's see. Well, if you, I didn't put the image, but if you have any context around variational
[00:03:47.120 --> 00:03:51.680]   autoencoders or neural networks and whatever, you can screen and be like, oh, is that a neural network?
[00:03:51.680 --> 00:04:03.360]   Right? And in the context of information and communication, I want to talk about how compression is
[00:04:03.360 --> 00:04:12.560]   going to be related to how we think about evaluation, right? And I'm going to talk, for example, on JPEG.
[00:04:12.560 --> 00:04:22.880]   JPEG exploits, like, human nature in the sense that we are very sensitive to brightness, but not so much
