
[00:00:00.000 --> 00:00:02.320]   I hate affirmative action.
[00:00:02.320 --> 00:00:03.480]   I don't just disagree with it.
[00:00:03.480 --> 00:00:06.360]   I don't just think it's against the 14th Amendment.
[00:00:06.360 --> 00:00:07.920]   I hate it.
[00:00:07.920 --> 00:00:09.880]   The hatred comes from an understanding
[00:00:09.880 --> 00:00:12.400]   that it is a band-aid, that it is a substitute
[00:00:12.400 --> 00:00:14.760]   for the actual development of the capacities
[00:00:14.760 --> 00:00:16.520]   of our people to compete.
[00:00:16.520 --> 00:00:18.160]   They want to tell African-Americans,
[00:00:18.160 --> 00:00:19.400]   "Pat us on the head.
[00:00:19.400 --> 00:00:22.140]   "We're gonna have a separate program for you.
[00:00:22.140 --> 00:00:25.000]   "We're gonna give you a side door that you can come into."
[00:00:25.000 --> 00:00:27.280]   That doesn't make us any smarter.
[00:00:27.280 --> 00:00:29.120]   It doesn't make us any more creative.
[00:00:29.960 --> 00:00:34.040]   And it doesn't make us any more fit
[00:00:34.040 --> 00:00:37.360]   for the actual competition that's unfolding before us.
[00:00:37.360 --> 00:00:42.120]   - The following is a conversation with Glenn Lowry,
[00:00:42.120 --> 00:00:44.220]   professor of economics and social sciences
[00:00:44.220 --> 00:00:45.520]   at Brown University.
[00:00:45.520 --> 00:00:49.580]   He is one of the great minds and communicators of our time,
[00:00:49.580 --> 00:00:53.500]   writing and speaking about race and inequality.
[00:00:53.500 --> 00:00:56.320]   I highly encourage you to listen to his show
[00:00:56.320 --> 00:01:00.960]   on YouTube and Substack, simply called "The Glenn Show."
[00:01:00.960 --> 00:01:02.880]   This is the Lex Friedman Podcast.
[00:01:02.880 --> 00:01:04.920]   To support it, please check out our sponsors
[00:01:04.920 --> 00:01:06.040]   in the description.
[00:01:06.040 --> 00:01:09.360]   And now, dear friends, here's Glenn Lowry.
[00:01:09.360 --> 00:01:12.940]   Martin Luther King Jr.'s "I Have a Dream" speech,
[00:01:12.940 --> 00:01:15.440]   I think is the greatest speech in American history.
[00:01:15.440 --> 00:01:17.760]   If I may, I'd like to read a few words of it.
[00:01:17.760 --> 00:01:18.600]   - Sure.
[00:01:18.600 --> 00:01:21.120]   - And ask you a question about this dream.
[00:01:21.120 --> 00:01:26.200]   "I have a dream that one day this nation will rise up
