
[00:00:00.040 --> 00:00:07.140]  Ac not over
[00:00:07.140 --> 00:00:25.300]   M is his,,,,
[00:01:21.960 --> 00:01:21.960]   It's been a while since I've done this. I'm back at home in front of my microphone and ready to get back to work. And of course, when you're on the road, it's a useful time to think about the subject of travel. It has been my personal experience that the vast majority of people have, at least they say they have, a major life goal of traveling. Now, the reason I modified the statement is when you ask them, they say they want to travel. But when you look at many people's lives, it seems to me that most people don't actually want to travel because most people don't want to travel. So I'm going to go ahead and get back to work.
[00:03:15.040 --> 00:03:44.800]  .
[00:03:44.800 --> 00:04:02.960]  .
[00:04:02.960 --> 00:04:13.880]   They traveled nonstop from Moscow, Russia, on this round the world trip. They traveled from Moscow across to China, across India, then to Egypt.
[00:04:13.880 --> 00:04:14.820]   Then they hitchhiked from Moscow to China.
[00:04:14.860 --> 00:04:44.840]   adopts a plan to make the trip as a way to get back to work. They also did a tour down and up through South America, up through Central America and then all across the United States and Canada. I don't remember the exact number of countries. Probably 35-ish countries, 30 to 40 countries in that time. But they traveled for 752 days. And in that time, how much do you want to think that they spent as a couple traveling for just over two years.
[00:04:44.840 --> 00:05:14.860]  , they spent, they were very diligent about tracking their expenses, the total they spent travel for two years was $13,431 and when they left Russia, they just had money in the bank account I think something like $15,000, $10 or $15,000 and they just went out planning to travel until their money ran out. And because of that they were extremely frugal and extremely frugal and they were able to get their money back.
[00:05:14.860 --> 00:05:14.860]   And they were able to get their money back.
[00:05:14.880 --> 00:05:44.880]   I'll go over some of their expenses in a minute and I'll make sure to link you to the video. Maybe I'll pull the audio from it and share it with you so that you can listen to him talk about their actual expenses.
[00:05:44.880 --> 00:05:44.880]   But I found that super inspirational.
[00:05:44.880 --> 00:05:44.880]   A couple, two people traveling for over two years with a total money of $13,431.
[00:05:44.880 --> 00:05:44.880]   Their daily cost of total daily cost was $13,431.
[00:05:44.880 --> 00:05:44.880]   Their daily cost of total daily cost was $13,431.
[00:05:44.880 --> 00:05:44.880]   Their daily cost of total daily cost was $13,431.
[00:05:44.880 --> 00:05:44.880]   Their daily cost of total daily cost was $13,431.
[00:05:44.880 --> 00:05:44.880]   Their daily cost of total daily cost was $13,431.
[00:05:44.880 --> 00:05:44.880]   Their daily cost of total daily cost was $13,431.
[00:05:44.880 --> 00:05:44.880]   Their daily cost of total daily cost was $13,431.
[00:05:44.880 --> 00:05:44.880]   Their daily cost of total daily cost was $13,431.
[00:05:44.880 --> 00:06:14.900]   their daily cost of total daily cost was $13,431.
[00:06:14.900 --> 00:06:14.900]   Their daily cost of total daily cost was $13,431.
[00:06:14.900 --> 00:06:14.900]   Their daily cost of total daily cost was $13,431.
[00:06:14.900 --> 00:06:14.900]   Their daily cost of total daily cost was $13,431.
[00:06:14.900 --> 00:06:14.900]   Their daily cost of total daily cost was $13,431.
