
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:10.640]   (upbeat music)
[00:00:10.640 --> 00:00:19.640]   - Welcome back to Portfolio Rescue.
[00:00:19.640 --> 00:00:22.240]   Remember our email here, askthecompoundshow@gmail.com
[00:00:22.240 --> 00:00:23.180]   for any questions.
[00:00:23.180 --> 00:00:26.600]   Today's Portfolio Rescue is sponsored by Innovator ETFs.
[00:00:26.600 --> 00:00:29.840]   Innovator rolls out these defined outcome ETFs.
[00:00:29.840 --> 00:00:30.960]   A lot of the time, we've talked about
[00:00:30.960 --> 00:00:32.120]   how they have downside protection.
[00:00:32.120 --> 00:00:34.320]   A lot of people want that, especially older investors.
[00:00:34.320 --> 00:00:35.760]   A lot of the questions we get from our audience
[00:00:35.760 --> 00:00:37.460]   deals with, I want more upside.
[00:00:37.460 --> 00:00:40.240]   I'm young, I have a high risk tolerance.
[00:00:40.240 --> 00:00:41.960]   So Innovator just released this new ETF,
[00:00:41.960 --> 00:00:45.480]   the Uncapped Accelerated US Equity ETF, XUSP.
[00:00:45.480 --> 00:00:46.480]   Here's how it works.
[00:00:46.480 --> 00:00:48.040]   One-to-one downside with the market.
[00:00:48.040 --> 00:00:50.220]   There's no downside protection here,
[00:00:50.220 --> 00:00:52.160]   but some people who have a long time horizon don't need it,
[00:00:52.160 --> 00:00:55.200]   but it holds four quarterly upside options on the S&P
[00:00:55.200 --> 00:00:56.160]   that are staggered throughout the year
[00:00:56.160 --> 00:00:57.320]   to provide a little diversification.
[00:00:57.320 --> 00:01:00.460]   You see, these are the current accelerated returns, right?
[00:01:00.460 --> 00:01:01.920]   And there's no upside on these caps.
[00:01:01.920 --> 00:01:04.800]   So no downside protection, but no upside cap either.
[00:01:04.800 --> 00:01:06.120]   So what's the catch here?
[00:01:06.120 --> 00:01:08.120]   'Cause you can see these are the percentages
[00:01:08.120 --> 00:01:09.400]   of the S&P that you get.
[00:01:09.400 --> 00:01:14.160]   The only big caveat here is that the first 5%
[00:01:14.160 --> 00:01:15.320]   of your upside is gone,
[00:01:15.320 --> 00:01:16.760]   'cause that's the cost of the options, right?
[00:01:16.760 --> 00:01:18.200]   You have to pay something.
[00:01:18.200 --> 00:01:19.440]   So up to 5%.
[00:01:19.440 --> 00:01:21.960]   The thing is, most of the time when the stock market is up,
[00:01:21.960 --> 00:01:22.800]   it's up a lot.
[00:01:22.800 --> 00:01:25.400]   So Duncan, one of my stats from this week was,
[00:01:25.400 --> 00:01:26.920]   going back the last 100 years or so,
[00:01:26.920 --> 00:01:30.240]   the US stock market is up more than 20% in a year,
[00:01:30.240 --> 00:01:33.920]   calendar year, more often than it's down in a given year.
[00:01:33.920 --> 00:01:34.760]   So big returns.
[00:01:34.760 --> 00:01:35.580]   So that's the thing.
[00:01:35.580 --> 00:01:36.680]   You have to eat that 5%.
[00:01:36.680 --> 00:01:38.440]   That's basically your cost of the options.
[00:01:38.440 --> 00:01:40.000]   But then you get this uncapped upside
[00:01:40.000 --> 00:01:41.720]   when the stock market does really well,
[00:01:41.720 --> 00:01:42.560]   you're gonna do better.
[00:01:42.560 --> 00:01:43.380]   Pretty interesting.
[00:01:43.380 --> 00:01:46.120]   If you wanna learn more, innovatoretfs.com.
[00:01:46.120 --> 00:01:48.520]   All right, Duncan, this week we had a little offsite
[00:01:48.520 --> 00:01:50.160]   and someone in the firm asked me,
[00:01:50.160 --> 00:01:52.360]   what's the most asked question we get?
[00:01:52.360 --> 00:01:54.320]   There are some usuals like,
[00:01:54.320 --> 00:01:56.240]   what to do with a lump sum is a big one.
[00:01:56.240 --> 00:01:58.160]   Should I invest in levered ETFs?
[00:01:58.160 --> 00:01:59.480]   How much should I be saving?
[00:01:59.480 --> 00:02:02.000]   How does Ben have such a wonderful Hawaiian shirt collection?
[00:02:02.000 --> 00:02:03.560]   These types of things, right?
[00:02:03.560 --> 00:02:05.480]   But if there's a single subject we get the most,
[00:02:05.480 --> 00:02:08.080]   it's about taxes.
[00:02:08.080 --> 00:02:10.240]   And last week we had Bill Arzaronian on and I asked him,
[00:02:10.240 --> 00:02:11.920]   why do you think we get so many questions about taxes?
[00:02:11.920 --> 00:02:14.920]   'Cause I mean, it's gotta be 50% of the questions.
[00:02:14.920 --> 00:02:16.380]   And he said, probably rightly or wrongly,
[00:02:16.380 --> 00:02:18.840]   most people assume, I'm a good investor.
[00:02:18.840 --> 00:02:19.660]   I can handle this.
[00:02:19.660 --> 00:02:20.500]   I follow the markets.
[00:02:20.500 --> 00:02:21.320]   I know what to invest in.
[00:02:21.320 --> 00:02:23.300]   I got that part taken care of.
[00:02:23.300 --> 00:02:25.320]   But a lot of people really are worried
[00:02:25.320 --> 00:02:27.400]   about making a mistake with taxes, right?
[00:02:27.400 --> 00:02:29.440]   And I think a lot of times it's a mistake of omission.
[00:02:29.440 --> 00:02:32.520]   The tax code is so confusing and hard to understand
[00:02:32.520 --> 00:02:34.520]   that people assume that there's maybe a break
[00:02:34.520 --> 00:02:35.440]   that they're missing out on,
[00:02:35.440 --> 00:02:36.320]   or there's something they're doing
[00:02:36.320 --> 00:02:37.440]   that they could be doing.
