
[00:00:00.000 --> 00:00:05.000]   As a parent, you know it's not just baby talk.
[00:00:05.000 --> 00:00:06.000]   Somebody's hungry.
[00:00:06.000 --> 00:00:10.000]   So talk with your baby's doctor about invasive pneumococcal disease, or IPD,
[00:00:10.000 --> 00:00:16.000]   and ask how Prevnar 20 pneumococcal 20-valent conjugate vaccine can help protect them.
[00:00:16.000 --> 00:00:18.000]   Children under 2 are at increased risk,
[00:00:18.000 --> 00:00:24.000]   but Prevnar 20 can help them develop more immunity to 20 strains of bacteria that cause IPD.
[00:00:24.000 --> 00:00:26.000]   Prevnar 20 is approved for children 6 weeks and older
[00:00:26.000 --> 00:00:31.000]   to help prevent infections from 20 strains of bacteria that cause invasive pneumococcal disease.
[00:00:31.000 --> 00:00:35.000]   Do not get Prevnar 20 if your child has had a severe allergic reaction to the vaccine or its ingredients.
[00:00:35.000 --> 00:00:38.000]   Those with weakened immune systems may have a lower response to the vaccine.
[00:00:38.000 --> 00:00:41.000]   Talk to your health care provider before vaccination if your baby was born prematurely.
[00:00:41.000 --> 00:00:45.000]   Side effects may include irritability, pain, redness, swelling at the injection site,
[00:00:45.000 --> 00:00:48.000]   drowsiness, muscle pain, decreased appetite, headache, and fever.
[00:00:48.000 --> 00:00:55.000]   For full prescribing information, please call 1-855-213-2138 or visit Prevnar20.com.
[00:00:55.000 --> 00:01:01.000]   Ask about Prevnar 20 for your baby. Visit AskForPrevnar20.com.
[00:01:01.000 --> 00:01:05.000]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight,
[00:01:05.000 --> 00:01:09.000]   and encouragement you need to live a rich and meaningful life now
[00:01:09.000 --> 00:01:12.000]   while building a plan for financial freedom in 10 years or less.
[00:01:12.000 --> 00:01:18.000]   My name is Joshua, and today we tackle the Invest Wisely portion of the Radical Personal Finance curriculum.
[00:01:18.000 --> 00:01:22.000]   Talking about investing in land, my guest is Mark Podolsky from TheLandGeek.com.
[00:01:22.000 --> 00:01:24.000]   Mark, welcome to the show.
[00:01:24.000 --> 00:01:27.000]   Joshua Sheets, I am excited to be here. Thank you so much.
[00:01:27.000 --> 00:01:33.000]   So you have a great brand. TheLandGeek is a really great brand, so now it's time to deliver on that brand.
[00:01:33.000 --> 00:01:40.000]   I'd love to hear what was your story and your path into real estate investment.
[00:01:40.000 --> 00:01:47.000]   All right. So I used to do investment banking and mergers and acquisitions with private equity groups.
[00:01:47.000 --> 00:01:53.000]   And just mid-market stuff, you know, $500 to $500 million in enterprise value, so nothing too crazy.
[00:01:53.000 --> 00:02:02.000]   And I hated it. I had no control. I was micromanaged. I had a 45-minute commute to work and back.
[00:02:02.000 --> 00:02:13.000]   And it was, like, Josh, it was so bad that I wouldn't get the Sunday blues anticipating Monday coming around having to go to work.
[00:02:13.000 --> 00:02:19.000]   I'd get the Friday blues anticipating the weekend going by really fast and having to be at work on Monday.
[00:02:19.000 --> 00:02:29.000]   So my firm hires this guy, and he's telling me that on the side he goes to tax deed auctions, and he buys up raw land, pennies on the dollar,
[00:02:29.000 --> 00:02:34.000]   and he flips it online, and he's making a 300% return on investment.
[00:02:34.000 --> 00:02:43.000]   So I'm looking at companies all day long, right, and a great company, a great company has 15% EBITDA margins, right, a great company.
[00:02:43.000 --> 00:02:49.000]   – EBITDA is an accounting term that means earnings before interest, taxes, deductions, and amortization.
[00:02:49.000 --> 00:02:51.000]   – Yeah, depreciation. – Oh, sorry, depreciation.
[00:02:51.000 --> 00:02:56.000]   – Right, right. So, yeah, just free cash flow, right, 15%. Average companies at 10%.
[00:02:56.000 --> 00:02:59.000]   I'm looking at companies all day long, less than 10%.
[00:02:59.000 --> 00:03:04.000]   So I'm from St. Louis, Missouri. I'm from the show-me state. I don't believe him, right?
[00:03:04.000 --> 00:03:09.000]   So I go to this auction with him. I've got, like, three grand saved up for car repairs.
[00:03:09.000 --> 00:03:16.000]   And I buy 10 half-acre lots at an average price of $300 each. Like, not much, right?
[00:03:16.000 --> 00:03:19.000]   And I just do exactly what he says to do. I put them up online.
[00:03:19.000 --> 00:03:25.000]   They sell the next week at an average price of $1,200 each, 300%. He was right. It worked.
[00:03:25.000 --> 00:03:32.000]   So I took all that money, and I went to another tax deed auction in Arizona, where I live, and I bought up as much as I could.
[00:03:32.000 --> 00:03:34.000]   There's no one in the room. This is 2,000.
[00:03:34.000 --> 00:03:39.000]   And in the next six months of flipping that land, I made over $90,000.
[00:03:39.000 --> 00:03:47.000]   So I go to my wife. I'm like, "Honey, I'm going to quit my job, and I'm going to invest in land full-time."
[00:03:47.000 --> 00:03:51.000]   So she says, "Absolutely not," right? So I said, "Fine."
[00:03:51.000 --> 00:03:59.000]   So I invest in land part-time for 18 months until the land investing income exceeded my investment banking income,
[00:03:59.000 --> 00:04:04.000]   and I quit, and I've been doing it full-time ever since, and I absolutely love it.
[00:04:04.000 --> 00:04:15.000]   So your exposure to the niche of real estate, of investing in land, sounds more accidental and circumstantial rather than a planned path. Is that right?
[00:04:15.000 --> 00:04:17.000]   Absolutely. Absolutely.
[00:04:17.000 --> 00:04:23.000]   The only other piece of real estate I'd ever bought was my house.
[00:04:23.000 --> 00:04:33.000]   So I had no real estate background, but this was so up my alley because I have no skills as far as being a …
[00:04:33.000 --> 00:04:37.000]   I'm like the worst homeowner you've ever seen. I could barely change a light bulb.
[00:04:37.000 --> 00:04:43.000]   So the fact that I can buy a raw piece of land I don't have to maintain, I don't have to protect,
[00:04:43.000 --> 00:04:50.000]   I don't have to deal with a tenant calling me at 3 in the morning, my roof is leaking, and make it cash flow.
[00:04:50.000 --> 00:04:54.000]   It's the reason I have a podcast called The Best Passive Income Model.
[00:04:54.000 --> 00:04:58.000]   I can automate it with software, and it's amazing.
[00:04:58.000 --> 00:05:05.000]   So it's 90% automated. I work two hours a week in the business, and it's amazing.
[00:05:05.000 --> 00:05:12.000]   Okay. So the fundamental question in terms of land, you listed off some of the advantages,
[00:05:12.000 --> 00:05:15.000]   and I'll just tick them back and ask you to expand upon them.
[00:05:15.000 --> 00:05:24.000]   Land – and by here I'm using the term land to mean raw land, undeveloped, no buildings or facilities or equipment on it,
[00:05:24.000 --> 00:05:30.000]   just simply bare land, whether it's virgin forest or whether it's just land.
[00:05:30.000 --> 00:05:32.000]   Is that a good use of the term?
[00:05:32.000 --> 00:05:34.000]   Yeah, that's absolutely correct.
[00:05:34.000 --> 00:05:39.000]   Okay. So here we're talking about something that in a sense is very simple, a bunch of dirt or rocks as the case may be,
[00:05:39.000 --> 00:05:42.000]   with some imaginary lines drawn around them and a deed.
[00:05:42.000 --> 00:05:47.000]   We're not dealing with maintenance. We're not dealing with tenants. We're not doing any of those things.
[00:05:47.000 --> 00:05:51.000]   So those things can be characterized as advantages.
[00:05:51.000 --> 00:05:55.000]   As you said, you don't have to unplug the toilet. You don't have to rent it out.
[00:05:55.000 --> 00:06:02.000]   You don't have to go and find somebody and court potential renters, et cetera.
[00:06:02.000 --> 00:06:07.000]   Are there other advantages to the investment in raw land that you look to?
[00:06:07.000 --> 00:06:13.000]   Yeah, because it's a massive market and it's unloved. It's not sexy.
[00:06:13.000 --> 00:06:18.000]   You don't go on HGTV or the DIY network and see "Flip this land," right?
[00:06:18.000 --> 00:06:28.000]   They'd have to come to my office and just watch me press the keys on my computer and shuffle paper and that's it.
[00:06:28.000 --> 00:06:34.000]   So that's the other advantage is there's billions of acres of land in this country
[00:06:34.000 --> 00:06:38.000]   and literally there's no big money doing this.
[00:06:38.000 --> 00:06:41.000]   There's no hedge funds. There's no private equity groups.
[00:06:41.000 --> 00:06:44.000]   It's all mom and pop. It's a very inefficient market.
[00:06:44.000 --> 00:06:48.000]   So it's truly what a buyer and seller agree to.
[00:06:48.000 --> 00:06:53.000]   And in our model, because we're able to buy these assets so low,
[00:06:53.000 --> 00:06:57.000]   we make a 300% to 1,000% return on investment.
[00:06:57.000 --> 00:07:00.000]   And the way that we make a cash flow is we do owner financing.
[00:07:00.000 --> 00:07:07.000]   So let's say for example I buy a five-acre parcel in Colorado for $1,000.
[00:07:07.000 --> 00:07:16.000]   Well, I'll flip it to you for $10,000 for $1,000 down, $249 a month, like a car payment at 9% interest.
[00:07:16.000 --> 00:07:19.000]   And you don't care. Like $249 a month, I can afford that.
[00:07:19.000 --> 00:07:24.000]   Now I've got five acres in Colorado that I'll own free and clear in five years.
[00:07:24.000 --> 00:07:32.000]   Because we use a land contract and not a deed of trust, we actually own the asset until you pay off your note.
[00:07:32.000 --> 00:07:37.000]   So there's no costs of foreclosure like you would if you did a deed of trust.
[00:07:37.000 --> 00:07:41.000]   So that's another advantage. So we have very low overhead to run the business.
[00:07:41.000 --> 00:07:43.000]   And literally you don't need a lot of money.
[00:07:43.000 --> 00:07:47.000]   I mean, these examples are very low money.
[00:07:47.000 --> 00:07:51.000]   So you don't need outside funding. You don't need to go to private money.
[00:07:51.000 --> 00:07:53.000]   You don't need to get investors.
[00:07:53.000 --> 00:08:01.000]   Even if you're dead broke, you can still lock up properties on an option and wholesale them out to people like myself
[00:08:01.000 --> 00:08:06.000]   that will allow you to have 100% markup and I'll make 200%, right?
[00:08:06.000 --> 00:08:09.000]   So there's a lot of advantages to it.
[00:08:09.000 --> 00:08:16.000]   There's also real estate legislation advantages because we're not dealing with a tenant.
[00:08:16.000 --> 00:08:22.000]   We are exempt from Dodd-Frank. We're exempt from RESPA and we're exempt from the SAFE Act.
[00:08:22.000 --> 00:08:25.000]   So those are also useful.
[00:08:25.000 --> 00:08:30.000]   I mean it's notes of those are useful benefits when you look at them, especially some of the exemptions could be.
[00:08:30.000 --> 00:08:37.000]   So is your example here that you're using, five acres in Colorado, is this a kind of a good useful example of what you're doing?
[00:08:37.000 --> 00:08:41.000]   And obviously, you've developed other information programs and coaching programs.
[00:08:41.000 --> 00:08:46.000]   Is what you're teaching other people to do, to do things like buy five acres in Colorado and flip it to another buyer?
[00:08:46.000 --> 00:08:48.000]   Yeah, absolutely. Right.
[00:08:48.000 --> 00:08:55.000]   So in that context, what are you using as your primary source of the deal?
[00:08:55.000 --> 00:09:01.000]   You mentioned that you started at the tax deduction. Is that still a primary focus for you?
[00:09:01.000 --> 00:09:06.000]   Well, when I started in 2000, there's nobody in that room, right?
[00:09:06.000 --> 00:09:13.000]   But if you remember between 2001 and let's say 2006, right, the market started heating up.
[00:09:13.000 --> 00:09:21.000]   And so at that time, it was kind of crazy as those rooms got larger, I had to pivot and think,
[00:09:21.000 --> 00:09:27.000]   "Well, how can I get this property before it goes to tax deed auction?"
[00:09:27.000 --> 00:09:33.000]   And so now what we do is we send out offers, a direct offer to the landowner.
[00:09:33.000 --> 00:09:35.000]   So let's say for example, Joshua, where do you live?
