
[00:00:00.000 --> 00:00:03.080]   (slow hip hop music)
[00:00:03.080 --> 00:00:11.300]   - Man, here another episode of Curious Mike,
[00:00:11.300 --> 00:00:13.120]   here my big bro B-Roy.
[00:00:13.120 --> 00:00:16.980]   You know, Kobe said his dude was the hardest player
[00:00:16.980 --> 00:00:18.100]   he ever had to guard.
[00:00:18.100 --> 00:00:21.700]   I had the pleasure of playing for this dude in Nathan Hale.
[00:00:21.700 --> 00:00:24.140]   He taught me a lot, he's been a big bro to me since.
[00:00:24.140 --> 00:00:25.980]   So I appreciate you being on the show, my brother.
[00:00:25.980 --> 00:00:28.540]   - Oh yeah, no doubt, thanks for having me on the show.
[00:00:28.540 --> 00:00:29.580]   - You already know.
[00:00:29.580 --> 00:00:31.800]   So we're gonna start out in the NBA,
[00:00:31.800 --> 00:00:34.780]   just 'cause that's obviously where most people know you from.
[00:00:34.780 --> 00:00:38.240]   And I grew up watching you, idolizing you.
[00:00:38.240 --> 00:00:39.080]   So we're gonna start up there,
[00:00:39.080 --> 00:00:41.980]   then we'll kind of move to some other stuff.
[00:00:41.980 --> 00:00:44.780]   Man, so yeah, I wanna, first off,
[00:00:44.780 --> 00:00:46.200]   I just wanna ask you about your favorite players.
[00:00:46.200 --> 00:00:49.780]   Who was your, like your time, who was the best players
[00:00:49.780 --> 00:00:52.540]   that you played against in your area?
[00:00:52.540 --> 00:00:55.100]   - Yeah, so my area, meaning?
[00:00:55.100 --> 00:00:57.420]   - Like, your era, your era.
[00:00:57.420 --> 00:01:01.720]   - Yeah, well, I guess I'll start with first,
[00:01:01.720 --> 00:01:04.800]   you have the names that are, like LeBron James,
[00:01:04.800 --> 00:01:05.640]   you know what I mean?
[00:01:05.640 --> 00:01:06.720]   Him are a class apart, so.
[00:01:06.720 --> 00:01:08.420]   - So already back then, he was like--
[00:01:08.420 --> 00:01:10.040]   - Well, I never played against him,
[00:01:10.040 --> 00:01:14.060]   but hearing about him, and just hearing the legend
[00:01:14.060 --> 00:01:18.700]   of LeBron James, it's like, okay, is he that good?
[00:01:18.700 --> 00:01:20.840]   So when I first seen him, I went, damn,
[00:01:20.840 --> 00:01:22.840]   he is the best player.
[00:01:22.840 --> 00:01:23.680]   You know what I mean?
[00:01:23.800 --> 00:01:28.400]   It's not that you say, oh, I'm gonna concede to this guy,
[00:01:28.400 --> 00:01:32.600]   but watching him, he was that good at an early age.
[00:01:32.600 --> 00:01:35.360]   And I think that kids kind of get that misunderstood.
[00:01:35.360 --> 00:01:37.200]   And I think I told you, I'm like, you're one
[00:01:37.200 --> 00:01:39.760]   of the best players I've seen since, like, a LeBron.
[00:01:39.760 --> 00:01:42.440]   That doesn't come around often, with size,
[00:01:42.440 --> 00:01:45.340]   handle it, shoot it, at a young age.
[00:01:45.340 --> 00:01:49.920]   So he was off top, the best kid when we were in high school.
[00:01:49.920 --> 00:01:53.120]   And then another guy that was big was Carmelo Anthony.
[00:01:53.120 --> 00:01:55.640]   It's the next dude you always hear about.
[00:01:55.640 --> 00:01:56.480]   And again, like I said--
[00:01:56.480 --> 00:01:57.640]   - So you was the same age as those guys?
[00:01:57.640 --> 00:01:59.680]   - Well, yeah, we're the same age, but we're a class of,
[00:01:59.680 --> 00:02:03.880]   me and Carmelo are a class of 2002, and Bron is 2003.
[00:02:03.880 --> 00:02:04.840]   - Oh, okay, okay, okay.
[00:02:04.840 --> 00:02:08.600]   - So, you know, I think Melo might be 37, I'm 37,
[00:02:08.600 --> 00:02:09.600]   Bron's 36. - Got you.
[00:02:09.600 --> 00:02:12.120]   - So, yeah, so we're all in that same, you know,
[00:02:12.120 --> 00:02:14.240]   I would say, era of guys.
[00:02:14.240 --> 00:02:17.440]   And, you know, Melo, and then CP3, them dudes
[00:02:17.440 --> 00:02:19.080]   were all, you know, that good.
[00:02:19.080 --> 00:02:20.120]   - Right there. - Rami Feld, you know.
[00:02:20.120 --> 00:02:22.400]   Those were, again, like, so when I get a list
[00:02:22.400 --> 00:02:23.840]   of my era, I always try to go with,
[00:02:23.840 --> 00:02:25.520]   okay, those are the dudes that's in the league,
[00:02:25.520 --> 00:02:27.400]   you know who they are, you know, they've been good,
[00:02:27.400 --> 00:02:29.200]   you know, pretty much their entire life.
[00:02:29.200 --> 00:02:32.400]   But then, you know, locally, I've always had,
[00:02:32.400 --> 00:02:34.480]   you know, really good battles with, you know,
[00:02:34.480 --> 00:02:35.680]   you found out coming to Seattle,
[00:02:35.680 --> 00:02:38.480]   you know, Rainier Beach High School's a big high school,
[00:02:38.480 --> 00:02:41.120]   so I had battles with, you know, Roderick Stewart,
[00:02:41.120 --> 00:02:44.120]   Roderick Stewart, twin brothers, Nate Robinson went there.
[00:02:44.120 --> 00:02:46.040]   So we battled, another cat that went to
[00:02:46.040 --> 00:02:49.520]   Franklin High School, Anthony Grant, he's really good.
[00:02:49.520 --> 00:02:51.280]   Then you got, you know, my brother was always
[00:02:51.280 --> 00:02:53.120]   the hardest player I've ever had to play against.
[00:02:53.120 --> 00:02:53.960]   - Your brother?
[00:02:53.960 --> 00:02:55.400]   - Yeah, my older brother, yeah.
[00:02:55.400 --> 00:02:56.600]   - He would beat you one-on-one?
[00:02:56.600 --> 00:02:57.560]   - Yep, yep.
[00:02:57.560 --> 00:02:59.120]   - That's just the older brother thing, though.
[00:02:59.120 --> 00:03:01.360]   - Yeah, you know, it's, you know, you play with,
[00:03:01.360 --> 00:03:03.520]   I see you and Tay play, it's kinda like the big brother
[00:03:03.520 --> 00:03:06.040]   has that slight, you know, mental edge.
[00:03:06.040 --> 00:03:06.880]   - Yeah.
[00:03:06.880 --> 00:03:08.600]   - So, you know, those are all dudes that, you know,
