
[00:00:00.000 --> 00:00:01.500]   - Hi, it's Helen.
[00:00:01.500 --> 00:00:04.000]   Are you ready to feel sexy, confident, and liberated
[00:00:04.000 --> 00:00:07.240]   by ditching the dye and embracing your natural hair color?
[00:00:07.240 --> 00:00:10.140]   Go Gray has a salon-quality hair color remover treatment
[00:00:10.140 --> 00:00:12.080]   infused with hair-healthy ingredients,
[00:00:12.080 --> 00:00:13.740]   allowing you to free yourself
[00:00:13.740 --> 00:00:15.680]   from time-consuming salon visits.
[00:00:15.680 --> 00:00:17.220]   Or you can fade away colored hair
[00:00:17.220 --> 00:00:19.980]   with their activated charcoal shampoo and conditioner.
[00:00:19.980 --> 00:00:21.860]   Next, brighten your silver or grays
[00:00:21.860 --> 00:00:23.760]   with purple-toning pigmented products,
[00:00:23.760 --> 00:00:26.300]   leaving you looking stunning and gorgeous.
[00:00:26.300 --> 00:00:29.720]   Go Gray is available at Walgreens, Walmart, Target, and CVS
[00:00:29.720 --> 00:00:32.160]   and go-gray.com.
[00:00:32.160 --> 00:00:34.300]   - Today on Radical Personal Finance, it's a live Q&A.
[00:00:34.300 --> 00:00:36.880]   (upbeat music)
[00:00:36.880 --> 00:00:51.760]   Welcome to Radical Personal Finance,
[00:00:51.760 --> 00:00:53.360]   a show dedicated to providing you with the knowledge,
[00:00:53.360 --> 00:00:55.320]   skills, insight, and encouragement you need
[00:00:55.320 --> 00:00:57.160]   to live a rich and meaningful life now
[00:00:57.160 --> 00:00:58.560]   while building a plan for financial freedom
[00:00:58.560 --> 00:01:00.120]   in 10 years or less.
[00:01:00.120 --> 00:01:01.160]   My name is Josh Rasheeds.
[00:01:01.160 --> 00:01:05.560]   Today is Friday, February 16, 2024.
[00:01:05.560 --> 00:01:08.740]   And on this Friday, after a multi-week hiatus,
[00:01:08.740 --> 00:01:10.200]   we do live Q&A.
[00:01:10.200 --> 00:01:12.180]   You call in, talk about anything you want,
[00:01:12.180 --> 00:01:15.000]   any questions, any topics, it's up to you.
[00:01:15.000 --> 00:01:17.580]   (upbeat music)
[00:01:17.580 --> 00:01:26.320]   If you don't know what to call in and talk about,
[00:01:26.320 --> 00:01:27.260]   well, welcome to my world.
[00:01:27.260 --> 00:01:29.280]   I actually really enjoy doing these Friday Q&A shows
[00:01:29.280 --> 00:01:30.120]   'cause they're easy for me
[00:01:30.120 --> 00:01:31.700]   'cause I don't have to pick the topic.
[00:01:31.700 --> 00:01:32.960]   (laughs)
[00:01:32.960 --> 00:01:35.280]   It's not hard for me to record podcasts.
[00:01:35.280 --> 00:01:38.680]   It's hard for me to choose the topics to record podcasts on
[00:01:38.680 --> 00:01:40.840]   because there's so many twists and turns.
[00:01:40.840 --> 00:01:42.920]   Oh, I could talk about this, but I could talk about that,
[00:01:42.920 --> 00:01:44.960]   or how much should I talk about it, et cetera.
[00:01:44.960 --> 00:01:46.460]   Showing up to Friday shows is easy
[00:01:46.460 --> 00:01:47.840]   because you have to do all that work.
[00:01:47.840 --> 00:01:49.480]   You have to decide what we talk about.
[00:01:49.480 --> 00:01:50.320]   If you would like to join me
[00:01:50.320 --> 00:01:51.400]   in one of these Friday Q&A shows,
[00:01:51.400 --> 00:01:52.880]   you could do that by becoming a patron of the show.
[00:01:52.880 --> 00:01:54.920]   Go to patreon.com/radicalpersonalfinance,
[00:01:54.920 --> 00:01:57.820]   patreon.com/radicalpersonalfinance.
[00:01:57.820 --> 00:02:01.060]   That will gain access for you to these Friday Q&A shows.
[00:02:01.060 --> 00:02:02.700]   I do that just to meter the amount of calls
[00:02:02.700 --> 00:02:05.220]   to an appropriate number
[00:02:05.220 --> 00:02:07.980]   so that we don't wind up with 25 callers on the line,
[00:02:07.980 --> 00:02:10.300]   et cetera, and it's something that I can't do.
[00:02:10.300 --> 00:02:13.280]   So please go to patreon.com/radicalpersonalfinance.
[00:02:13.280 --> 00:02:14.860]   We begin today with Dan in Colorado.
[00:02:14.860 --> 00:02:15.700]   Dan, welcome to the show.
[00:02:15.700 --> 00:02:17.180]   How can I serve you today, sir?
[00:02:17.180 --> 00:02:20.740]   - Hey, Joshua, thanks so much.
[00:02:20.740 --> 00:02:22.260]   I am 32 years old.
[00:02:22.260 --> 00:02:24.380]   I have a two-year-old and a seven-month-old.
