
[00:00:00.000 --> 00:00:19.040]   I'm Sid, I'm one of the co-founders of Aleve, and this is The New Lean Startup.
[00:00:19.040 --> 00:00:25.760]   We've been seeing a fundamental shift in how successful companies are being built. More and
[00:00:25.760 --> 00:00:29.760]   more companies are getting smaller, rounds are getting delayed, and profitability is being
[00:00:29.760 --> 00:00:34.260]   attained earlier than ever in their lifetime. A lot of this is being driven mainly by the
[00:00:34.260 --> 00:00:40.440]   advent of AI tooling. These companies are generating millions of ARR with teams smaller than most
[00:00:40.440 --> 00:00:45.500]   startups engineering departments. The age of bloated teams and endless hiring rounds is
[00:00:45.500 --> 00:00:53.040]   over. Welcome to the era of tiny teams. First, a bit of background on Aleve. We're
[00:00:53.040 --> 00:00:58.080]   building a family of iconic consumer software products that we hope will enable people to
[00:00:58.080 --> 00:01:03.580]   live better, more fulfilling, and productive lives. We are a tiny team that scaled a portfolio
[00:01:03.580 --> 00:01:07.960]   of virally successful products to $6 million in ARR profitably, and have generated over half
[00:01:07.960 --> 00:01:12.320]   a billion views across social media, achieving this with a tiny team of just four. We're based
[00:01:12.320 --> 00:01:16.580]   out of New York City, and here's a brief history on us.
[00:01:16.580 --> 00:01:22.080]   On the 26th of January in 2023, we launched the Quizzert AI mobile app. We launched it with a TikTok video that went viral overnight and generated a million views that turned into 10,000 users in less than 30 hours. We actually started scaling with no LLM costs. This is because back then we had the initial Codex model launch, which was in beta preview. Funny enough, we were cycling between 10 different accounts from our friends just so that we could prompt engineer or generate these AI outputs. Interestingly enough, Codex
[00:01:22.080 --> 00:01:27.580]   Codex, even though it was meant for as a coding model, could be prompt engineered for any open domain conversation.
[00:01:27.580 --> 00:01:57.560]   Codex. As you all may know, it ended up being sunset for abuse. We ended up getting a lot. We ended up getting a lot of users in less than 30 hours. We actually started scaling with no LLM costs. This is because back then we had the initial Codex model launch, which was in beta preview. Funny enough, we were cycling between 10 different accounts from our friends, just so that we could prompt engineer or generate these AI outputs. Interestingly enough, Codex, even though it was meant for as a coding model, could be prompt engineered for any open domain conversation. As you all may know, it ended up being sunset for abuse. We ended up getting a lot. We ended up getting a lot of users.
[00:01:57.560 --> 00:02:27.540]   getting reached out directly by open AI on a few of our different accounts that we were cycling through as being one of the top model users for the Codex model at the time. My co-founders and I then graduated. And then we moved to New York City, the fall of 2023, where we started our back to school campaign, which was a series of man on the street videos across different prestigious colleges in the US. This is when we fit our first million dollars in ARR and also achieve profitability within the first nine months of operating.
[00:02:27.540 --> 00:02:39.540]   We then even had another successful campaign in the spring of 2024 that got us all the way to number six in the charts of education alongside giants like Duolingo, Photomath, and Goth.
[00:02:39.540 --> 00:02:57.520]   We then took all our learnings in the spring of 2024 and doubled down on a new product on Stuck AI, a study companion tool for students. We were able to get to a million users in under nine weeks and generate over a quarter billion views across socials in a month. A few weeks ago, we were able to get to a million users in under nine weeks and generate over a quarter billion views across socials in a month. A few weeks ago, we were able to get to a million users in under nine weeks and generate over a quarter billion views across socials in a month. A few weeks ago, we were able to get to a million users in under nine weeks and generate over a quarter billion views across socials in a month.
[00:02:57.520 --> 00:03:04.520]   We were able to get both products in the top 10 in the education charts. Unstuck went all the way up to number three in the education charts right under Goth and Duolingo.
[00:03:04.520 --> 00:03:21.520]   We've now also launched in stealth our third product, which is our first product outside the education domain. It took three weeks to build thanks to all the blueprints that we've built in advance. We'll speak more on this later. And have already reached 1000 plus users. By the way, it's already profitable.
[00:03:21.520 --> 00:03:30.520]   Our lean playbook boils down to three key pillars, operating principles that lay the foundation of leanness,
[00:03:30.520 --> 00:03:37.520]   organizational structure that set up the systems for this leanness, and AI tooling augmentation which optimizes scaling.
