
[00:00:00.000 --> 00:00:02.160]   (beeping)
[00:00:02.160 --> 00:00:11.440]   (dramatic music)
[00:00:11.440 --> 00:00:21.640]   - Welcome back to Ask the Compound,
[00:00:21.640 --> 00:00:24.120]   where we have a new intro on YouTube.
[00:00:24.120 --> 00:00:26.320]   Pretty slick production.
[00:00:26.320 --> 00:00:28.160]   - Yeah, let us know what you think about it.
[00:00:28.160 --> 00:00:29.800]   - This is a show that's driven by the audience,
[00:00:29.800 --> 00:00:32.000]   audience asks us questions every single week.
[00:00:32.000 --> 00:00:33.080]   We go by what the audience does.
[00:00:33.080 --> 00:00:34.960]   We provide some context, some perspective,
[00:00:34.960 --> 00:00:37.200]   some charts, some numbers,
[00:00:37.200 --> 00:00:38.920]   maybe the correct course of action.
[00:00:38.920 --> 00:00:40.600]   I'm always impressed by the quality
[00:00:40.600 --> 00:00:42.200]   of our audience questions,
[00:00:42.200 --> 00:00:44.760]   but also the variety and the diversification,
[00:00:44.760 --> 00:00:46.640]   'cause it's always new and interesting stuff.
[00:00:46.640 --> 00:00:47.560]   So remember, you can email us here,
[00:00:47.560 --> 00:00:49.840]   askthecompoundshow@gmail.com.
[00:00:49.840 --> 00:00:51.560]   Today's show is sponsored by Rocket Money.
[00:00:51.560 --> 00:00:52.800]   Duncan, you slacked me this week
[00:00:52.800 --> 00:00:54.520]   and said I signed up for Rocket Money.
[00:00:54.520 --> 00:00:55.720]   What's your initial thoughts?
[00:00:55.720 --> 00:00:56.560]   - I love it.
[00:00:56.560 --> 00:00:58.600]   Yeah, that's why I slacked you, you know,
[00:00:58.600 --> 00:01:00.600]   and just said, like, Rocket Money's awesome.
[00:01:00.600 --> 00:01:01.440]   - It's slick, right?
[00:01:01.440 --> 00:01:04.160]   So we've received dozens of emails from our audience
[00:01:04.160 --> 00:01:05.520]   in the last couple months or so,
[00:01:05.520 --> 00:01:07.000]   because Intuit shut down Mint,
[00:01:07.000 --> 00:01:08.240]   and a lot of people are saying,
[00:01:08.240 --> 00:01:09.280]   "Well, what do I do now?"
[00:01:09.280 --> 00:01:10.560]   And I don't know why they did that.
[00:01:10.560 --> 00:01:11.400]   I have no idea why,
[00:01:11.400 --> 00:01:13.400]   but Rocket Money's a pretty darn good option.
[00:01:13.400 --> 00:01:15.600]   So personal finance app.
[00:01:15.600 --> 00:01:17.480]   They find and cancel your unwanted subscriptions,
[00:01:17.480 --> 00:01:20.000]   monitor your spending, help lower your bills.
[00:01:20.000 --> 00:01:22.320]   Rocket Money has over five million users,
[00:01:22.320 --> 00:01:23.480]   and they've helped save its members
[00:01:23.480 --> 00:01:25.360]   on an average $720 a year,
[00:01:25.360 --> 00:01:27.760]   with over $500 million in canceled subscriptions.
[00:01:27.760 --> 00:01:30.200]   That's almost as much money as I save in my cable,
[00:01:30.200 --> 00:01:31.080]   by calling in every year.
[00:01:31.080 --> 00:01:33.080]   But Rocket Money can do it too.
[00:01:33.080 --> 00:01:35.440]   Stop wasting money on the things you don't use.
[00:01:35.440 --> 00:01:36.600]   Cancel your unwanted subscriptions
[00:01:36.600 --> 00:01:39.200]   by going to rocketmoney.com/atc.
[00:01:39.200 --> 00:01:41.400]   That's rocketmoney.com/atc.
[00:01:41.400 --> 00:01:42.600]   Let them negotiate for you.
[00:01:42.600 --> 00:01:43.440]   It's easy.
[00:01:43.440 --> 00:01:44.840]   They even let you negotiate with them
[00:01:44.840 --> 00:01:45.680]   for how much you pay.
[00:01:45.680 --> 00:01:46.520]   It's pretty good. - Yeah, you can pick
[00:01:46.520 --> 00:01:47.340]   how much you pay, yeah.
[00:01:47.340 --> 00:01:48.180]   - Yeah, rocketmoney.com/atc.
[00:01:48.180 --> 00:01:50.560]   - And for those that don't quite understand, too,
[00:01:50.560 --> 00:01:52.160]   the appeal for me is, like,
[00:01:52.160 --> 00:01:54.440]   you can see all of your finances in one place.
[00:01:54.440 --> 00:01:56.000]   So, like, you link all of your accounts.
[00:01:56.000 --> 00:01:57.600]   It's pretty useful.
[00:01:57.600 --> 00:01:59.080]   They give you a summary of your bills each.
[00:01:59.080 --> 00:02:01.800]   It is, as someone who's a spreadsheet guy,
[00:02:01.800 --> 00:02:03.120]   and a lot of people keep emailing and asking,
[00:02:03.120 --> 00:02:04.960]   can I see Ben's spreadsheet?
[00:02:04.960 --> 00:02:05.800]   Go to Rocket Money instead.
[00:02:05.800 --> 00:02:06.960]   It's easier.
[00:02:06.960 --> 00:02:07.800]   - Yep.
[00:02:07.800 --> 00:02:08.720]   - We still get a lot of those.
[00:02:08.720 --> 00:02:10.520]   And my spreadsheet will be useless to you.
[00:02:10.520 --> 00:02:11.800]   All right, let's do a question.
[00:02:11.800 --> 00:02:13.000]   - Okay.
[00:02:13.000 --> 00:02:14.980]   Up first today, we have,
[00:02:14.980 --> 00:02:17.000]   what would be the pros and cons
[00:02:17.000 --> 00:02:18.320]   of purchasing weighted amounts
[00:02:18.320 --> 00:02:20.000]   of the 11 stock market sectors
[00:02:20.000 --> 00:02:22.280]   and rebalancing your portfolio each year,
[00:02:22.280 --> 00:02:25.920]   compared to just indexing the total market or the S&P 500?
[00:02:25.920 --> 00:02:28.300]   One is obviously much more time-consuming,
[00:02:28.300 --> 00:02:31.060]   but could the juice be worth the squeeze?
[00:02:31.060 --> 00:02:31.900]   - It's kind of funny,
[00:02:31.900 --> 00:02:34.000]   because this seems like a very specific question,
[00:02:34.000 --> 00:02:37.280]   but I've received this exact question before multiple times.
[00:02:37.280 --> 00:02:39.720]   And I think I did the first one on my blog in 2014.
[00:02:39.720 --> 00:02:41.920]   So I found the old spreadsheet.
[00:02:41.920 --> 00:02:43.000]   I updated it a little bit.
[00:02:43.000 --> 00:02:45.960]   The premise makes sense from the perspective of,
[00:02:45.960 --> 00:02:48.120]   well, if I'm rebalancing these sectors,
[00:02:48.120 --> 00:02:49.940]   obviously there's gonna be winners and losers,
[00:02:49.940 --> 00:02:51.840]   but some of the winners are gonna fall back
[00:02:51.840 --> 00:02:52.680]   and beat the losers.
