
[00:00:00.000 --> 00:00:22.200]   good afternoon thank you Eugene for the introduction so today I'm going to share
[00:00:22.200 --> 00:00:28.080]   our big bet and Netflix on personalization namely to use one foundation model to cover
[00:00:28.080 --> 00:00:36.360]   all the recommendation use cases and Netflix we have diverse recommendation needs this is an
[00:00:36.360 --> 00:00:45.780]   example homepage of one node profile on Netflix it's a 2d layout roles and items diversity comes
[00:00:45.780 --> 00:00:53.100]   at at least the three levels there is first level about role we have diverse roles we have a young
[00:00:53.100 --> 00:01:01.080]   runs for example roles on comedies roles on action movies we have roles about new trending just the
[00:01:01.080 --> 00:01:08.760]   release titles we also have a rose about for example titles only available on Netflix so that's the first
[00:01:08.760 --> 00:01:16.380]   dimension second dimension is of course of the items or entities in addition to traditionally movie and TV
[00:01:16.380 --> 00:01:23.660]   shows now we have games we have live streaming and we're going to add more so our content space is
[00:01:23.660 --> 00:01:34.640]   expanding to very heterogeneous content types the third level is page so we have home page we have search
[00:01:34.640 --> 00:01:42.600]   page we have a kids home page which is tailored very differently to what kids interest mobile feed is a
[00:01:42.600 --> 00:01:49.880]   linear page is not a 2d layout so on and so forth so page different pages are also very diverse what
[00:01:49.880 --> 00:01:59.320]   happened traditionally was that these lead to naturally many specialized models that get developed over the
[00:01:59.320 --> 00:02:11.880]   years some models rank videos some rank rows some focus on for example shows user have not watched yet some focus on shows was a user are already engaging
[00:02:11.880 --> 00:02:21.880]   and many of those models are were built independently over the years they may have different objectives but have a lot of overlaps as well
[00:02:21.880 --> 00:02:41.160]   as well so naturally this lead to duplications duplications in our label engineering as well as feature engineering take the feature engineering as example we have this very commonly used the factual data about user intact and history
[00:02:41.160 --> 00:02:51.160]   uh the the the factual data is the same but over the years many features are developed derived out of the same facts data like counts of different actions
[00:02:51.160 --> 00:03:03.160]   counts of actions within various time window or other kind of uh slice and dice dimensions similarity between the users history titles against the target titles unique
[00:03:03.160 --> 00:03:13.160]   and lastly like uh lastly like uh just a sequence of unique show ids uh to be used as a sequence feature into the model so this list can go on and on and on
[00:03:13.160 --> 00:03:25.160]   and a lot of those features uh because they are developed independently into each model they have slight variations but become very but largely uh very similar so become very hard to uh maintain
[00:03:25.160 --> 00:03:35.160]   so the challenge the challenge the challenge back then was uh is this scalable uh obviously not if we keep expanding
[00:03:35.160 --> 00:03:45.160]   our landscape of our landscape of content type or business use cases it's not manageable to spin up new models for each uh individual use cases
[00:03:45.160 --> 00:03:55.160]   uh there's not much leverage uh there's some shared components on building the feature label but still by and large each model uh basically uh
[00:03:55.160 --> 00:04:05.160]   uh spinned up independently and that also impact our innovation velocity in in the terms that you don't reuse as much as you can instead you just
[00:04:05.160 --> 00:04:09.160]   spin up new models uh pretty much from scratch
[00:04:09.160 --> 00:04:15.400]   uh so this was the situation about four years ago uh at the beginning or middle of the pandemic
[00:04:15.400 --> 00:04:21.720]   so the question we asked at that time was uh can we centralize the learning of user representation
[00:04:21.720 --> 00:04:31.480]   in one place so the answer is yes and we had this key hypothesis that about foundation model based on transformer
[00:04:31.480 --> 00:04:38.360]   architecture uh concretely two hypotheses here one hypothesis is that through scaled up semi-supervised learning
[00:04:38.360 --> 00:04:46.040]   personalization can be improved uh the scaling law also applies to recommendation system as it applies to llm
[00:04:46.040 --> 00:04:51.880]   second is that by integrating the foundation model into all systems we can create high leverage we can
[00:04:51.880 --> 00:04:59.080]   simultaneously improve all the downstream canvas facing models at the same time so we'll see in the
[00:04:59.080 --> 00:05:07.640]   following slides how we validate those hypotheses uh i'll break up the overview into two subsessions first about
[00:05:07.640 --> 00:05:12.280]   data data data and training and the later uh second about application and serving
[00:05:12.280 --> 00:05:20.120]   so um about data and training so starting from data a very interesting aspect of a building such foundation
[00:05:20.120 --> 00:05:27.400]   model auto regressive transformer is that there's a lot of analogy but also differences sometimes uh between
[00:05:27.400 --> 00:05:37.400]   this and llm so we can transfer a lot of learnings inspirations from llm development if we start from the
[00:05:37.400 --> 00:05:43.960]   very bottom layer which is basically data cleaning and tokenization people work with llm understand
[00:05:43.960 --> 00:05:52.120]   tokenization decisions have profound impact in your model quality so although it's the bottom layer the
[00:05:52.120 --> 00:05:57.160]   decision you made there can percolate through all the downstream layers and manifest as either your model
[00:05:57.160 --> 00:06:06.520]   quality problem or model quality plus so this applies to recommendation uh foundation model as well instead of
[00:06:06.520 --> 00:06:13.800]   uh there are some differences very importantly instead of language tokens which is just one id here for uh if
[00:06:13.800 --> 00:06:21.720]   we want to translate the user interaction history or sequence each of the token is a event interaction event
[00:06:21.720 --> 00:06:27.320]   from the user right but that event has many facets or many fields so it's not just the one id you can represent
[00:06:27.320 --> 00:06:36.120]   there are a lot of rich information about the event so how you all of those fields can play a role in making the decision of tokenization
[00:06:36.120 --> 00:06:43.320]   uh i think that's what we need to consider very carefully um what is the granularity of tokenization
