
[00:00:00.000 --> 00:00:01.120]   Hey, everyone.
[00:00:01.120 --> 00:00:02.960]   Welcome to the Latent Space Podcast.
[00:00:02.960 --> 00:00:05.520]   This is Alessio, partner and CTO of Residence
[00:00:05.520 --> 00:00:06.600]   at Decibel Partners.
[00:00:06.600 --> 00:00:10.080]   And I'm joined by my co-host, Swoops, founder of Small AI.
[00:00:10.080 --> 00:00:11.800]   Hey, and today we have--
[00:00:11.800 --> 00:00:15.100]   we're together with together.
[00:00:15.100 --> 00:00:16.400]   Welcome to the studio, guys.
[00:00:16.400 --> 00:00:16.900]   Thank you.
[00:00:16.900 --> 00:00:18.040]   Thanks for having us.
[00:00:18.040 --> 00:00:19.240]   Maybe you guys want to--
[00:00:19.240 --> 00:00:21.760]   I don't know how you typically give self intros,
[00:00:21.760 --> 00:00:24.240]   but does anyone want to go first?
[00:00:24.240 --> 00:00:26.800]   Like, how do we get our audience acquainted,
[00:00:26.800 --> 00:00:28.240]   especially to who's speaking?
[00:00:28.240 --> 00:00:31.640]   Because it's unusual for us to do a four-person pod.
[00:00:31.640 --> 00:00:32.440]   Yeah, hi, everyone.
[00:00:32.440 --> 00:00:33.000]   I'm Tse.
[00:00:33.000 --> 00:00:35.200]   Yeah, so I'm one of the co-founders of Together.
[00:00:35.200 --> 00:00:38.760]   I'm the CTO working with the team on the technical things.
[00:00:38.760 --> 00:00:42.840]   I'm Vipul Ved Prakash, co-founder and CEO of Together.
[00:00:42.840 --> 00:00:44.280]   I always consider you guys as one
[00:00:44.280 --> 00:00:47.000]   of the sort of all-in-one companies.
[00:00:47.000 --> 00:00:50.720]   I always want to say labs, but I feel like you're not a lab.
[00:00:50.720 --> 00:00:54.360]   What is the sort of origin of Together?
[00:00:54.360 --> 00:00:56.160]   And then what is it today?
[00:00:56.160 --> 00:00:59.520]   I feel like it used to be Together.xyz,
[00:00:59.520 --> 00:01:02.000]   and then now you're Together.ai.
[00:01:02.000 --> 00:01:04.840]   I think fundamentally Together is
[00:01:04.840 --> 00:01:07.440]   about open and independent AI systems.
