
[00:00:00.000 --> 00:00:02.000]   Freeberg, Freeberg. What's up?
[00:00:02.000 --> 00:00:05.680]   It seems like you have a piece of shit on the side of your mouth. Or is that a birthmark?
[00:00:05.680 --> 00:00:07.280]   It's a- Oh, no. That's a birthmark. Gotcha.
[00:00:07.280 --> 00:00:09.600]   Oh my god. Sorry. Sorry.
[00:00:09.600 --> 00:00:10.720]   Jesus.
[00:00:10.720 --> 00:00:12.080]   Did you record that?
[00:00:12.080 --> 00:00:13.200]   Yeah, absolutely.
[00:00:13.200 --> 00:00:13.840]   Jesus.
[00:00:13.840 --> 00:00:18.400]   Look at this guy. He takes his shirt off for one fucking selfie and now everybody
[00:00:18.400 --> 00:00:23.200]   who's fat and pale on the show, the other three of us, is gonna be ridiculed.
[00:00:23.200 --> 00:00:26.480]   I'm having steak tonight. S-T-E-A-K tonight.
[00:00:26.480 --> 00:00:32.240]   I'm lifting twice a week now. Come on, Sax. Come get some. Let's fucking go. Three, two-
[00:00:32.240 --> 00:00:35.040]   Let your winners ride.
[00:00:35.040 --> 00:00:37.920]   Rain Man, David Sax.
[00:00:37.920 --> 00:00:40.960]   I'm going all in.
[00:00:40.960 --> 00:00:41.600]   And instead-
[00:00:41.600 --> 00:00:44.800]   We open sourced it to the fans and they've just gone crazy with it.
[00:00:44.800 --> 00:00:45.360]   Love you, man.
[00:00:45.360 --> 00:00:46.960]   I'm the queen of quinoa.
[00:00:46.960 --> 00:00:49.440]   I'm going all in.
[00:00:49.440 --> 00:00:54.960]   Hey, everybody. Hey, everybody. Welcome to another episode of the All In Podcast with me again,
[00:00:54.960 --> 00:00:56.080]   the dictator,
[00:00:56.080 --> 00:00:56.480]   Hemsworth.
[00:00:56.480 --> 00:00:58.720]   Myself, Chamath Pali, Hapatia.
[00:00:58.720 --> 00:01:02.720]   Rain Man, David Sax, definitely with us. Definitely a great driver.
[00:01:02.720 --> 00:01:04.320]   His dad lets him drive in the driveway.
[00:01:04.320 --> 00:01:11.280]   And of course, everybody's favorite, the queen of quinoa, the science conductor himself,
[00:01:11.280 --> 00:01:13.920]   David Freiburg.
[00:01:13.920 --> 00:01:14.960]   Queen. Queen.
[00:01:14.960 --> 00:01:15.760]   The queen.
[00:01:15.760 --> 00:01:16.400]   Queen. Queen.
[00:01:16.400 --> 00:01:21.200]   A lot of activity online. It's been a little bit of chaos since we all got together here.
[00:01:21.200 --> 00:01:25.680]   I guess we should talk about this Apple story with
[00:01:26.080 --> 00:01:34.560]   Antonio Garcia Martinez. You may have heard that he was hired by Apple to, I guess, run their ad
[00:01:34.560 --> 00:01:39.920]   efforts. And I have a little bit of information on kind of what he was going to do there in terms
[00:01:39.920 --> 00:01:43.280]   of ads, which is really interesting. But-
[00:01:43.280 --> 00:01:44.960]   Tell us. Tell us. Tell us. Tell us.
[00:01:44.960 --> 00:01:48.080]   Okay. Well, anyway, you know how we're basically-
[00:01:48.080 --> 00:01:51.280]   Start at the beginning and assume people don't know who Antonio Garcia Martinez is.
[00:01:51.280 --> 00:01:55.920]   Okay. So Antonio Garcia Martinez was a Facebook developer. He is,
[00:01:55.920 --> 00:02:01.040]   some really smart guy who uses a lot of big words and wrote a book called Chaos Monkeys,
[00:02:01.040 --> 00:02:09.760]   which is a great book, where he takes a very Jack Kerouac kind of, you know, a lot of prose.
[00:02:09.760 --> 00:02:13.120]   And he wrote this book about his time at Facebook.
[00:02:13.120 --> 00:02:19.920]   The problem is he said some things in the book that would be five years later problematic.
[00:02:19.920 --> 00:02:25.520]   At the time, they were actually considered problematic by some folks. And in the full
[00:02:25.520 --> 00:02:34.000]   quote, maybe less problematic, but he was essentially ousted because of the following
[00:02:34.000 --> 00:02:42.240]   problematic quote. The quote is, "Most women in the Bay Area are soft and weak, cosseted and naive
[00:02:42.240 --> 00:02:46.880]   despite their claims of worldliness and generally full of shit. They have their self-regarding
[00:02:46.880 --> 00:02:55.120]   entitlement, feminism, and ceaselessly vaunt their independence. But the reality is, come the epidemic,
[00:02:55.120 --> 00:02:59.040]   plague, or foreign invasion, they become precisely the sort of useless baggage you
[00:02:59.040 --> 00:03:03.360]   trade for a box of shotgun shells or a jerry can of diesel."
[00:03:03.360 --> 00:03:08.640]   And they shorten that quote to be that most women are soft and weak
[00:03:08.640 --> 00:03:18.080]   and full of shit. So in context, in this book, he was contrasting the Bay Area women he had
[00:03:18.080 --> 00:03:24.240]   dated with the mother of his kids, who he describes as strong and tall and tough and
